# lat,lng,id,name,building_type,type,url,page_type
# Vidigulfo -- Tutti
45.288588,9.238145,ov_asl_45.2886_9.2381,Asl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/asl_45.2886_9.2381.json,custom
45.281047,9.211959,ov_trattoria_pontelungo_45.2810_9.2120,Trattoria Pontelungo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/trattoria_pontelungo_45.2810_9.2120.json,custom
45.292210,9.234540,ov_fontana_giuliano_45.2922_9.2345,Fontana Giuliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/fontana_giuliano_45.2922_9.2345.json,custom
45.292300,9.234489,ov_pizzeria_al_32_pizzeria_45.2923_9.2345,Pizzeria al 32 Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/pizzeria_al_32_pizzeria_45.2923_9.2345.json,custom
45.293695,9.235232,ov_rimmel___coffee__food___beverage_45.2937_9.2352,"Rimmel - Coffee, food & beverage",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/rimmel_-_coffee_food_beverage_45.2937_9.2352.json,custom
45.291269,9.234578,ov_pizzeria_gnam_gnam_45.2913_9.2346,Pizzeria Gnam Gnam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/pizzeria_gnam_gnam_45.2913_9.2346.json,custom
45.290019,9.235877,ov_ristorante_da_aldo_vidigulfo_45.2900_9.2359,Ristorante da Aldo Vidigulfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/ristorante_da_aldo_vidigulfo_45.2900_9.2359.json,custom
45.298648,9.225728,ov_la_quintana_45.2986_9.2257,La Quintana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/la_quintana_45.2986_9.2257.json,custom
45.292215,9.234679,ov_iqos_reseller___bar_del_corso_di_ninfo_g_45.2922_9.2347,"IQOS RESELLER - Bar Del Corso Di Ninfo Giuseppa, Vidigulfo",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/iqos_reseller_-_bar_del_corso_di_ninfo_g_45.2922_9.2347.json,custom
45.293884,9.236369,ov_osteria_pub_al_covo_45.2939_9.2364,Osteria Pub Al Covo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/osteria_pub_al_covo_45.2939_9.2364.json,custom
45.289755,9.235532,ov_la_cantinetta_quattro_45.2898_9.2355,La Cantinetta Quattro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/la_cantinetta_quattro_45.2898_9.2355.json,custom
45.271832,9.253322,ov_centro_ippico_team_la_pista_45.2718_9.2533,Centro Ippico Team La Pista,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/centro_ippico_team_la_pista_45.2718_9.2533.json,custom
45.293319,9.238536,ov_new_life_center_45.2933_9.2385,New Life Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/new_life_center_45.2933_9.2385.json,custom
45.289705,9.227715,ov_asd_time_to_dance_scuola_di_ballo_45.2897_9.2277,ASD Time to dance Scuola di ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/asd_time_to_dance_scuola_di_ballo_45.2897_9.2277.json,custom
45.293607,9.235221,ov_biblioteca_comunale_di_vidigulfo_il_picc_45.2936_9.2352,Biblioteca comunale di Vidigulfo Il Piccolo Principe,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/vidigulfo/pages/biblioteca_comunale_di_vidigulfo_il_picc_45.2936_9.2352.json,custom
