# lat,lng,id,name,building_type,type,url,page_type
# Castel Gandolfo -- Tutti
41.726258,12.612011,ov_ambulatorio_polispecialistico_medical_pa_41.7263_12.6120,Ambulatorio polispecialistico Medical Pavona,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ambulatorio_polispecialistico_medical_pa_41.7263_12.6120.json,custom
41.735983,12.616270,ov_bluette_bar_41.7360_12.6163,Bluette Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/bluette_bar_41.7360_12.6163.json,custom
41.736767,12.616286,ov_ishin_pavona_41.7368_12.6163,Ishin Pavona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ishin_pavona_41.7368_12.6163.json,custom
41.734168,12.616524,ov_l_officina_della_carne_41.7342_12.6165,L'Officina Della Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/lofficina_della_carne_41.7342_12.6165.json,custom
41.730418,12.616665,ov_ristorante_kyoto_sushi_41.7304_12.6167,Ristorante Kyoto Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_kyoto_sushi_41.7304_12.6167.json,custom
41.726114,12.616597,ov_bibimando_italy_41.7261_12.6166,Bibimando Italy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/bibimando_italy_41.7261_12.6166.json,custom
41.739479,12.625306,ov_crudo_41.7395_12.6253,CRUDO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/crudo_41.7395_12.6253.json,custom
41.759068,12.654130,ov_blanco___garden_41.7591_12.6541,BLANCO & Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/blanco_garden_41.7591_12.6541.json,custom
41.759065,12.654702,ov_la_capannina_osteria_bar_41.7591_12.6547,La Capannina Osteria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_capannina_osteria_bar_41.7591_12.6547.json,custom
41.760288,12.655657,ov_blanco_ristorante_e_sushi_41.7603_12.6557,Blanco Ristorante e Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/blanco_ristorante_e_sushi_41.7603_12.6557.json,custom
41.757877,12.653974,ov_la_playa_work_in_progress_41.7579_12.6540,La Playa Work in Progress,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/la_playa_work_in_progress_41.7579_12.6540.json,custom
41.749262,12.653888,ov_ristorante_kayakko_41.7493_12.6539,Ristorante Kayakko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/ristorante_kayakko_41.7493_12.6539.json,custom
41.749274,12.653891,ov_i_quadri_41.7493_12.6539,I Quadri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/i_quadri_41.7493_12.6539.json,custom
41.750542,12.652226,ov_grapes_41.7505_12.6522,Grapes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castel_gandolfo/pages/grapes_41.7505_12.6522.json,custom
