# lat,lng,id,name,building_type,type,url,page_type
# maiolati_spontini -- Tutti
43.503885,13.139224,ov_centro_orao_43.5039_13.1392,Centro ORAO,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/centro_orao_43.5039_13.1392.json,custom
43.476278,13.117277,ov_libero_arbitrio_43.4763_13.1173,Libero Arbitrio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/libero_arbitrio_43.4763_13.1173.json,custom
43.477903,13.122480,ov_party_uptown_43.4779_13.1225,Party Uptown,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/party_uptown_43.4779_13.1225.json,custom
43.491854,13.126939,ov_la_sosteria_43.4919_13.1269,La Sosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/la_sosteria_43.4919_13.1269.json,custom
43.506084,13.122444,ov_ristorante_jolanda_43.5061_13.1224,Ristorante Jolanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/ristorante_jolanda_43.5061_13.1224.json,custom
43.502012,13.128486,ov_pizzeria_ristorante_pick_up_43.5020_13.1285,Pizzeria Ristorante Pick Up,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/pizzeria_ristorante_pick_up_43.5020_13.1285.json,custom
43.501569,13.129405,ov_pizza_party_43.5016_13.1294,Pizza Party,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/pizza_party_43.5016_13.1294.json,custom
43.501507,13.130238,ov_la_dolce_vita_di_cascia_marco_43.5015_13.1302,La Dolce Vita di Cascia Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/la_dolce_vita_di_cascia_marco_43.5015_13.1302.json,custom
43.496753,13.133000,ov_al_vecchio_rotone_s_r_l__43.4968_13.1330,Al Vecchio Rotone s.r.l.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/al_vecchio_rotone_srl_43.4968_13.1330.json,custom
43.502891,13.131926,ov_ristorante_pizzeria_lady_green_43.5029_13.1319,Ristorante Pizzeria Lady Green,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/ristorante_pizzeria_lady_green_43.5029_13.1319.json,custom
43.504603,13.140431,ov_tadelia_pizza_43.5046_13.1404,Tadelia Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/tadelia_pizza_43.5046_13.1404.json,custom
43.502051,13.128093,ov_bar_manu_43.5021_13.1281,Bar Manu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/bar_manu_43.5021_13.1281.json,custom
43.501915,13.127702,ov_caf__manu_43.5019_13.1277,Café Manu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/caf_manu_43.5019_13.1277.json,custom
43.501667,13.130942,ov_caffe_janus_bar_tabaccheria_43.5017_13.1309,Caffe Janus Bar Tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/caffe_janus_bar_tabaccheria_43.5017_13.1309.json,custom
43.496739,13.130583,ov_museika_43.4967_13.1306,Museika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/museika_43.4967_13.1306.json,custom
43.499430,13.136792,ov_museika_43.4994_13.1368,MUSEIKA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/museika_43.4994_13.1368.json,custom
43.506518,13.172409,ov_smile_bar_43.5065_13.1724,Smile Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/smile_bar_43.5065_13.1724.json,custom
43.502552,13.136642,ov_bar_il_quadrifoglio_43.5026_13.1366,Bar Il Quadrifoglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/bar_il_quadrifoglio_43.5026_13.1366.json,custom
43.502959,13.141241,ov_circolo_cigno_43.5030_13.1412,Circolo Cigno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/circolo_cigno_43.5030_13.1412.json,custom
43.506106,13.136471,ov_caff__letterario_la_fornace_43.5061_13.1365,Caffè Letterario La Fornace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/caff_letterario_la_fornace_43.5061_13.1365.json,custom
43.505273,13.123053,ov_bocciofila_e__campanelli_43.5053_13.1231,Bocciofila E. Campanelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/bocciofila_e_campanelli_43.5053_13.1231.json,custom
43.476455,13.117843,ov_museo_gaspare_spontini_43.4765_13.1178,Museo Gaspare Spontini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/museo_gaspare_spontini_43.4765_13.1178.json,custom
43.506103,13.136475,ov_library_the_furnace_43.5061_13.1365,Library The Furnace,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/library_the_furnace_43.5061_13.1365.json,custom
43.505874,13.136135,ov_centro_documentazione_politiche_sociali_43.5059_13.1361,Centro Documentazione Politiche Sociali,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/maiolati_spontini/pages/centro_documentazione_politiche_sociali_43.5059_13.1361.json,custom
