# lat,lng,id,name,building_type,type,url,page_type
# Montalto delle Marche -- Tutti
42.989044,13.609243,ov_centro_medico_albachiara_42.9890_13.6092,Centro Medico Albachiara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/centro_medico_albachiara_42.9890_13.6092.json,custom
42.978579,13.648781,ov_agriturismo_cerquatonda_42.9786_13.6488,Agriturismo Cerquatonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/agriturismo_cerquatonda_42.9786_13.6488.json,custom
42.983059,13.626463,ov_la_casa_del_duca_42.9831_13.6265,La Casa del Duca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/la_casa_del_duca_42.9831_13.6265.json,custom
42.984353,13.617473,ov_ristorante_verde_quiete_42.9844_13.6175,Ristorante Verde Quiete,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/ristorante_verde_quiete_42.9844_13.6175.json,custom
42.991310,13.618630,ov_food_and_flavours_42.9913_13.6186,Food and Flavours,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/food_and_flavours_42.9913_13.6186.json,custom
42.990936,13.611212,ov_dolci_e_pizza_d_un_tempo_42.9909_13.6112,Dolci e Pizza d'un tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/dolci_e_pizza_dun_tempo_42.9909_13.6112.json,custom
42.989789,13.608537,ov_la_casareccia_42.9898_13.6085,La Casareccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/la_casareccia_42.9898_13.6085.json,custom
42.987769,13.608636,ov_sottoscala_gusteria_42.9878_13.6086,Sottoscala Gusteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/sottoscala_gusteria_42.9878_13.6086.json,custom
42.994654,13.609200,ov_pizzeria_4_venti_42.9947_13.6092,Pizzeria 4 Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/pizzeria_4_venti_42.9947_13.6092.json,custom
42.967788,13.611794,ov_pitstop_da_esmeralda_42.9678_13.6118,PitStop da Esmeralda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/pitstop_da_esmeralda_42.9678_13.6118.json,custom
42.996847,13.630698,ov_caffe_del_torrione_42.9968_13.6307,Caffe Del Torrione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/caffe_del_torrione_42.9968_13.6307.json,custom
42.988491,13.608288,ov_bar_gelateria_sisto_v_42.9885_13.6083,Bar Gelateria Sisto V,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/bar_gelateria_sisto_v_42.9885_13.6083.json,custom
42.988565,13.608557,ov_caff__il_giardino_di_fanny_42.9886_13.6086,Caffè il Giardino di Fanny,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/caff_il_giardino_di_fanny_42.9886_13.6086.json,custom
42.989726,13.609548,ov_medyn_bar_42.9897_13.6095,Medyn Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/medyn_bar_42.9897_13.6095.json,custom
42.989230,13.608643,ov_caff__le_logge_42.9892_13.6086,Caffè Le Logge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/caff_le_logge_42.9892_13.6086.json,custom
43.024306,13.859306,ov_barby_bar_43.0243_13.8593,Barby Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/barby_bar_43.0243_13.8593.json,custom
42.973192,13.638950,ov_lugugnano_cross_park_42.9732_13.6390,Lugugnano Cross Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/lugugnano_cross_park_42.9732_13.6390.json,custom
43.010790,13.628280,ov_centro_ricreativo__svetlana__43.0108_13.6283,Centro Ricreativo 'Svetlana',GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/centro_ricreativo_svetlana_43.0108_13.6283.json,custom
42.983349,13.608314,ov_campo_sportivo_comunale_stefano_funari_42.9833_13.6083,Campo Sportivo Comunale Stefano Funari,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/campo_sportivo_comunale_stefano_funari_42.9833_13.6083.json,custom
42.995140,13.580630,ov_karate_morelli_montalto_delle_marche_42.9951_13.5806,Karate Morelli Montalto delle Marche,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montalto_delle_marche/pages/karate_morelli_montalto_delle_marche_42.9951_13.5806.json,custom
