# lat,lng,id,name,building_type,type,url,page_type
# Lauenen -- Tutti
46.393343,7.337308,ov_restaurant_lauenensee_46.3933_7.3373,Restaurant Lauenensee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lauenen/pages/restaurant_lauenensee_46.3933_7.3373.json,custom
46.375024,7.310442,ov_spitzhorn_46.3750_7.3104,Spitzhorn,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lauenen/pages/spitzhorn_46.3750_7.3104.json,custom
46.393218,7.378131,ov_tungelpass_46.3932_7.3781,Tungelpass,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lauenen/pages/tungelpass_46.3932_7.3781.json,custom
