# lat,lng,id,name,building_type,type,url,page_type
# Chiampo -- Tutti
45.544050,11.285168,ov_anthea_centro_medico_45.5440_11.2852,Anthea Centro Medico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/anthea_centro_medico_45.5440_11.2852.json,custom
45.527873,11.304903,ov_trattoria_giordani_45.5279_11.3049,Trattoria Giordani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/trattoria_giordani_45.5279_11.3049.json,custom
45.530828,11.307357,ov_kampo_45.5308_11.3074,Kampo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/kampo_45.5308_11.3074.json,custom
45.530824,11.307400,ov_nana_sushi_45.5308_11.3074,Nana sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/nana_sushi_45.5308_11.3074.json,custom
45.533260,11.304711,ov_snoopy_bar_snc_di_tonin_lino___c__45.5333_11.3047,Snoopy bar SNC di tonin lino & c.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/snoopy_bar_snc_di_tonin_lino_c_45.5333_11.3047.json,custom
45.546465,11.278778,ov_al_breda___bruschetteria_45.5465_11.2788,Al Breda - Bruschetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/al_breda_-_bruschetteria_45.5465_11.2788.json,custom
45.544101,11.279211,ov_bertoldi_barbecue_45.5441_11.2792,Bertoldi Barbecue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bertoldi_barbecue_45.5441_11.2792.json,custom
45.543861,11.279772,ov_bar_pizzeria_alla_grotta_45.5439_11.2798,Bar Pizzeria Alla Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_pizzeria_alla_grotta_45.5439_11.2798.json,custom
45.542439,11.283943,ov_trattoria_pizzeria_al_ponte_45.5424_11.2839,Trattoria Pizzeria Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/trattoria_pizzeria_al_ponte_45.5424_11.2839.json,custom
45.540300,11.297709,ov_ristorante_dal_francese_45.5403_11.2977,Ristorante Dal Francese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ristorante_dal_francese_45.5403_11.2977.json,custom
45.536974,11.292573,ov_ristorante_bar_san_lorenzo_45.5370_11.2926,Ristorante Bar San Lorenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ristorante_bar_san_lorenzo_45.5370_11.2926.json,custom
