# lat,lng,id,name,building_type,type,url,page_type
# Castel del Piano -- Tutti
42.889875,11.534834,ov_ospedale_civile_di_castel_del_piano_42.8899_11.5348,Ospedale Civile di Castel Del Piano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ospedale_civile_di_castel_del_piano_42.8899_11.5348.json,custom
42.905151,11.553629,ov_170_grammi_42.9052_11.5536,170 Grammi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/170_grammi_42.9052_11.5536.json,custom
42.909721,11.518274,ov_il_miccio_42.9097_11.5183,Il Miccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/il_miccio_42.9097_11.5183.json,custom
42.938951,11.472535,ov_montenero_d_orcia_42.9390_11.4725,Montenero d'Orcia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/montenero_dorcia_42.9390_11.4725.json,custom
42.952030,11.463900,ov_trattoria_in_campagna_42.9520_11.4639,Trattoria In Campagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/trattoria_in_campagna_42.9520_11.4639.json,custom
42.892506,11.534770,ov_da_venerio_42.8925_11.5348,Da Venerio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/da_venerio_42.8925_11.5348.json,custom
42.892307,11.536903,ov_al_sette_b_42.8923_11.5369,Al Sette B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/al_sette_b_42.8923_11.5369.json,custom
42.892990,11.536512,ov_la_locanda_del_dombi_42.8930_11.5365,La Locanda del Dombi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/la_locanda_del_dombi_42.8930_11.5365.json,custom
42.892996,11.536441,ov_locanda_del_granduca_42.8930_11.5364,Locanda del Granduca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/locanda_del_granduca_42.8930_11.5364.json,custom
42.893552,11.538615,ov_c_era_una_volta_alle_logge_42.8936_11.5386,C'era una volta alle Logge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/cera_una_volta_alle_logge_42.8936_11.5386.json,custom
42.893422,11.538175,ov_il_carillon_42.8934_11.5382,Il Carillon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/il_carillon_42.8934_11.5382.json,custom
42.893324,11.540242,ov_il_localino_42.8933_11.5402,Il Localino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/il_localino_42.8933_11.5402.json,custom
