# lat,lng,id,name,building_type,type,url,page_type
# curti -- Tutti
41.076135,14.281620,ov_polisanitaria_iodice_spa_41.0761_14.2816,Polisanitaria Iodice SPA,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/polisanitaria_iodice_spa_41.0761_14.2816.json,custom
41.215230,14.135830,ov_trattoria_antica_cales_41.2152_14.1358,Trattoria Antica Cales,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/trattoria_antica_cales_41.2152_14.1358.json,custom
41.074527,14.265155,ov_mano_d_opera_pizzeria_41.0745_14.2652,Mano D'Opera Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/mano_dopera_pizzeria_41.0745_14.2652.json,custom
41.073056,14.270184,ov_il_rugantino_in_41.0731_14.2702,Il Rugantino In,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/il_rugantino_in_41.0731_14.2702.json,custom
41.073011,14.270430,ov_osteria_numero_100_41.0730_14.2704,Osteria Numero 100,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/osteria_numero_100_41.0730_14.2704.json,custom
41.080140,14.272861,ov_oishi_ramen_caserta_41.0801_14.2729,Oishi Ramen Caserta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/oishi_ramen_caserta_41.0801_14.2729.json,custom
41.080937,14.270895,ov_pizzeria_bruscone_41.0809_14.2709,Pizzeria Bruscone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/pizzeria_bruscone_41.0809_14.2709.json,custom
41.079858,14.270999,ov_la_ginestra_pizzalab_41.0799_14.2710,La Ginestra Pizzalab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/la_ginestra_pizzalab_41.0799_14.2710.json,custom
41.070649,14.274234,ov_a__reginella_41.0706_14.2742,A' Reginella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/a_reginella_41.0706_14.2742.json,custom
41.072060,14.274442,ov_pizzeria_autentica_41.0721_14.2744,Pizzeria Autentica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/pizzeria_autentica_41.0721_14.2744.json,custom
41.079549,14.274938,ov_ocean_street_41.0795_14.2749,Ocean Street,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/ocean_street_41.0795_14.2749.json,custom
41.076739,14.275824,ov_leviosa_41.0767_14.2758,Leviosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/leviosa_41.0767_14.2758.json,custom
41.078639,14.275682,ov_la_locanda_degli_amici_41.0786_14.2757,La Locanda Degli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/la_locanda_degli_amici_41.0786_14.2757.json,custom
41.078385,14.277098,ov_future_pizza_41.0784_14.2771,Future Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/future_pizza_41.0784_14.2771.json,custom
41.075627,14.278656,ov_vineria_perbacco_41.0756_14.2787,Vineria Perbacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/vineria_perbacco_41.0756_14.2787.json,custom
41.080131,14.272685,osm_oishi_sushi_caserta_41.0801_14.2727,Oishi Sushi Caserta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/oishi_sushi_caserta_41.0801_14.2727.json,custom
41.074384,14.265585,ov_eden_bar_caffe_41.0744_14.2656,Eden Bar Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/eden_bar_caffe_41.0744_14.2656.json,custom
41.073681,14.268970,ov_enoteca_il_tino_41.0737_14.2690,Enoteca il Tino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/enoteca_il_tino_41.0737_14.2690.json,custom
41.078824,14.267852,ov_edison_caffe_41.0788_14.2679,Edison Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/edison_caffe_41.0788_14.2679.json,custom
41.079959,14.273457,ov_bar_twins_41.0800_14.2735,Bar Twins,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/bar_twins_41.0800_14.2735.json,custom
41.080200,14.272940,ov_tn_biliardi_41.0802_14.2729,TN Biliardi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/tn_biliardi_41.0802_14.2729.json,custom
41.079550,14.274952,ov_steampunk_bar_41.0796_14.2750,Steampunk Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/steampunk_bar_41.0796_14.2750.json,custom
41.077197,14.278436,ov_free_to_fly_41.0772_14.2784,Free To Fly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/free_to_fly_41.0772_14.2784.json,custom
41.076545,14.277360,ov_coffee_break_41.0765_14.2774,Coffee break,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/coffee_break_41.0765_14.2774.json,custom
41.076974,14.280838,ov_savio_caff__41.0770_14.2808,Savio Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/savio_caff_41.0770_14.2808.json,custom
41.075121,14.281893,ov_il_giardino_di_ginevra_41.0751_14.2819,Il Giardino di Ginevra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/il_giardino_di_ginevra_41.0751_14.2819.json,custom
41.075166,14.281983,ov_spuma_rossa___enoteca_41.0752_14.2820,Spuma Rossa - Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/spuma_rossa_-_enoteca_41.0752_14.2820.json,custom
41.071931,14.281190,ov_the_coffee_house_41.0719_14.2812,The Coffee House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/the_coffee_house_41.0719_14.2812.json,custom
41.075150,14.278902,osm_caff__del_corso_41.0751_14.2789,Caffè del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/caff_del_corso_41.0751_14.2789.json,custom
41.079908,14.273444,osm_twins_41.0799_14.2734,Twins,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/twins_41.0799_14.2734.json,custom
41.075057,14.268067,ov_fashion_dance_campania_41.0751_14.2681,Fashion Dance Campania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/fashion_dance_campania_41.0751_14.2681.json,custom
41.075269,14.269504,ov_accademia_sport_olimpici_caserta_41.0753_14.2695,Accademia Sport Olimpici Caserta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/accademia_sport_olimpici_caserta_41.0753_14.2695.json,custom
41.080624,14.271191,ov_csen_caserta_41.0806_14.2712,CSEN Caserta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/curti/pages/csen_caserta_41.0806_14.2712.json,custom
