# lat,lng,id,name,building_type,type,url,page_type
# castelfiorentino -- Tutti
43.610059,10.969314,ov_ex_ospedale_di_castelfiorentino_43.6101_10.9693,Ex Ospedale di Castelfiorentino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/ex_ospedale_di_castelfiorentino_43.6101_10.9693.json,custom
43.632719,10.960574,ov_pizzeria_da_i__nulla_43.6327_10.9606,Pizzeria Da I' Nulla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pizzeria_da_i_nulla_43.6327_10.9606.json,custom
43.634927,10.938634,ov_pizzeria_tavola_calda_le_3_rose_43.6349_10.9386,Pizzeria Tavola calda LE 3 ROSE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pizzeria_tavola_calda_le_3_rose_43.6349_10.9386.json,custom
43.634856,10.938710,ov_da_i__colma_43.6349_10.9387,Da I' Colma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/da_i_colma_43.6349_10.9387.json,custom
43.638712,10.958428,ov_casa_selektia_43.6387_10.9584,Casa Selektia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/casa_selektia_43.6387_10.9584.json,custom
43.631500,10.998670,ov_la_baita_del_gusto_43.6315_10.9987,La Baita del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/la_baita_del_gusto_43.6315_10.9987.json,custom
43.624349,10.989171,ov_torre_rasa_43.6243_10.9892,Torre Rasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/torre_rasa_43.6243_10.9892.json,custom
43.615428,10.969319,ov_i_sapori_di_sicilia_43.6154_10.9693,I Sapori Di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/i_sapori_di_sicilia_43.6154_10.9693.json,custom
43.613990,10.967190,ov_circolo_arci_puppino_43.6140_10.9672,Circolo Arci Puppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/circolo_arci_puppino_43.6140_10.9672.json,custom
43.613422,10.967918,ov_la_combriccola_43.6134_10.9679,La Combriccola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/la_combriccola_43.6134_10.9679.json,custom
43.611209,10.967857,ov_ristorante_pizzeria_o_sarracino___bar_ta_43.6112_10.9679,Ristorante Pizzeria O'Sarracino - Bar Tabacchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/ristorante_pizzeria_osarracino_-_bar_tab_43.6112_10.9679.json,custom
43.609431,10.974059,ov_il_gusto_e_il_tatto_43.6094_10.9741,Il Gusto E Il Tatto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/il_gusto_e_il_tatto_43.6094_10.9741.json,custom
43.609597,10.965905,ov_poste_italiane_43.6096_10.9659,Poste Italiane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/poste_italiane_43.6096_10.9659.json,custom
43.607297,10.967321,ov_osteria_zimbo_43.6073_10.9673,Osteria Zimbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/osteria_zimbo_43.6073_10.9673.json,custom
43.606790,10.967732,ov_special_pizza_43.6068_10.9677,Special Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/special_pizza_43.6068_10.9677.json,custom
43.606459,10.969909,ov_civico73_43.6065_10.9699,Civico73,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/civico73_43.6065_10.9699.json,custom
43.606419,10.969647,ov_pizzeria_tavola_calda_patrizia_43.6064_10.9696,Pizzeria Tavola Calda Patrizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pizzeria_tavola_calda_patrizia_43.6064_10.9696.json,custom
43.614182,11.003011,ov_ti_m_ch__l__m_c______kh__s_y_d_o_ngon_s__43.6142_11.0030,Tiệm Chà Là Mộc - Đồ Khô Sấy Dẻo Ngon Sạch Mỗi Ngày,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/tim_ch_l_mc_-_kh_sy_do_ngon_sch_mi_ngy_43.6142_11.0030.json,custom
43.605760,10.969616,ov_o__vesuvio_43.6058_10.9696,O' Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/o_vesuvio_43.6058_10.9696.json,custom
43.605549,10.970211,ov_corale_43.6055_10.9702,Corale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/corale_43.6055_10.9702.json,custom
43.605152,10.968803,ov_aaryan_indian_restaurant_43.6052_10.9688,Aaryan Indian Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/aaryan_indian_restaurant_43.6052_10.9688.json,custom
43.604986,10.965730,ov_la_cucina_di_caruso_rosalia___sughi_buon_43.6050_10.9657,La Cucina di Caruso Rosalia - Sughi Buoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/la_cucina_di_caruso_rosalia_-_sughi_buon_43.6050_10.9657.json,custom
43.605800,10.965067,ov_sunflower_43.6058_10.9651,Sunflower,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/sunflower_43.6058_10.9651.json,custom
43.604484,10.970366,ov_romanella_43.6045_10.9704,Romanella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/romanella_43.6045_10.9704.json,custom
43.604407,10.970322,ov_da_carlo_43.6044_10.9703,Da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/da_carlo_43.6044_10.9703.json,custom
43.603831,10.969571,ov_pizzolando_43.6038_10.9696,Pizzolando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pizzolando_43.6038_10.9696.json,custom
