# lat,lng,id,name,building_type,type,url,page_type
# Roseto Capo Spulico -- Tutti
39.967286,16.625564,ov_parafarmacia_rosa_dr__marco_la_camera_39.9673_16.6256,Parafarmacia Rosa Dr. Marco La Camera,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/parafarmacia_rosa_dr_marco_la_camera_39.9673_16.6256.json,custom
39.757199,16.464074,ov_villa_costa_39.7572_16.4641,Villa Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/villa_costa_39.7572_16.4641.json,custom
39.979702,16.617526,ov_laguna_blu_39.9797_16.6175,Laguna blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/laguna_blu_39.9797_16.6175.json,custom
39.975771,16.617673,ov_ristorante_pizzeria_il_gelso_39.9758_16.6177,ristorante pizzeria Il Gelso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/ristorante_pizzeria_il_gelso_39.9758_16.6177.json,custom
39.975024,16.619313,ov_ristorante_la_vela_39.9750_16.6193,Ristorante La Vela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/ristorante_la_vela_39.9750_16.6193.json,custom
39.973556,16.619268,ov_bar_ristorante_pizzeria_breakfast_da_mar_39.9736_16.6193,Bar Ristorante Pizzeria breakfast Da Mario.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/bar_ristorante_pizzeria_breakfast_da_mar_39.9736_16.6193.json,custom
39.973080,16.620040,ov_castello_federiciano_39.9731_16.6200,Castello Federiciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/castello_federiciano_39.9731_16.6200.json,custom
39.972611,16.621921,ov_new_age_39.9726_16.6219,New Age,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/new_age_39.9726_16.6219.json,custom
39.969522,16.621592,ov_ristorante_pizzeria_nettuno_39.9695_16.6216,Ristorante Pizzeria Nettuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/ristorante_pizzeria_nettuno_39.9695_16.6216.json,custom
39.971530,16.620302,ov_la_perla_del_mare_vg_varlaro_ristorante_39.9715_16.6203,La perla del mare VG Varlaro Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/la_perla_del_mare_vg_varlaro_ristorante_39.9715_16.6203.json,custom
39.967455,16.622457,ov_fratelli_varlaro_39.9675_16.6225,Fratelli Varlaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/fratelli_varlaro_39.9675_16.6225.json,custom
39.967386,16.622580,ov_ristorante_la_perla_del_mare_vg_varlaro_39.9674_16.6226,Ristorante La Perla del Mare VG Varlaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/ristorante_la_perla_del_mare_vg_varlaro_39.9674_16.6226.json,custom
39.967768,16.628086,ov_lido_sole_luna_cns_fiamma___cosenza_39.9678_16.6281,Lido Sole Luna CNS Fiamma - Cosenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/lido_sole_luna_cns_fiamma_-_cosenza_39.9678_16.6281.json,custom
39.970077,16.624555,ov_la_terrazza_del_gusto_39.9701_16.6246,La Terrazza del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/la_terrazza_del_gusto_39.9701_16.6246.json,custom
39.985889,16.603661,ov_cinghiale_on_the_beach_39.9859_16.6037,Cinghiale On The Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/cinghiale_on_the_beach_39.9859_16.6037.json,custom
