# lat,lng,id,name,building_type,type,url,page_type
# Castello d'Agogna -- Tutti
45.233992,8.685745,ov_ospedale_vigevano_45.2340_8.6857,Ospedale Vigevano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/ospedale_vigevano_45.2340_8.6857.json,custom
45.235148,8.691675,ov_trattoria_italia_45.2351_8.6917,Trattoria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/trattoria_italia_45.2351_8.6917.json,custom
45.232694,8.705994,ov_nakupenda_45.2327_8.7060,Nakupenda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/nakupenda_45.2327_8.7060.json,custom
45.235510,8.688100,ov_nakupenda_loungebar_restaurant_45.2355_8.6881,Nakupenda_loungebar_restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/nakupendaloungebarrestaurant_45.2355_8.6881.json,custom
45.233466,8.688951,ov_cigno_45.2335_8.6890,Cigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/cigno_45.2335_8.6890.json,custom
45.231995,8.685370,ov_locanda_la_castellana_45.2320_8.6854,Locanda La Castellana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/locanda_la_castellana_45.2320_8.6854.json,custom
45.234895,8.691083,ov_bar_baia_45.2349_8.6911,Bar Baia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/bar_baia_45.2349_8.6911.json,custom
45.232841,8.686764,ov_ff_wellness___fitness_asd_45.2328_8.6868,FF Wellness & Fitness Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/ff_wellness_fitness_asd_45.2328_8.6868.json,custom
45.235480,8.685326,ov_oasi_castello_45.2355_8.6853,Oasi Castello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/oasi_castello_45.2355_8.6853.json,custom
45.249580,8.689716,ov_centro_ippico_zoccolo_duro_45.2496_8.6897,Centro Ippico Zoccolo Duro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/centro_ippico_zoccolo_duro_45.2496_8.6897.json,custom
45.232565,8.689064,osm_poste_italiane_45.2326_8.6891,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castello_dagogna/pages/poste_italiane_45.2326_8.6891.json,custom
