# lat,lng,id,name,building_type,type,url,page_type
# sannicandro_di_bari -- Tutti
41.001206,16.799945,ov_studio_medico_fratelli_mondelli_41.0012_16.7999,Studio Medico Fratelli Mondelli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/studio_medico_fratelli_mondelli_41.0012_16.7999.json,custom
40.894188,16.773764,ov_puglia_food_on_tour_40.8942_16.7738,Puglia food on tour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/puglia_food_on_tour_40.8942_16.7738.json,custom
40.939817,16.745881,ov_mani_arse___masseria_40.9398_16.7459,Mani Arse - Masseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/mani_arse_-_masseria_40.9398_16.7459.json,custom
40.999457,16.792817,ov_the_king_sannicandro_di_bari_40.9995_16.7928,The King Sannicandro di Bari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/the_king_sannicandro_di_bari_40.9995_16.7928.json,custom
40.998656,16.799536,ov_la_gigante_sannicandro_di_bari_40.9987_16.7995,La Gigante Sannicandro di Bari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/la_gigante_sannicandro_di_bari_40.9987_16.7995.json,custom
40.996696,16.801926,ov_piccadilly_40.9967_16.8019,Piccadilly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/piccadilly_40.9967_16.8019.json,custom
40.989325,16.830668,ov_torre_alba_40.9893_16.8307,TORRE ALBA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/torre_alba_40.9893_16.8307.json,custom
41.001030,16.799770,ov_grill_garden_41.0010_16.7998,Grill Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/grill_garden_41.0010_16.7998.json,custom
41.000958,16.799959,ov_euro_pizza___sfizi_41.0010_16.8000,Euro Pizza & Sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/euro_pizza_sfizi_41.0010_16.8000.json,custom
41.000542,16.800349,ov_pizzeria_trattoria_il_nascondiglio_41.0005_16.8003,Pizzeria Trattoria Il Nascondiglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/pizzeria_trattoria_il_nascondiglio_41.0005_16.8003.json,custom
41.000377,16.799241,ov_i_5_monelli_41.0004_16.7992,I 5 Monelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/sannicandro_di_bari/pages/i_5_monelli_41.0004_16.7992.json,custom
