# lat,lng,id,name,building_type,type,url,page_type
# vezzano -- Tutti
46.076968,11.019465,osm_ristorante_al_vecchio_mulino_46.0770_11.0195,Ristorante al Vecchio Mulino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/vezzano/pages/ristorante_al_vecchio_mulino_46.0770_11.0195.json,custom
46.075443,10.995750,osm_bar_esso_46.0754_10.9958,Bar Esso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/vezzano/pages/bar_esso_46.0754_10.9958.json,custom
46.076835,10.995697,osm_rethia_taproom_46.0768_10.9957,Rethia Taproom,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/vezzano/pages/rethia_taproom_46.0768_10.9957.json,custom
