# lat,lng,id,name,building_type,type,url,page_type
# Ospedaletto -- Tutti
43.684922,10.422616,osm_kashmiri_doner_kebab_43.6849_10.4226,Kashmiri Doner Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/ospedaletto/pages/kashmiri_doner_kebab_43.6849_10.4226.json,custom
43.681159,10.439132,osm_barlume_caf__43.6812_10.4391,Barlume Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/ospedaletto/pages/barlume_caf_43.6812_10.4391.json,custom
43.684687,10.423894,osm_casa_del_popolo___ospedaletto_43.6847_10.4239,Casa del Popolo - Ospedaletto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/ospedaletto/pages/casa_del_popolo_-_ospedaletto_43.6847_10.4239.json,custom
43.684797,10.422913,osm_bar_montanelli_43.6848_10.4229,Bar Montanelli,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/ospedaletto/pages/bar_montanelli_43.6848_10.4229.json,custom
43.675004,10.430165,osm_pisa_carburanti_43.6750_10.4302,Pisa Carburanti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/ospedaletto/pages/pisa_carburanti_43.6750_10.4302.json,custom
