# lat,lng,id,name,building_type,type,url,page_type
# Istrana -- Tutti
45.660833,12.075833,ov_ospedaletto__istrana__45.6608_12.0758,Ospedaletto (Istrana),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/ospedaletto_istrana_45.6608_12.0758.json,custom
45.667529,12.085919,ov_mokambo_ristorante_pizzeria_45.6675_12.0859,Mokambo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/mokambo_ristorante_pizzeria_45.6675_12.0859.json,custom
45.667492,12.086053,ov_mokamboristorazione_45.6675_12.0861,Mokamboristorazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/mokamboristorazione_45.6675_12.0861.json,custom
45.670370,12.090660,ov_live_oak_barbecue_45.6704_12.0907,Live Oak Barbecue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/live_oak_barbecue_45.6704_12.0907.json,custom
45.678424,12.100433,ov_pizza_in_piazza_45.6784_12.1004,Pizza In Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizza_in_piazza_45.6784_12.1004.json,custom
45.678844,12.101292,ov_barbablu_45.6788_12.1013,Barbablu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/barbablu_45.6788_12.1013.json,custom
45.678076,12.108477,ov_pizzeria_da_toni_istrana_45.6781_12.1085,Pizzeria da Toni Istrana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_da_toni_istrana_45.6781_12.1085.json,custom
45.681261,12.103429,ov_ristorante_pizzeria_amalfi___istrana_tv_45.6813_12.1034,Ristorante Pizzeria Amalfi - Istrana TV,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/ristorante_pizzeria_amalfi_-_istrana_tv_45.6813_12.1034.json,custom
45.678451,12.096550,ov_pasticceria_lazzaro_45.6785_12.0966,Pasticceria Lazzaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pasticceria_lazzaro_45.6785_12.0966.json,custom
45.678632,12.098868,ov_fra_bernardo_45.6786_12.0989,Fra Bernardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/fra_bernardo_45.6786_12.0989.json,custom
45.678347,12.100134,ov_pizzeria_ristorante_amalfi_45.6783_12.1001,Pizzeria Ristorante Amalfi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_ristorante_amalfi_45.6783_12.1001.json,custom
45.692932,12.094633,ov_pizzeria_la_divina_45.6929_12.0946,Pizzeria La Divina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_la_divina_45.6929_12.0946.json,custom
