# lat,lng,id,name,building_type,type,url,page_type
# Limena -- Tutti
45.463995,11.844663,ov_poliambulatorio_daylaser32_45.4640_11.8447,Poliambulatorio DayLaser32,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/poliambulatorio_daylaser32_45.4640_11.8447.json,custom
45.482217,11.841929,ov_spidy_pizza_45.4822_11.8419,Spidy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/spidy_pizza_45.4822_11.8419.json,custom
45.481792,11.843098,ov_in_locanda_45.4818_11.8431,In Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/in_locanda_45.4818_11.8431.json,custom
45.480292,11.844140,ov_tirovino_osteria_45.4803_11.8441,TiroVino Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/tirovino_osteria_45.4803_11.8441.json,custom
45.478312,11.845296,ov_hostaria_mamma_mia_45.4783_11.8453,Hostaria Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/hostaria_mamma_mia_45.4783_11.8453.json,custom
45.477476,11.845811,ov_new_bar_caff__cuore_di_biasiolo_elisa_45.4775_11.8458,New Bar Caffè Cuore di Biasiolo Elisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/new_bar_caff_cuore_di_biasiolo_elisa_45.4775_11.8458.json,custom
45.477545,11.837276,ov_ristorante_cinese_fu_lu_shou_45.4775_11.8373,Ristorante Cinese Fu Lu Shou,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/ristorante_cinese_fu_lu_shou_45.4775_11.8373.json,custom
45.475425,11.845194,ov_paradise_pizza_kebab_45.4754_11.8452,Paradise Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/paradise_pizza_kebab_45.4754_11.8452.json,custom
45.475989,11.845823,ov_ristorante_pizzeria_top31_45.4760_11.8458,Ristorante Pizzeria Top31,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/ristorante_pizzeria_top31_45.4760_11.8458.json,custom
45.476047,11.845836,ov_lamarea_45.4760_11.8458,Lamarea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/lamarea_45.4760_11.8458.json,custom
45.474947,11.845626,ov_trattoria_pizzeria_garden_45.4749_11.8456,Trattoria Pizzeria Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/trattoria_pizzeria_garden_45.4749_11.8456.json,custom
45.474733,11.846894,ov_pizzalonga_away_limena_45.4747_11.8469,Pizzalonga Away Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/pizzalonga_away_limena_45.4747_11.8469.json,custom
45.471300,11.847162,ov_tigella_bella_45.4713_11.8472,Tigella Bella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/tigella_bella_45.4713_11.8472.json,custom
45.472142,11.838233,ov_ristorante_tombolato_45.4721_11.8382,Ristorante Tombolato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/ristorante_tombolato_45.4721_11.8382.json,custom
45.469334,11.849617,ov_habanero_mex_limena_45.4693_11.8496,Habanero Mex Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/habanero_mex_limena_45.4693_11.8496.json,custom
45.468135,11.846780,ov_restaurant_romanesc_nord_est_45.4681_11.8468,Restaurant romanesc NORD EST,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/restaurant_romanesc_nord_est_45.4681_11.8468.json,custom
