# lat,lng,id,name,building_type,type,url,page_type
# Casalnuovo di Napoli -- Tutti
40.911163,14.358141,ov_ni_ce_srl_40.9112_14.3581,Ni.Ce Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/nice_srl_40.9112_14.3581.json,custom
40.888209,14.359954,ov_pizzeria_da_rosa_40.8882_14.3600,Pizzeria Da Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_da_rosa_40.8882_14.3600.json,custom
40.889326,14.357858,ov_l_ombra_del_vesuvio_40.8893_14.3579,L'Ombra Del Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/lombra_del_vesuvio_40.8893_14.3579.json,custom
40.889674,14.361311,ov_frankry_40.8897_14.3613,Frankry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/frankry_40.8897_14.3613.json,custom
40.902654,14.338581,ov_tenimmoce_accussi_40.9027_14.3386,Tenimmoce Accussi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/tenimmoce_accussi_40.9027_14.3386.json,custom
40.901857,14.340875,ov_ristogrill_40.9019_14.3409,Ristogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristogrill_40.9019_14.3409.json,custom
40.901929,14.336452,ov_vinc__osteria_40.9019_14.3365,Vincè Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/vinc_osteria_40.9019_14.3365.json,custom
40.901715,14.342740,ov_piperita_40.9017_14.3427,Piperita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/piperita_40.9017_14.3427.json,custom
40.901741,14.341726,ov_il_buongustaio_lombardi_40.9017_14.3417,Il Buongustaio Lombardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/il_buongustaio_lombardi_40.9017_14.3417.json,custom
40.901672,14.346469,ov_gas_power_retail_40.9017_14.3465,Gas&Power Retail,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/gaspower_retail_40.9017_14.3465.json,custom
40.901256,14.343473,ov_pizzeria_arcora_di_d_avanzo_erminia_40.9013_14.3435,Pizzeria Arcora Di D'Avanzo Erminia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_arcora_di_davanzo_erminia_40.9013_14.3435.json,custom
40.899963,14.344478,ov_pastificio_mulino_d_oro_40.9000_14.3445,Pastificio Mulino D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pastificio_mulino_doro_40.9000_14.3445.json,custom
40.898318,14.334852,ov_taverna_la_tammurriata_40.8983_14.3349,Taverna la Tammurriata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/taverna_la_tammurriata_40.8983_14.3349.json,custom
40.901614,14.349533,ov_chicken_house_giraarrosto_40.9016_14.3495,Chicken house Giraarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/chicken_house_giraarrosto_40.9016_14.3495.json,custom
40.901577,14.349068,ov_da_mose_40.9016_14.3491,Da Mose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/da_mose_40.9016_14.3491.json,custom
40.901721,14.349036,ov_antica_trattoria_barone_40.9017_14.3490,Antica Trattoria Barone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/antica_trattoria_barone_40.9017_14.3490.json,custom
40.901763,14.349416,ov_pizzeria_i_caporale_40.9018_14.3494,pizzeria I Caporale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_i_caporale_40.9018_14.3494.json,custom
40.901779,14.347506,ov_panificio_gusto___tradizione_di_manna_ga_40.9018_14.3475,Panificio Gusto & Tradizione di Manna Gabriella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/panificio_gusto_tradizione_di_manna_gabr_40.9018_14.3475.json,custom
40.901950,14.351750,ov_sorsi_sorrisi_40.9019_14.3517,Sorsi&sorrisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/sorsisorrisi_40.9019_14.3517.json,custom
40.902129,14.355720,ov_valerio_vuolo_40.9021_14.3557,Valerio Vuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/valerio_vuolo_40.9021_14.3557.json,custom
40.902255,14.356847,ov_addu_mamma_trattoria_gourmet_40.9023_14.3568,Addu Mamma Trattoria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/addu_mamma_trattoria_gourmet_40.9023_14.3568.json,custom
40.902248,14.357276,ov_una_voglia_di____40.9022_14.3573,Una voglia di ..,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/una_voglia_di__40.9022_14.3573.json,custom
40.902260,14.355773,ov_quattro_quarti_pizzeria_40.9023_14.3558,Quattro Quarti Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/quattro_quarti_pizzeria_40.9023_14.3558.json,custom
40.902146,14.352257,ov_pizzeria_arcora_40.9021_14.3523,Pizzeria Arcora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_arcora_40.9021_14.3523.json,custom
40.902061,14.351880,ov_i_sapori_della_taverna_nova_40.9021_14.3519,I Sapori della Taverna Nova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/i_sapori_della_taverna_nova_40.9021_14.3519.json,custom
40.902583,14.357742,ov_pizzeria_ciro_40.9026_14.3577,Pizzeria Ciro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_ciro_40.9026_14.3577.json,custom
40.914060,14.351838,ov_tony_burger_40.9141_14.3518,Tony Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/tony_burger_40.9141_14.3518.json,custom
40.914076,14.348126,ov_macelleria_hamburgheria_barone_40.9141_14.3481,Macelleria Hamburgheria Barone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/macelleria_hamburgheria_barone_40.9141_14.3481.json,custom
40.913763,14.347859,ov_calice_e_tagliere_40.9138_14.3479,Calice e Tagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/calice_e_tagliere_40.9138_14.3479.json,custom
40.913645,14.351441,ov_pizzeria_esposito_40.9136_14.3514,Pizzeria Esposito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_esposito_40.9136_14.3514.json,custom
40.912838,14.348744,ov_c___pizza_per_te_40.9128_14.3487,C'è pizza per te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/c_pizza_per_te_40.9128_14.3487.json,custom
40.912314,14.355262,ov_pizzeria_new_grande_fratello_40.9123_14.3553,Pizzeria New Grande Fratello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_new_grande_fratello_40.9123_14.3553.json,custom
40.911860,14.354080,ov_cuore_mediterraneo_40.9119_14.3541,Cuore Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/cuore_mediterraneo_40.9119_14.3541.json,custom
40.911913,14.361921,ov_okkk_40.9119_14.3619,Okkk,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/okkk_40.9119_14.3619.json,custom
40.911418,14.360771,ov_luna_rossa_ristorante_pizzeria_40.9114_14.3608,Luna Rossa Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/luna_rossa_ristorante_pizzeria_40.9114_14.3608.json,custom
40.911608,14.361886,ov_bella_m_briana_ristorante_e_pizzeria_40.9116_14.3619,Bella M'briana Ristorante E Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bella_mbriana_ristorante_e_pizzeria_40.9116_14.3619.json,custom
40.911461,14.359441,ov_pasticceria_napul___40.9115_14.3594,Pasticceria Napul'è,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pasticceria_napul_40.9115_14.3594.json,custom
40.910378,14.348787,ov_mascolo_original_panuozzo_40.9104_14.3488,Mascolo Original Panuozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/mascolo_original_panuozzo_40.9104_14.3488.json,custom
40.910383,14.353548,ov_pizzeria_luna_rossa_40.9104_14.3535,Pizzeria Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_luna_rossa_40.9104_14.3535.json,custom
40.905010,14.347720,ov_gecos_coffee_40.9050_14.3477,Gecos Coffee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/gecos_coffee_40.9050_14.3477.json,custom
40.908708,14.368105,ov_ristorante_il_pino_d_oro_40.9087_14.3681,Ristorante Il Pino D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristorante_il_pino_doro_40.9087_14.3681.json,custom
40.908540,14.341540,ov_ristorante_beta_40.9085_14.3415,RIstorante Beta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristorante_beta_40.9085_14.3415.json,custom
40.907700,14.345843,ov_pro_wine_40.9077_14.3458,Pro Wine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pro_wine_40.9077_14.3458.json,custom
40.907539,14.345290,ov_pizzeria_e_friggitoria_o__sole__e_napule_40.9075_14.3453,Pizzeria e Friggitoria O' Sole 'e Napule,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_e_friggitoria_o_sole_e_napule_40.9075_14.3453.json,custom
40.907499,14.340196,ov_vincenzo_mazzola_pizzeria_40.9075_14.3402,Vincenzo Mazzola Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/vincenzo_mazzola_pizzeria_40.9075_14.3402.json,custom
40.906548,14.341105,ov_pizzeria_federico_angillotti_40.9065_14.3411,Pizzeria Federico Angillotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_federico_angillotti_40.9065_14.3411.json,custom
