# lat,lng,id,name,building_type,type,url,page_type
# Centallo -- Tutti
44.501881,7.586336,ov_i_p_a_b__istituto_san_camillo_44.5019_7.5863,I.P.A.B. Istituto San Camillo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/ipab_istituto_san_camillo_44.5019_7.5863.json,custom
44.459787,7.591877,ov_ristorante_picchio_rosso_44.4598_7.5919,Ristorante Picchio Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/ristorante_picchio_rosso_44.4598_7.5919.json,custom
44.500541,7.584175,ov_ristorante_le_calle_44.5005_7.5842,Ristorante Le Calle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/ristorante_le_calle_44.5005_7.5842.json,custom
44.499351,7.585171,ov_il_campanile_44.4994_7.5852,Il Campanile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/il_campanile_44.4994_7.5852.json,custom
44.501399,7.585287,ov_pizzeria_l_italiano_44.5014_7.5853,Pizzeria L'Italiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/pizzeria_litaliano_44.5014_7.5853.json,custom
44.500832,7.584522,ov_cosmopolitan_new_44.5008_7.5845,Cosmopolitan New,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/cosmopolitan_new_44.5008_7.5845.json,custom
44.498758,7.582296,ov_la_canonica_lottulo_44.4988_7.5823,La Canonica Lottulo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/la_canonica_lottulo_44.4988_7.5823.json,custom
44.493565,7.578402,ov_dutt_ost_centallo_44.4936_7.5784,Dutt'Ost Centallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/duttost_centallo_44.4936_7.5784.json,custom
44.494188,7.578832,ov_sale___pepe___bar_trattoria_44.4942_7.5788,Sale & Pepe - Bar Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/sale_pepe_-_bar_trattoria_44.4942_7.5788.json,custom
44.494167,7.577710,ov_ristorante_pizzeria_arcimbaldo_44.4942_7.5777,Ristorante Pizzeria Arcimbaldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/ristorante_pizzeria_arcimbaldo_44.4942_7.5777.json,custom
44.492378,7.599266,ov_la_enchilada_44.4924_7.5993,La Enchilada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/la_enchilada_44.4924_7.5993.json,custom
44.484443,7.603971,ov_osteria_lo_spuntino_di_franco_rinero_44.4844_7.6040,Osteria Lo Spuntino di Franco Rinero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/osteria_lo_spuntino_di_franco_rinero_44.4844_7.6040.json,custom
44.500869,7.584578,osm_cosmopolitan_44.5009_7.5846,Cosmopolitan,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/cosmopolitan_44.5009_7.5846.json,custom
44.494359,7.577789,osm_arcimbaldo_44.4944_7.5778,Arcimbaldo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/arcimbaldo_44.4944_7.5778.json,custom
44.501432,7.585286,osm_l_italiano_44.5014_7.5853,L'Italiano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/litaliano_44.5014_7.5853.json,custom
