# lat,lng,id,name,building_type,type,url,page_type
# zogno -- Tutti
45.790894,9.643991,ov_royal_wine_bar_45.7909_9.6440,Royal Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/royal_wine_bar_45.7909_9.6440.json,custom
45.792284,9.662177,ov_vicolo_bar_45.7923_9.6622,Vicolo BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/vicolo_bar_45.7923_9.6622.json,custom
45.793371,9.658708,ov_bar_da_sabry_45.7934_9.6587,Bar da Sabry,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/bar_da_sabry_45.7934_9.6587.json,custom
45.792425,9.669244,ov_caffe_roma_45.7924_9.6692,Caffe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/caffe_roma_45.7924_9.6692.json,custom
45.794460,9.667561,ov_bar_perla_1888_45.7945_9.6676,Bar Perla 1888,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/bar_perla_1888_45.7945_9.6676.json,custom
45.793617,9.665196,ov_bye_bar_di_strani_loredana___c__snc_45.7936_9.6652,Bye Bar di Strani Loredana & C. Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/bye_bar_di_strani_loredana_c_snc_45.7936_9.6652.json,custom
45.793058,9.663748,ov_art_cafe_45.7931_9.6637,Art Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/art_cafe_45.7931_9.6637.json,custom
45.800042,9.717793,ov_bar_gritti_45.8000_9.7178,Bar Gritti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/bar_gritti_45.8000_9.7178.json,custom
45.792679,9.652996,ov_sci_club_zogno_45.7927_9.6530,Sci Club Zogno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/sci_club_zogno_45.7927_9.6530.json,custom
45.798234,9.646570,ov_maneggio_asd_our_dream_45.7982_9.6466,Maneggio Asd Our Dream,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/maneggio_asd_our_dream_45.7982_9.6466.json,custom
45.789841,9.668050,ov_brembo_kayak_45.7898_9.6680,Brembo Kayak,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/brembo_kayak_45.7898_9.6680.json,custom
45.795413,9.669543,ov_piazza_wellness_45.7954_9.6695,Piazza Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/piazza_wellness_45.7954_9.6695.json,custom
45.792180,9.667684,ov_arte_coreutica___scuola_di_danza_di_ilar_45.7922_9.6677,Arte Coreutica - Scuola di Danza di Ilaria Ghironi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/arte_coreutica_-_scuola_di_danza_di_ilar_45.7922_9.6677.json,custom
45.794220,9.666630,ov_free_fitness_asd_45.7942_9.6666,Free Fitness Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/free_fitness_asd_45.7942_9.6666.json,custom
45.792261,9.663377,ov_0345_gym_45.7923_9.6634,0345 Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/0345_gym_45.7923_9.6634.json,custom
45.794144,9.665339,ov_museum_of_valle_45.7941_9.6653,Museum of Valle,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/museum_of_valle_45.7941_9.6653.json,custom
45.783034,9.687022,ov_biblioteca_alfabeta_poscante_45.7830_9.6870,Biblioteca Alfabeta Poscante,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/zogno/pages/biblioteca_alfabeta_poscante_45.7830_9.6870.json,custom
