# lat,lng,id,name,building_type,type,url,page_type
# Santorso -- Tutti
45.726604,11.414626,ov_ospedale_santorso_45.7266_11.4146,Ospedale Santorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/ospedale_santorso_45.7266_11.4146.json,custom
45.734432,11.379892,ov_barbapizza_45.7344_11.3799,Barbapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/barbapizza_45.7344_11.3799.json,custom
45.730325,11.377360,ov_pizzeria_bruschetteria_sophia_45.7303_11.3774,Pizzeria Bruschetteria Sophia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/pizzeria_bruschetteria_sophia_45.7303_11.3774.json,custom
45.733908,11.373880,ov_la_corte_sconta_bar_45.7339_11.3739,La Corte Sconta Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/la_corte_sconta_bar_45.7339_11.3739.json,custom
45.731671,11.382384,ov_locanda_dorem__45.7317_11.3824,Locanda Doremì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/locanda_dorem_45.7317_11.3824.json,custom
45.731151,11.380693,ov_bottega_della_pizza_45.7312_11.3807,Bottega Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/bottega_della_pizza_45.7312_11.3807.json,custom
45.730879,11.389966,ov_pizzeria_brancati_vittorio_45.7309_11.3900,Pizzeria Brancati Vittorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/pizzeria_brancati_vittorio_45.7309_11.3900.json,custom
45.739415,11.397261,ov_al_borghetto_45.7394_11.3973,Al Borghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/al_borghetto_45.7394_11.3973.json,custom
45.726856,11.426027,ov_osteria_moderna_45.7269_11.4260,Osteria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/osteria_moderna_45.7269_11.4260.json,custom
45.731605,11.382440,osm_ristorante_pizzeria_doremi_45.7316_11.3824,Ristorante Pizzeria Doremi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/ristorante_pizzeria_doremi_45.7316_11.3824.json,custom
45.730220,11.401730,osm_agriturismo_cabrele_45.7302_11.4017,Agriturismo Cabrele,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/agriturismo_cabrele_45.7302_11.4017.json,custom
45.725161,11.418837,osm_agriturismo_da_mea_45.7252_11.4188,Agriturismo Da Mea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/agriturismo_da_mea_45.7252_11.4188.json,custom
45.730496,11.377650,ov_diesis_cafe_45.7305_11.3776,Diesis Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/diesis_cafe_45.7305_11.3776.json,custom
45.729322,11.373602,ov_croce_d_oro_45.7293_11.3736,Croce D'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/croce_doro_45.7293_11.3736.json,custom
45.736737,11.391144,ov_pizzeria_il_piccolo_ritrovo_45.7367_11.3911,Pizzeria Il Piccolo Ritrovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/pizzeria_il_piccolo_ritrovo_45.7367_11.3911.json,custom
45.733849,11.392288,ov_on_the_road_santorso_45.7338_11.3923,On The Road Santorso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/on_the_road_santorso_45.7338_11.3923.json,custom
45.729672,11.387979,ov_jolly_bar_45.7297_11.3880,Jolly Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/jolly_bar_45.7297_11.3880.json,custom
45.725979,11.388091,ov_millybar_45.7260_11.3881,Millybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/millybar_45.7260_11.3881.json,custom
45.734570,11.395780,ov_mynet_vicenza_45.7346_11.3958,MYNET Vicenza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/mynet_vicenza_45.7346_11.3958.json,custom
45.736333,11.397329,ov_bar_bruschetteria_rivendita_vino_al_cali_45.7363_11.3973,Bar bruschetteria rivendita vino Al Calice D’Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/bar_bruschetteria_rivendita_vino_al_cali_45.7363_11.3973.json,custom
45.725578,11.422415,ov_bar_alla_rotonda_45.7256_11.4224,Bar Alla Rotonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/bar_alla_rotonda_45.7256_11.4224.json,custom
45.733894,11.373789,osm_corte_sconta_45.7339_11.3738,Corte Sconta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/corte_sconta_45.7339_11.3738.json,custom
45.730441,11.377681,osm_diesis_45.7304_11.3777,Diesis,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/diesis_45.7304_11.3777.json,custom
45.736356,11.402962,osm_bar_la_rosa_rossa_45.7364_11.4030,Bar La Rosa Rossa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/bar_la_rosa_rossa_45.7364_11.4030.json,custom
45.725807,11.388065,ov_creare_danza_45.7258_11.3881,Creare Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/creare_danza_45.7258_11.3881.json,custom
45.726008,11.388235,ov_mister_daniel_45.7260_11.3882,Mister Daniel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/mister_daniel_45.7260_11.3882.json,custom
45.728130,11.402380,ov_la_casa_verde_ranch_45.7281_11.4024,La Casa Verde ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/la_casa_verde_ranch_45.7281_11.4024.json,custom
45.727480,11.425500,ov_paolillo_golf_players_45.7275_11.4255,Paolillo Golf Players,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/paolillo_golf_players_45.7275_11.4255.json,custom
45.733535,11.409029,ov_scuderia_saltenius_45.7335_11.4090,Scuderia Saltenius,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/scuderia_saltenius_45.7335_11.4090.json,custom
45.737355,11.389744,ov_museo_archeologico_dell_alto_vicentino_45.7374_11.3897,Museo Archeologico dell'Alto Vicentino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/museo_archeologico_dellalto_vicentino_45.7374_11.3897.json,custom
45.737209,11.390325,ov_biblioteca_civica_di_santorso_45.7372_11.3903,Biblioteca Civica di Santorso,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/biblioteca_civica_di_santorso_45.7372_11.3903.json,custom
45.737034,11.390375,osm_biblioteca_civica_45.7370_11.3904,Biblioteca Civica,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/santorso/pages/biblioteca_civica_45.7370_11.3904.json,custom
