# lat,lng,id,name,building_type,type,url,page_type
# porto_azzurro -- Tutti
42.768820,10.396260,ov_elba_medical_center_42.7688_10.3963,Elba Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/elba_medical_center_42.7688_10.3963.json,custom
42.774023,10.405831,ov_ristorante_pizzeria_il_giardino_porto_az_42.7740_10.4058,Ristorante Pizzeria Il Giardino Porto Azzurro - PIATTI TIPIC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_pizzeria_il_giardino_porto_az_42.7740_10.4058.json,custom
42.769550,10.406518,ov_ristorante_pizzeria_bar_da_mario_42.7695_10.4065,Ristorante Pizzeria Bar da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_pizzeria_bar_da_mario_42.7695_10.4065.json,custom
42.762734,10.394401,ov_ristorante_la_terrazza_42.7627_10.3944,Ristorante La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_la_terrazza_42.7627_10.3944.json,custom
42.763703,10.399562,ov_pizzeria_l_arte_bianca_42.7637_10.3996,Pizzeria l'Arte Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/pizzeria_larte_bianca_42.7637_10.3996.json,custom
42.763820,10.399496,ov_lisca_e_osso_42.7638_10.3995,Lisca e Osso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/lisca_e_osso_42.7638_10.3995.json,custom
42.764603,10.395362,ov_pizzeria_capitan_hook_42.7646_10.3954,Pizzeria Capitan Hook,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/pizzeria_capitan_hook_42.7646_10.3954.json,custom
42.765029,10.395937,ov_magnetico_bistro_42.7650_10.3959,MagnEtico Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/magnetico_bistro_42.7650_10.3959.json,custom
42.765051,10.396187,ov_osteria_da_farnese_42.7651_10.3962,Osteria Da Farnese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/osteria_da_farnese_42.7651_10.3962.json,custom
42.764998,10.396271,ov_ristorante_la_caravella_42.7650_10.3963,Ristorante la Caravella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_la_caravella_42.7650_10.3963.json,custom
42.764961,10.398451,ov_pegaso_42.7650_10.3985,Pegaso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/pegaso_42.7650_10.3985.json,custom
42.764896,10.398465,ov_la_fenice_42.7649_10.3985,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_fenice_42.7649_10.3985.json,custom
42.765133,10.396635,ov_ristorante_delfino_verde_42.7651_10.3966,Ristorante Delfino Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_delfino_verde_42.7651_10.3966.json,custom
42.765282,10.396664,ov_ristorante_calafata_42.7653_10.3967,Ristorante Calafata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_calafata_42.7653_10.3967.json,custom
42.765167,10.398426,ov_ristorante_pizzeria__la_risacca__42.7652_10.3984,Ristorante-Pizzeria “La Risacca”,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante-pizzeria_la_risacca_42.7652_10.3984.json,custom
42.765562,10.398337,ov_non_solo_pizza_da_nicola_42.7656_10.3983,Non Solo Pizza Da Nicola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/non_solo_pizza_da_nicola_42.7656_10.3983.json,custom
42.765548,10.397138,ov_pizzeria_alido_42.7655_10.3971,Pizzeria Alido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/pizzeria_alido_42.7655_10.3971.json,custom
42.765685,10.397061,ov_osteria_clandestina_42.7657_10.3971,Osteria Clandestina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/osteria_clandestina_42.7657_10.3971.json,custom
42.765249,10.396097,ov_la_tavernetta_di_romano_giuseppe_42.7652_10.3961,La Tavernetta Di Romano Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_tavernetta_di_romano_giuseppe_42.7652_10.3961.json,custom
42.765263,10.395423,ov_pizzeria_da_giuseppe_42.7653_10.3954,Pizzeria Da Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/pizzeria_da_giuseppe_42.7653_10.3954.json,custom
42.765410,10.395372,ov_rosticceria_ristorante_rosteria_mami___p_42.7654_10.3954,ROSTICCERIA Ristorante Rosteria MAMI & PAPI Gastronomia anch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/rosticceria_ristorante_rosteria_mami_pap_42.7654_10.3954.json,custom
42.765980,10.396450,ov_la_bottega_del_pane_42.7660_10.3964,la bottega del pane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_bottega_del_pane_42.7660_10.3964.json,custom
42.766305,10.396659,ov_ristorante_da_pino_42.7663_10.3967,Ristorante Da Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_da_pino_42.7663_10.3967.json,custom
42.766386,10.398167,ov_osteria_dei_4_gatti_42.7664_10.3982,Osteria dei 4 Gatti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/osteria_dei_4_gatti_42.7664_10.3982.json,custom
42.766370,10.398069,ov_polpo_briao_42.7664_10.3981,Polpo Briao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/polpo_briao_42.7664_10.3981.json,custom
42.766285,10.398165,ov_ristorante_cutty_sark_42.7663_10.3982,Ristorante CUTTY SARK,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_cutty_sark_42.7663_10.3982.json,custom
42.766071,10.398319,ov_da_floriano_42.7661_10.3983,Da Floriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/da_floriano_42.7661_10.3983.json,custom
42.766007,10.398367,ov_ristorante_da_anto_42.7660_10.3984,Ristorante Da Anto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_da_anto_42.7660_10.3984.json,custom
42.766194,10.398432,ov_el_curandero_42.7662_10.3984,El Curandero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/el_curandero_42.7662_10.3984.json,custom
42.766161,10.397180,ov_bar_la_creperia_42.7662_10.3972,Bar La Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/bar_la_creperia_42.7662_10.3972.json,custom
42.765885,10.397307,ov_prezzemolina_risto_42.7659_10.3973,Prezzemolina risto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/prezzemolina_risto_42.7659_10.3973.json,custom
42.765919,10.397300,ov_tsquared_42.7659_10.3973,Tsquared,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/tsquared_42.7659_10.3973.json,custom
42.765794,10.398462,ov_la_resistenza_42.7658_10.3985,La Resistenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_resistenza_42.7658_10.3985.json,custom
42.765844,10.398286,ov_il_sottoscala_42.7658_10.3983,Il Sottoscala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/il_sottoscala_42.7658_10.3983.json,custom
42.765972,10.398235,ov_osteria_locanda_cecconi_42.7660_10.3982,Osteria Locanda Cecconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/osteria_locanda_cecconi_42.7660_10.3982.json,custom
42.768370,10.401120,ov_panificio_pizzeria_da_mario_42.7684_10.4011,Panificio Pizzeria Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/panificio_pizzeria_da_mario_42.7684_10.4011.json,custom
42.768370,10.401120,ov_osteria_moresca_42.7684_10.4011,Osteria Moresca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/osteria_moresca_42.7684_10.4011.json,custom
42.766869,10.397446,ov_mamade__42.7669_10.3974,Mamade',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/mamade_42.7669_10.3974.json,custom
42.767408,10.394518,ov_la_botte_gaia_42.7674_10.3945,La Botte Gaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_botte_gaia_42.7674_10.3945.json,custom
42.762033,10.389942,ov_la_caletta_42.7620_10.3899,La Caletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/la_caletta_42.7620_10.3899.json,custom
42.761213,10.385615,ov_ristorante_la_caletta_42.7612_10.3856,Ristorante La Caletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_la_caletta_42.7612_10.3856.json,custom
42.760767,10.371086,ov_ristorante_sapereta_42.7608_10.3711,Ristorante Sapereta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/ristorante_sapereta_42.7608_10.3711.json,custom
42.773155,10.401492,ov_san_cerbone_42.7732_10.4015,San Cerbone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/porto_azzurro/pages/san_cerbone_42.7732_10.4015.json,custom
