# lat,lng,id,name,building_type,type,url,page_type
# cupramontana -- Tutti
43.446807,13.117828,ov_ospedale_cupra_43.4468_13.1178,Ospedale Cupra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/ospedale_cupra_43.4468_13.1178.json,custom
43.448926,13.111609,ov_sprint_43.4489_13.1116,Sprint,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/sprint_43.4489_13.1116.json,custom
43.445507,13.092589,ov_bar_trattoria_da_fiorina_43.4455_13.0926,Bar Trattoria da Fiorina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/bar_trattoria_da_fiorina_43.4455_13.0926.json,custom
43.444875,13.116216,ov_trattoria_anita_43.4449_13.1162,Trattoria Anita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/trattoria_anita_43.4449_13.1162.json,custom
43.445683,13.113120,ov_pizzago_43.4457_13.1131,PizzAgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/pizzago_43.4457_13.1131.json,custom
43.445549,13.116081,ov_ristorante_orietta_43.4455_13.1161,Ristorante Orietta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/ristorante_orietta_43.4455_13.1161.json,custom
43.446634,13.115793,ov_ristorante_pizzeria_al_viale_19_43.4466_13.1158,Ristorante Pizzeria al Viale 19,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/ristorante_pizzeria_al_viale_19_43.4466_13.1158.json,custom
43.440296,13.118526,ov_ristorante_pizzeria_gina_43.4403_13.1185,Ristorante Pizzeria Gina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/ristorante_pizzeria_gina_43.4403_13.1185.json,custom
43.445231,13.115867,ov_bar_ruggero_43.4452_13.1159,Bar Ruggero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/bar_ruggero_43.4452_13.1159.json,custom
43.445830,13.114717,ov_la_tana_del_bianconiglio_pub_43.4458_13.1147,La tana del bianconiglio pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/la_tana_del_bianconiglio_pub_43.4458_13.1147.json,custom
43.445971,13.117633,ov_enocupra___mig_43.4460_13.1176,Enocupra - MIG,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/enocupra_-_mig_43.4460_13.1176.json,custom
43.479189,13.175811,ov_my_cafe_43.4792_13.1758,My Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/my_cafe_43.4792_13.1758.json,custom
43.445340,13.115265,osm_bar_centrale_43.4453_13.1153,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/bar_centrale_43.4453_13.1153.json,custom
43.445799,13.117404,ov_museo_internazionale_dell_etichetta_del__43.4458_13.1174,Museo Internazionale dell'Etichetta del Vino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/museo_internazionale_delletichetta_del_v_43.4458_13.1174.json,custom
43.445523,13.115743,ov_la_fabbrica_del_sapere___biblioteca_di_c_43.4455_13.1157,La fabbrica del sapere - Biblioteca di Cupramontana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/la_fabbrica_del_sapere_-_biblioteca_di_c_43.4455_13.1157.json,custom
43.445523,13.115743,osm_biblioteca_comunale_43.4455_13.1157,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/cupramontana/pages/biblioteca_comunale_43.4455_13.1157.json,custom
