# lat,lng,id,name,building_type,type,url,page_type
# Sarteano -- Tutti
42.994656,11.862351,osm_asl_sarteano_42.9947_11.8624,ASL Sarteano,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/asl_sarteano_42.9947_11.8624.json,custom
42.996396,11.847916,ov_torre_ai_mari_42.9964_11.8479,Torre Ai Mari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/torre_ai_mari_42.9964_11.8479.json,custom
42.997310,11.861170,ov_pescheria_l_accademia_del_mare_42.9973_11.8612,Pescheria L’accademia Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/pescheria_laccademia_del_mare_42.9973_11.8612.json,custom
42.998560,11.855940,ov_ristorante_il_cibo_degli_dei_presso_albe_42.9986_11.8559,Ristorante Il cibo degli dei presso Albergo Villaggio Olisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/ristorante_il_cibo_degli_dei_presso_albe_42.9986_11.8559.json,custom
42.988822,11.873179,ov_le_mani_in_pasta_42.9888_11.8732,Le Mani in Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/le_mani_in_pasta_42.9888_11.8732.json,custom
42.989281,11.868148,ov_taverna_di_merlino_42.9893_11.8681,Taverna di Merlino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/taverna_di_merlino_42.9893_11.8681.json,custom
42.988388,11.865184,ov_carpe_diem_42.9884_11.8652,Carpe Diem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/carpe_diem_42.9884_11.8652.json,custom
42.989558,11.865389,ov_esperia_ristorante_pizzeria_42.9896_11.8654,Esperia ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/esperia_ristorante_pizzeria_42.9896_11.8654.json,custom
42.989397,11.865963,ov_il_saracino_42.9894_11.8660,Il Saracino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/il_saracino_42.9894_11.8660.json,custom
42.989799,11.866335,ov_chiostro_cennini_42.9898_11.8663,Chiostro Cennini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/chiostro_cennini_42.9898_11.8663.json,custom
42.989984,11.869731,ov_osteria_da_gagliano_42.9900_11.8697,Osteria Da Gagliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/osteria_da_gagliano_42.9900_11.8697.json,custom
42.989620,11.870228,ov_la_locanda_dei_tintori_42.9896_11.8702,La Locanda dei Tintori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/la_locanda_dei_tintori_42.9896_11.8702.json,custom
42.989585,11.868485,ov_tripolitania_42.9896_11.8685,Tripolitania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/tripolitania_42.9896_11.8685.json,custom
42.981450,11.814488,ov_ristorante_extravergine_42.9815_11.8145,Ristorante Extravergine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/ristorante_extravergine_42.9815_11.8145.json,custom
42.992265,11.864031,osm_mondopizza_42.9923_11.8640,MondoPizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/mondopizza_42.9923_11.8640.json,custom
42.992321,11.864523,osm_la_giara_42.9923_11.8645,La Giara,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/la_giara_42.9923_11.8645.json,custom
42.989249,11.868934,osm_bar_pizzeria_milano_42.9892_11.8689,Bar Pizzeria MIlano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/bar_pizzeria_milano_42.9892_11.8689.json,custom
42.989666,11.870338,osm_locanda_dei_tintori_42.9897_11.8703,Locanda Dei Tintori,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/locanda_dei_tintori_42.9897_11.8703.json,custom
42.989602,11.868493,osm_trattoria_tripolitania_42.9896_11.8685,Trattoria Tripolitania,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/trattoria_tripolitania_42.9896_11.8685.json,custom
42.999227,11.854914,osm_la_lanterna_42.9992_11.8549,La Lanterna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/la_lanterna_42.9992_11.8549.json,custom
42.992432,11.864555,ov_la_giara_42.9924_11.8646,La Giara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/la_giara_42.9924_11.8646.json,custom
42.986600,11.870250,ov_bar_del_palazzetto___sarteano_42.9866_11.8703,Bar del Palazzetto - Sarteano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/bar_del_palazzetto_-_sarteano_42.9866_11.8703.json,custom
42.989259,11.869784,ov_bar_dello_sport_42.9893_11.8698,Bar dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sarteano/pages/bar_dello_sport_42.9893_11.8698.json,custom
