# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.802976,12.597941,ov_mamo_caffe_41.8030_12.5979,Mamo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mamo_caffe_41.8030_12.5979.json,custom
41.802982,12.597936,ov_quantum_bar_srl_41.8030_12.5979,Quantum Bar Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/quantum_bar_srl_41.8030_12.5979.json,custom
41.800405,12.598258,ov_dub_s_41.8004_12.5983,Dub's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/dubs_41.8004_12.5983.json,custom
41.801216,12.597654,ov_la_culla_del_caff__41.8012_12.5977,La Culla del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_culla_del_caff_41.8012_12.5977.json,custom
41.802444,12.596997,ov_l_arte_del_caffe_ciampino_41.8024_12.5970,L'Arte del Caffe Ciampino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/larte_del_caffe_ciampino_41.8024_12.5970.json,custom
41.804100,12.596913,ov_bigcaffe_41.8041_12.5969,BigCaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bigcaffe_41.8041_12.5969.json,custom
41.803941,12.596620,ov_bar_corsetti_41.8039_12.5966,Bar Corsetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_corsetti_41.8039_12.5966.json,custom
41.797649,12.603017,ov_l_angolo_bar_tabacchi_41.7976_12.6030,L'Angolo Bar Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/langolo_bar_tabacchi_41.7976_12.6030.json,custom
41.798617,12.603838,ov_l_espresso_in_cialde_41.7986_12.6038,L'Espresso In Cialde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/lespresso_in_cialde_41.7986_12.6038.json,custom
41.802341,12.602058,ov_caffe_33_41.8023_12.6021,Caffe 33,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caffe_33_41.8023_12.6021.json,custom
41.801804,12.602965,ov_bar_mantegna_41.8018_12.6030,Bar Mantegna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_mantegna_41.8018_12.6030.json,custom
41.805660,12.602371,ov_ily_bar_41.8057_12.6024,Ily Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ily_bar_41.8057_12.6024.json,custom
41.804291,12.601864,ov_bar_pasticceria_rinaldi_41.8043_12.6019,Bar Pasticceria Rinaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_pasticceria_rinaldi_41.8043_12.6019.json,custom
41.800592,12.601284,ov_giochi___servizi_41.8006_12.6013,Giochi & Servizi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/giochi_servizi_41.8006_12.6013.json,custom
41.800529,12.601033,ov_bakery_caffe__bar_della_pace_41.8005_12.6010,Bakery Caffe’ bar della pace,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bakery_caffe_bar_della_pace_41.8005_12.6010.json,custom
41.800941,12.600985,ov_md_cialde_41.8009_12.6010,MD Cialde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/md_cialde_41.8009_12.6010.json,custom
41.802697,12.600377,ov_geff_cafe_41.8027_12.6004,Geff Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/geff_cafe_41.8027_12.6004.json,custom
41.800543,12.599647,ov_propaganda_ciampino_41.8005_12.5996,Propaganda Ciampino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/propaganda_ciampino_41.8005_12.5996.json,custom
41.800398,12.598818,ov_atlantis_bar_41.8004_12.5988,Atlantis Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/atlantis_bar_41.8004_12.5988.json,custom
41.800410,12.598865,ov_lupin_bar_41.8004_12.5989,Lupin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/lupin_bar_41.8004_12.5989.json,custom
41.801611,12.598769,ov_plaza_caffe_41.8016_12.5988,Plaza Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/plaza_caffe_41.8016_12.5988.json,custom
41.801546,12.598721,ov_caffetteria_carmenini_41.8015_12.5987,Caffetteria Carmenini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caffetteria_carmenini_41.8015_12.5987.json,custom
41.803400,12.598613,ov_buddha_bar_41.8034_12.5986,Buddha Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/buddha_bar_41.8034_12.5986.json,custom
41.803600,12.599157,ov_canadian_bar_41.8036_12.5992,Canadian Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/canadian_bar_41.8036_12.5992.json,custom
41.803014,12.599588,ov_la_vita_nova_ciampino_bottega_del_commer_41.8030_12.5996,La Vita Nova Ciampino Bottega del commercio Equo&Solidale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_vita_nova_ciampino_bottega_del_commer_41.8030_12.5996.json,custom
41.810014,12.601093,ov_bartotalerg_41.8100_12.6011,Bartotalerg,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bartotalerg_41.8100_12.6011.json,custom
41.809768,12.599905,ov_moka_41.8098_12.5999,Moka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/moka_41.8098_12.5999.json,custom
41.809052,12.599350,ov_diamond_vineria___cocktail_bar_41.8091_12.5994,Diamond Vineria & Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/diamond_vineria_cocktail_bar_41.8091_12.5994.json,custom
41.810535,12.599034,ov_suburbiaclub_41.8105_12.5990,SuburbiaClub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/suburbiaclub_41.8105_12.5990.json,custom
41.806004,12.606819,ov_mancini_palace_caff__41.8060_12.6068,Mancini Palace Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mancini_palace_caff_41.8060_12.6068.json,custom
41.805204,12.608579,ov_caff__musa_41.8052_12.6086,Caffè Musa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caff_musa_41.8052_12.6086.json,custom
41.805617,12.606689,ov_mancini_bar_gelateria_pasticceria_41.8056_12.6067,Mancini Bar Gelateria Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mancini_bar_gelateria_pasticceria_41.8056_12.6067.json,custom
41.804747,12.605258,ov_dragon_bar_41.8047_12.6053,Dragon Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/dragon_bar_41.8047_12.6053.json,custom
41.798700,12.605273,ov_rose_bar_napoleoni_roberto_41.7987_12.6053,Rose Bar Napoleoni Roberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/rose_bar_napoleoni_roberto_41.7987_12.6053.json,custom
41.799557,12.604840,ov_bar_dello_studente_stupefacente_41.7996_12.6048,Bar dello Studente/STUPEFACENTE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_dello_studentestupefacente_41.7996_12.6048.json,custom
41.798808,12.604866,ov_beerclub___pub___beershop_41.7988_12.6049,BEERCLUB - Pub & Beershop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/beerclub_-_pub_beershop_41.7988_12.6049.json,custom
41.794298,12.607122,ov_bar_nimbus_41.7943_12.6071,Bar Nimbus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_nimbus_41.7943_12.6071.json,custom
41.794103,12.607499,ov_caffetteria_londra_41.7941_12.6075,Caffetteria Londra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caffetteria_londra_41.7941_12.6075.json,custom
41.796821,12.608274,ov_profumo_di_caffe_41.7968_12.6083,Profumo di Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/profumo_di_caffe_41.7968_12.6083.json,custom
41.795416,12.608911,ov_arkadia_41.7954_12.6089,Arkadia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/arkadia_41.7954_12.6089.json,custom
41.793397,12.607111,ov_bar_europa_di_cannavicci_bruno_41.7934_12.6071,Bar Europa di Cannavicci Bruno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_europa_di_cannavicci_bruno_41.7934_12.6071.json,custom
41.782160,12.602401,ov_tavola_calda_appia_snack_41.7822_12.6024,Tavola Calda Appia Snack,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/tavola_calda_appia_snack_41.7822_12.6024.json,custom
41.780278,12.605000,ov_alchimie_indipendenti_41.7803_12.6050,Alchimie Indipendenti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/alchimie_indipendenti_41.7803_12.6050.json,custom
41.785092,12.616550,ov_bistrot_caroli_ciampino_41.7851_12.6166,Bistrot Caroli Ciampino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bistrot_caroli_ciampino_41.7851_12.6166.json,custom
41.787940,12.616270,ov_terrazza_roby_41.7879_12.6163,Terrazza Roby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/terrazza_roby_41.7879_12.6163.json,custom
41.789348,12.616603,ov_roby_bar_41.7893_12.6166,Roby Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/roby_bar_41.7893_12.6166.json,custom
41.792577,12.613286,ov_pane_amore_e_fantasia_41.7926_12.6133,Pane Amore e Fantasia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pane_amore_e_fantasia_41.7926_12.6133.json,custom
41.791796,12.614391,ov_bar_bova_41.7918_12.6144,Bar Bova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_bova_41.7918_12.6144.json,custom
41.788155,12.614382,ov_drink_in_progress_41.7882_12.6144,DRINK in PROGRESS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/drink_in_progress_41.7882_12.6144.json,custom
41.788293,12.611693,ov_bar_dei_laghi_41.7883_12.6117,Bar Dei Laghi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_dei_laghi_41.7883_12.6117.json,custom
41.788258,12.611703,ov_pina_s_bar_41.7883_12.6117,Pina's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pinas_bar_41.7883_12.6117.json,custom
41.791794,12.610363,ov_cycling_cafe_41.7918_12.6104,Cycling Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/cycling_cafe_41.7918_12.6104.json,custom
41.805343,12.614093,ov_ciampino_city_41.8053_12.6141,Ciampino City,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ciampino_city_41.8053_12.6141.json,custom
41.804882,12.610665,ov_bar_boccanera_41.8049_12.6107,Bar Boccanera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_boccanera_41.8049_12.6107.json,custom
41.809205,12.599453,osm_diamond_caf__41.8092_12.5995,Diamond Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/diamond_caf_41.8092_12.5995.json,custom
41.798834,12.604230,osm_iniqua_41.7988_12.6042,Iniqua,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/iniqua_41.7988_12.6042.json,custom
41.803568,12.599158,osm_coffee_s_station_41.8036_12.5992,Coffee's Station,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/coffees_station_41.8036_12.5992.json,custom
41.808847,12.596638,osm_sottovoce_41.8088_12.5966,Sottovoce,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/sottovoce_41.8088_12.5966.json,custom
41.803028,12.597907,osm_mam__caff__41.8030_12.5979,Mamò Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mam_caff_41.8030_12.5979.json,custom
41.805596,12.599098,osm_antica_caffetteria_41.8056_12.5991,Antica caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/antica_caffetteria_41.8056_12.5991.json,custom
41.805978,12.599882,osm_bar_kennedy_41.8060_12.5999,Bar Kennedy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_kennedy_41.8060_12.5999.json,custom
41.806871,12.596867,osm_arcobaleno_41.8069_12.5969,Arcobaleno,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/arcobaleno_41.8069_12.5969.json,custom
41.811531,12.593234,ov_lipo_nevermore_41.8115_12.5932,Lipo Nevermore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/lipo_nevermore_41.8115_12.5932.json,custom
41.812659,12.595252,ov_steps_dance_school_41.8127_12.5953,Steps Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/steps_dance_school_41.8127_12.5953.json,custom
41.807571,12.595909,ov_ciampino_sporting_center_41.8076_12.5959,Ciampino Sporting Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ciampino_sporting_center_41.8076_12.5959.json,custom
41.801710,12.596887,ov_gymnazen___arrampicata___outdoor_41.8017_12.5969,GymnaZen - Arrampicata & Outdoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/gymnazen_-_arrampicata_outdoor_41.8017_12.5969.json,custom
41.797791,12.598818,ov_centro_yoga_arti_marziali_gymnazen_41.7978_12.5988,Centro Yoga Arti Marziali GymnaZen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/centro_yoga_arti_marziali_gymnazen_41.7978_12.5988.json,custom
41.799398,12.601352,ov_fit_and_go_ciampino_41.7994_12.6014,Fit And Go Ciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/fit_and_go_ciampino_41.7994_12.6014.json,custom
41.799107,12.601525,ov_sport_academy_ciampino_41.7991_12.6015,Sport Academy Ciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/sport_academy_ciampino_41.7991_12.6015.json,custom
41.801909,12.603090,ov_betitaly_mantegna_41.8019_12.6031,Betitaly Mantegna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/betitaly_mantegna_41.8019_12.6031.json,custom
41.801717,12.603132,ov_vander_salas_futsal_41.8017_12.6031,Vander Salas Futsal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/vander_salas_futsal_41.8017_12.6031.json,custom
41.804606,12.600618,ov_scuola_di_flamenco_la_ventana___ciampino_41.8046_12.6006,Scuola di Flamenco La Ventana - Ciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/scuola_di_flamenco_la_ventana_-_ciampino_41.8046_12.6006.json,custom
41.804609,12.600614,ov_havana_cultura_scuola_di_ballo_e_danza_41.8046_12.6006,Havana Cultura Scuola di Ballo e Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/havana_cultura_scuola_di_ballo_e_danza_41.8046_12.6006.json,custom
41.804644,12.600576,ov_visual_arts_department_41.8046_12.6006,Visual Arts Department,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/visual_arts_department_41.8046_12.6006.json,custom
41.807470,12.598630,ov_mega_one_gym_41.8075_12.5986,Mega One Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mega_one_gym_41.8075_12.5986.json,custom
41.797569,12.606994,ov_knockout_gym_41.7976_12.6070,Knockout Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/knockout_gym_41.7976_12.6070.json,custom
41.797564,12.606999,ov_arte_danza_41.7976_12.6070,ARte Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/arte_danza_41.7976_12.6070.json,custom
41.798588,12.606368,ov_palazzetto_dello_sport_francesco_tarquin_41.7986_12.6064,Palazzetto dello Sport Francesco Tarquini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/palazzetto_dello_sport_francesco_tarquin_41.7986_12.6064.json,custom
41.795153,12.607867,ov_crossfit_ciampino_41.7952_12.6079,CrossFit Ciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/crossfit_ciampino_41.7952_12.6079.json,custom
41.797320,12.607630,ov_centro_in_forma___personal_wellness_coac_41.7973_12.6076,Centro In Forma - Personal Wellness Coach,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/centro_in_forma_-_personal_wellness_coac_41.7973_12.6076.json,custom
41.797310,12.607841,ov_palestra_evolution_41.7973_12.6078,Palestra Evolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/palestra_evolution_41.7973_12.6078.json,custom
41.797288,12.607856,ov_evolution_muscle___fitness_41.7973_12.6079,Evolution muscle & fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/evolution_muscle_fitness_41.7973_12.6079.json,custom
41.796530,12.608743,ov_evolution_academy_41.7965_12.6087,Evolution Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/evolution_academy_41.7965_12.6087.json,custom
41.795796,12.608930,ov_asd_neb_dance_academy_41.7958_12.6089,Asd NEB Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/asd_neb_dance_academy_41.7958_12.6089.json,custom
41.784848,12.603227,ov_pratical_camp_tiro_dinamico_softair_41.7848_12.6032,Pratical Camp Tiro Dinamico Softair,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pratical_camp_tiro_dinamico_softair_41.7848_12.6032.json,custom
41.783252,12.616667,ov_pilatescorpoementeciampino_41.7833_12.6167,Pilatescorpoementeciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pilatescorpoementeciampino_41.7833_12.6167.json,custom
41.785476,12.621259,ov_campo_superga_41.7855_12.6213,Campo Superga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/campo_superga_41.7855_12.6213.json,custom
41.788691,12.616960,ov_mondial_bowling_41.7887_12.6170,Mondial Bowling,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mondial_bowling_41.7887_12.6170.json,custom
41.792427,12.613050,ov_ssd_latin_world_41.7924_12.6131,Ssd Latin World,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ssd_latin_world_41.7924_12.6131.json,custom
41.790310,12.614208,ov_asd_m_t_f_2000_41.7903_12.6142,Asd M.T.F 2000,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/asd_mtf_2000_41.7903_12.6142.json,custom
41.790736,12.615328,ov_scuola_danza_o_ballet_41.7907_12.6153,Scuola danza O.Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/scuola_danza_oballet_41.7907_12.6153.json,custom
41.785873,12.615006,ov_a_s_d____cipollaro_41.7859_12.6150,A S D    Cipollaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/a_s_d_cipollaro_41.7859_12.6150.json,custom
41.785487,12.615255,ov_gym2000ciampino_41.7855_12.6153,Gym2000ciampino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/gym2000ciampino_41.7855_12.6153.json,custom
41.791650,12.611710,ov_corsi_pilates_asi_41.7916_12.6117,Corsi Pilates ASI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/corsi_pilates_asi_41.7916_12.6117.json,custom
41.791894,12.612113,ov_venezia_club_5_0_41.7919_12.6121,Venezia Club 5.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/venezia_club_50_41.7919_12.6121.json,custom
41.794882,12.614106,ov_suzuka_international_circuit_41.7949_12.6141,Suzuka International Circuit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/suzuka_international_circuit_41.7949_12.6141.json,custom
41.801855,12.615233,ov_pellerani_kickboxing_team_41.8019_12.6152,Pellerani Kickboxing Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pellerani_kickboxing_team_41.8019_12.6152.json,custom
41.795337,12.620389,ov_la_marioneta_tango_41.7953_12.6204,La Marioneta Tango,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_marioneta_tango_41.7953_12.6204.json,custom
41.796694,12.623547,ov_green_planet_club_41.7967_12.6235,Green Planet Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/green_planet_club_41.7967_12.6235.json,custom
41.789697,12.621757,ov_palestra_41.7897_12.6218,Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/palestra_41.7897_12.6218.json,custom
41.817931,12.589552,ov_vertigo_roma_ginnastica_artistica_41.8179_12.5896,Vertigo Roma Ginnastica Artistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/vertigo_roma_ginnastica_artistica_41.8179_12.5896.json,custom
41.805804,12.601456,osm_poste_italiane_41.8058_12.6015,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/poste_italiane_41.8058_12.6015.json,custom
41.802910,12.600342,ov_biblioteca_di_ciampino_41.8029_12.6003,Biblioteca di Ciampino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/biblioteca_di_ciampino_41.8029_12.6003.json,custom
41.802879,12.600353,osm_biblioteca_pier_paolo_pasolini_41.8029_12.6004,Biblioteca Pier Paolo Pasolini,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/biblioteca_pier_paolo_pasolini_41.8029_12.6004.json,custom
