# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.800630,12.601210,ov_fulcro_bistrot_41.8006_12.6012,Fulcro Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/fulcro_bistrot_41.8006_12.6012.json,custom
41.800011,12.600670,ov_verace_41.8000_12.6007,Verace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/verace_41.8000_12.6007.json,custom
41.800612,12.600501,ov_voglia_di___pizza_41.8006_12.6005,voglia di...PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/voglia_dipizza_41.8006_12.6005.json,custom
41.801571,12.600506,ov_pizzeria_e_tavola_calda_m_r__valentini_41.8016_12.6005,Pizzeria e Tavola Calda M.R. Valentini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_e_tavola_calda_mr_valentini_41.8016_12.6005.json,custom
41.802974,12.598786,ov_arte_pizza_kebab_41.8030_12.5988,Arte Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/arte_pizza_kebab_41.8030_12.5988.json,custom
41.803099,12.598848,ov_onoraticaff__41.8031_12.5988,OnoratiCaffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/onoraticaff_41.8031_12.5988.json,custom
41.803599,12.599215,ov_pizzeria_la_stazione_41.8036_12.5992,Pizzeria La Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_la_stazione_41.8036_12.5992.json,custom
41.805858,12.600159,ov_ristorantino_di_pesce_kruddogo_41.8059_12.6002,ristorantino di pesce kruddogo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristorantino_di_pesce_kruddogo_41.8059_12.6002.json,custom
41.809208,12.600226,ov_hosterie_cosi___se_vi_pare_41.8092_12.6002,Hosterie cosi è se vi pare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/hosterie_cosi_se_vi_pare_41.8092_12.6002.json,custom
41.809230,12.600291,ov_i_vitelloni_ciampino_41.8092_12.6003,I Vitelloni CIAMPINO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/i_vitelloni_ciampino_41.8092_12.6003.json,custom
41.809780,12.599987,ov_big_pizza_41.8098_12.6000,Big Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/big_pizza_41.8098_12.6000.json,custom
