# lat,lng,id,name,building_type,type,url,page_type
# Castrolibero -- Tutti
39.308793,16.215103,ov_ambulatorio_di_vulnologia_polo_sanitario_39.3088_16.2151,Ambulatorio di Vulnologia polo Sanitario Castrolibero dr Gia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/ambulatorio_di_vulnologia_polo_sanitario_39.3088_16.2151.json,custom
39.298107,16.193442,ov_pizzeria_da_giuseppe_39.2981_16.1934,Pizzeria Da Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/pizzeria_da_giuseppe_39.2981_16.1934.json,custom
39.300518,16.192009,ov_pizzeria_biga_39.3005_16.1920,Pizzeria Biga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/pizzeria_biga_39.3005_16.1920.json,custom
39.296179,16.206488,ov_gigi_pizza_e_griglia_39.2962_16.2065,Gigi Pizza e Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/gigi_pizza_e_griglia_39.2962_16.2065.json,custom
39.308824,16.218085,ov_pizzeria_da_aldo_39.3088_16.2181,Pizzeria Da Aldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/pizzeria_da_aldo_39.3088_16.2181.json,custom
39.306133,16.223765,ov_fuori_pizza_filippelli_39.3061_16.2238,Fuori Pizza Filippelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/fuori_pizza_filippelli_39.3061_16.2238.json,custom
39.309853,16.226948,ov_festopoli_parco_giochi_39.3099_16.2269,Festopoli Parco Giochi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/festopoli_parco_giochi_39.3099_16.2269.json,custom
39.305660,16.221270,ov_capricci__bar_pasticceria_pizzeria_di_ma_39.3057_16.2213,"Capricci, Bar Pasticceria Pizzeria di Mario Crocco",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/capricci_bar_pasticceria_pizzeria_di_mar_39.3057_16.2213.json,custom
39.308500,16.215535,ov_pizzeria_blade_runner_39.3085_16.2155,pizzeria.blade.runner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/pizzeriabladerunner_39.3085_16.2155.json,custom
39.328156,16.218636,ov_pizzeria_dal_taliano_39.3282_16.2186,Pizzeria dal Taliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/pizzeria_dal_taliano_39.3282_16.2186.json,custom
39.309827,16.221031,ov_non_solo_caffe_39.3098_16.2210,Non Solo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/non_solo_caffe_39.3098_16.2210.json,custom
