# lat,lng,id,name,building_type,type,url,page_type
# gromo -- Tutti
45.967647,9.941119,ov_ospedale_m_o__antonio_locatelli_di_piari_45.9676_9.9411,Ospedale M.O. Antonio Locatelli di Piario - Servizio di Pron,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/ospedale_mo_antonio_locatelli_di_piario__45.9676_9.9411.json,custom
45.965850,9.926638,ov_locanda_del_cacciatore_45.9659_9.9266,Locanda Del Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/locanda_del_cacciatore_45.9659_9.9266.json,custom
45.963568,9.927526,ov_pizzeria_da_cristian_45.9636_9.9275,Pizzeria da Cristian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/pizzeria_da_cristian_45.9636_9.9275.json,custom
45.963740,9.927335,ov_albergo_ristorante_gromo_45.9637_9.9273,Albergo Ristorante Gromo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/albergo_ristorante_gromo_45.9637_9.9273.json,custom
45.970605,9.960070,ov_chalet_fernanda_45.9706_9.9601,Chalet Fernanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/chalet_fernanda_45.9706_9.9601.json,custom
45.968999,9.929292,ov_bar_del_centro_45.9690_9.9293,Bar Del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/bar_del_centro_45.9690_9.9293.json,custom
45.963265,9.928968,ov__l_barach__45.9633_9.9290,Öl Barachì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/l_barach_45.9633_9.9290.json,custom
45.962265,9.926998,ov_bar_valery_45.9623_9.9270,Bar Valery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/bar_valery_45.9623_9.9270.json,custom
45.970709,9.960146,osm_bar_franz_e_giusy_45.9707_9.9601,bar Franz e Giusy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/bar_franz_e_giusy_45.9707_9.9601.json,custom
45.970336,9.963127,ov_scuola_italiana_sci_spiazzi_45.9703_9.9631,Scuola Italiana Sci Spiazzi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/scuola_italiana_sci_spiazzi_45.9703_9.9631.json,custom
45.969009,9.929433,ov_museo_delle_armi_bianche_e_delle_pergame_45.9690_9.9294,Museo delle Armi Bianche e delle Pergamene,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/museo_delle_armi_bianche_e_delle_pergame_45.9690_9.9294.json,custom
45.968934,9.928600,ov_biblioteca_comunale_45.9689_9.9286,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/biblioteca_comunale_45.9689_9.9286.json,custom
45.968720,9.928090,ov_biblioteca_di_gromo_45.9687_9.9281,Biblioteca di Gromo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gromo/pages/biblioteca_di_gromo_45.9687_9.9281.json,custom
