# lat,lng,id,name,building_type,type,url,page_type
# lovere -- Tutti
45.818935,10.074882,ov_pronto_soccorso_lovere_45.8189_10.0749,Pronto Soccorso Lovere,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/pronto_soccorso_lovere_45.8189_10.0749.json,custom
45.813429,10.067965,ov_trattoria_aurora_45.8134_10.0680,Trattoria Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/trattoria_aurora_45.8134_10.0680.json,custom
45.809388,10.068566,ov_osteria_spirito_di_vino_45.8094_10.0686,Osteria Spirito Di Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/osteria_spirito_di_vino_45.8094_10.0686.json,custom
45.810968,10.069509,ov_ristorante_l_opera_45.8110_10.0695,Ristorante l'Opera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ristorante_lopera_45.8110_10.0695.json,custom
45.810825,10.070413,ov_la_campagnola_45.8108_10.0704,La Campagnola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_campagnola_45.8108_10.0704.json,custom
45.818982,10.079280,ov_le_terrazze_45.8190_10.0793,Le Terrazze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/le_terrazze_45.8190_10.0793.json,custom
45.817787,10.076716,ov_ristorantemas_45.8178_10.0767,RistoranteMas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ristorantemas_45.8178_10.0767.json,custom
45.816534,10.074816,ov_la_casa_del_porto_45.8165_10.0748,La Casa del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_casa_del_porto_45.8165_10.0748.json,custom
45.816746,10.074944,ov_paposceria_san_giorgio_45.8167_10.0749,Paposceria San Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/paposceria_san_giorgio_45.8167_10.0749.json,custom
45.816380,10.074713,ov_ristorante_pizzeria_bar_almici_45.8164_10.0747,Ristorante Pizzeria Bar ALMICI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ristorante_pizzeria_bar_almici_45.8164_10.0747.json,custom
45.816315,10.073683,ov_osteria_la_torre_45.8163_10.0737,Osteria La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/osteria_la_torre_45.8163_10.0737.json,custom
45.815460,10.072794,ov_art_ristorante___pizzeria_45.8155_10.0728,Art Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/art_ristorante_pizzeria_45.8155_10.0728.json,custom
45.814371,10.072466,ov_istanbul_turkish_kebap_45.8144_10.0725,Istanbul Turkish Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/istanbul_turkish_kebap_45.8144_10.0725.json,custom
45.816938,10.073973,ov_la_taverna_pizzeria_osteria_birreria_45.8169_10.0740,La Taverna Pizzeria Osteria Birreria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_taverna_pizzeria_osteria_birreria_45.8169_10.0740.json,custom
45.817231,10.074090,ov_all_angolo_45.8172_10.0741,All'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/allangolo_45.8172_10.0741.json,custom
45.820839,10.078931,ov_yang_sushi_45.8208_10.0789,Yang Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/yang_sushi_45.8208_10.0789.json,custom
45.820620,10.079630,ov_ristorante_pizzerria_le_vele_lovere_45.8206_10.0796,Ristorante pizzerria le vele lovere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ristorante_pizzerria_le_vele_lovere_45.8206_10.0796.json,custom
45.821665,10.080193,ov_icio_b_45.8217_10.0802,ICIO B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/icio_b_45.8217_10.0802.json,custom
45.821754,10.080265,ov_ristorante_pizzeria_marconi_69_45.8218_10.0803,Ristorante Pizzeria Marconi 69,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ristorante_pizzeria_marconi_69_45.8218_10.0803.json,custom
45.821588,10.080097,ov_bistrot_diciotto_10_45.8216_10.0801,Bistrot Diciotto 10,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bistrot_diciotto_10_45.8216_10.0801.json,custom
45.821983,10.081397,ov_lucignolo_45.8220_10.0814,Lucignolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/lucignolo_45.8220_10.0814.json,custom
45.822008,10.081817,ov_pinocchio_lovere_45.8220_10.0818,Pinocchio Lovere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/pinocchio_lovere_45.8220_10.0818.json,custom
45.816781,10.074856,osm_almici_45.8168_10.0749,Almici,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/almici_45.8168_10.0749.json,custom
45.817773,10.076742,osm_mas_45.8178_10.0767,Mas,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/mas_45.8178_10.0767.json,custom
45.814586,10.072879,osm_quinto_gusto_caff__e_cucina_45.8146_10.0729,Quinto gusto caffè e cucina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/quinto_gusto_caff_e_cucina_45.8146_10.0729.json,custom
45.817119,10.075232,osm_flour_45.8171_10.0752,Flour,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/flour_45.8171_10.0752.json,custom
45.821285,10.080581,osm_pub_la_barca_45.8213_10.0806,Pub La Barca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/pub_la_barca_45.8213_10.0806.json,custom
45.808483,10.068951,ov_la_marina_del_porto_45.8085_10.0690,La Marina Del Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_marina_del_porto_45.8085_10.0690.json,custom
45.808270,10.068899,ov_bingo_porto_lovere_45.8083_10.0689,Bingo Porto Lovere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bingo_porto_lovere_45.8083_10.0689.json,custom
45.808367,10.068264,ov_tortuga_bay_45.8084_10.0683,Tortuga Bay,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/tortuga_bay_45.8084_10.0683.json,custom
45.811595,10.071008,ov_love_pepete___piscine_lovere_45.8116_10.0710,Love Pepete - Piscine Lovere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/love_pepete_-_piscine_lovere_45.8116_10.0710.json,custom
45.809438,10.068501,ov_tortuga_lovere_45.8094_10.0685,Tortuga Lovere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/tortuga_lovere_45.8094_10.0685.json,custom
45.817129,10.074621,ov_cafe_caprini_45.8171_10.0746,Cafe Caprini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/cafe_caprini_45.8171_10.0746.json,custom
45.817436,10.074987,ov_ricci_e_no_bistro_45.8174_10.0750,Ricci E No Bistro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/ricci_e_no_bistro_45.8174_10.0750.json,custom
45.817199,10.076247,ov_bar_centrale_45.8172_10.0762,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bar_centrale_45.8172_10.0762.json,custom
45.816818,10.075568,ov_bar_imbarcadero_45.8168_10.0756,Bar Imbarcadero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bar_imbarcadero_45.8168_10.0756.json,custom
45.816656,10.074914,ov_l_arlecchino_45.8167_10.0749,L'Arlecchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/larlecchino_45.8167_10.0749.json,custom
45.816538,10.073467,ov_il_circolo_45.8165_10.0735,il Circolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/il_circolo_45.8165_10.0735.json,custom
45.815340,10.073765,ov_il_d_o_c__pancaffe_45.8153_10.0738,Il D.O.C. Pancaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/il_doc_pancaffe_45.8153_10.0738.json,custom
45.814551,10.072560,ov_wand_45.8146_10.0726,Wand,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/wand_45.8146_10.0726.json,custom
45.817224,10.073703,ov_bar_luna_piena_45.8172_10.0737,Bar Luna Piena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bar_luna_piena_45.8172_10.0737.json,custom
45.820622,10.079630,ov_circolo_micologico_di_lovere_45.8206_10.0796,Circolo micologico di Lovere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/circolo_micologico_di_lovere_45.8206_10.0796.json,custom
45.821427,10.080418,ov_pub_la_barca_45.8214_10.0804,Pub La Barca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/pub_la_barca_45.8214_10.0804.json,custom
45.821496,10.079777,ov_prepost_lovere_45.8215_10.0798,Prepost Lovere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/prepost_lovere_45.8215_10.0798.json,custom
45.820968,10.079511,osm_moleri_45.8210_10.0795,Moleri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/moleri_45.8210_10.0795.json,custom
45.815331,10.072908,osm_la_lanterna_45.8153_10.0729,La Lanterna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_lanterna_45.8153_10.0729.json,custom
45.816955,10.075027,osm_arlecchino_45.8170_10.0750,Arlecchino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/arlecchino_45.8170_10.0750.json,custom
45.817167,10.075386,osm_wender_45.8172_10.0754,Wender,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/wender_45.8172_10.0754.json,custom
45.816759,10.075637,osm_bar_dell_imbarcadero_45.8168_10.0756,Bar dell'Imbarcadero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/bar_dellimbarcadero_45.8168_10.0756.json,custom
45.815168,10.073440,osm_agazzi_s_lounge_caf__45.8152_10.0734,Agazzi's Lounge Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/agazzis_lounge_caf_45.8152_10.0734.json,custom
45.821496,10.079777,osm_prepost_45.8215_10.0798,Prepost,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/prepost_45.8215_10.0798.json,custom
45.808250,10.068183,ov_centro_sportivo_lovere_45.8083_10.0682,Centro Sportivo Lovere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/centro_sportivo_lovere_45.8083_10.0682.json,custom
45.811730,10.071010,ov_thegymgame_lovere_45.8117_10.0710,Thegymgame Lovere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/thegymgame_lovere_45.8117_10.0710.json,custom
45.810834,10.070718,ov_lake_fitness_lovere_45.8108_10.0707,Lake Fitness Lovere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/lake_fitness_lovere_45.8108_10.0707.json,custom
45.817661,10.075725,ov_original_studio_pilates_45.8177_10.0757,Original Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/original_studio_pilates_45.8177_10.0757.json,custom
45.815257,10.072907,ov_opera_otto_dancenter_di_aurora_grandi_45.8153_10.0729,Opera Otto Dancenter di Aurora Grandi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/opera_otto_dancenter_di_aurora_grandi_45.8153_10.0729.json,custom
45.813035,10.071983,ov_la_capitanio_45.8130_10.0720,La Capitanio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lovere/pages/la_capitanio_45.8130_10.0720.json,custom
