# lat,lng,id,name,building_type,type,url,page_type
# pombia -- Tutti
45.646786,8.619874,ov_farmacia_mirabella_45.6468_8.6199,Farmacia Mirabella,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/farmacia_mirabella_45.6468_8.6199.json,custom
45.654638,8.618375,ov_edelstube_45.6546_8.6184,Edelstube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/edelstube_45.6546_8.6184.json,custom
45.652711,8.618587,ov_da_mericanello_bar_ristorante_pizzeria_45.6527_8.6186,Da Mericanello Bar Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/da_mericanello_bar_ristorante_pizzeria_45.6527_8.6186.json,custom
45.647007,8.619709,ov_la_bettola_45.6470_8.6197,La Bettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/la_bettola_45.6470_8.6197.json,custom
45.647379,8.619241,ov_volk_cocktail___grill_45.6474_8.6192,Volk Cocktail & Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/volk_cocktail_grill_45.6474_8.6192.json,custom
45.648620,8.619341,ov_da_mericanello_ristorante_pizzeria_bar_45.6486_8.6193,Da Mericanello Ristorante Pizzeria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/da_mericanello_ristorante_pizzeria_bar_45.6486_8.6193.json,custom
45.652394,8.619585,ov_pit_stop_risto_bar_45.6524_8.6196,Pit Stop Risto Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/pit_stop_risto_bar_45.6524_8.6196.json,custom
45.650020,8.633330,ov_tenuta_monticello_il_giardino_45.6500_8.6333,Tenuta Monticello Il Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/tenuta_monticello_il_giardino_45.6500_8.6333.json,custom
45.649784,8.633055,ov_red_caf__45.6498_8.6331,Red Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/red_caf_45.6498_8.6331.json,custom
45.649180,8.632655,osm_ufficio_postale_di_pombia_45.6492_8.6327,Ufficio postale di Pombia,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/ufficio_postale_di_pombia_45.6492_8.6327.json,custom
45.650195,8.631619,ov_biblioteca_comunale_di_pombia_45.6502_8.6316,Biblioteca Comunale di Pombia,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/pombia/pages/biblioteca_comunale_di_pombia_45.6502_8.6316.json,custom
