# lat,lng,id,name,building_type,type,url,page_type
# rubiera -- Tutti
44.654340,10.776580,ov_farmacia_san_biagio_44.6543_10.7766,Farmacia San Biagio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/farmacia_san_biagio_44.6543_10.7766.json,custom
44.688289,10.798861,ov_la_locanda_di_sant_agata_44.6883_10.7989,La Locanda di Sant'Agata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_locanda_di_santagata_44.6883_10.7989.json,custom
44.677679,10.803862,ov_forno_valentina_fontana_di_rubiera_44.6777_10.8039,Forno Valentina Fontana di Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/forno_valentina_fontana_di_rubiera_44.6777_10.8039.json,custom
44.681810,10.781290,ov_fattoria_la_biolca_44.6818_10.7813,Fattoria la Biolca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/fattoria_la_biolca_44.6818_10.7813.json,custom
44.668410,10.784790,ov_fico_44.6684_10.7848,Fico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/fico_44.6684_10.7848.json,custom
44.668206,10.784457,ov_la_biolca_44.6682_10.7845,La biolca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_biolca_44.6682_10.7845.json,custom
44.643244,10.780461,ov_trattoria_da_massimo_44.6432_10.7805,Trattoria Da Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/trattoria_da_massimo_44.6432_10.7805.json,custom
44.649713,10.782131,ov_pizzeria_snack_house_3_44.6497_10.7821,Pizzeria Snack House 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_snack_house_3_44.6497_10.7821.json,custom
44.649806,10.787285,ov_gusto_bar_bistrot_emiliano_44.6498_10.7873,GUSTO Bar Bistrot Emiliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/gusto_bar_bistrot_emiliano_44.6498_10.7873.json,custom
44.647840,10.784490,ov_pizzeria_civico_18_44.6478_10.7845,Pizzeria Civico 18,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_civico_18_44.6478_10.7845.json,custom
44.649587,10.791312,ov_sider_park_44.6496_10.7913,Sider Park,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/sider_park_44.6496_10.7913.json,custom
