# lat,lng,id,name,building_type,type,url,page_type
# pandino -- Tutti
45.402705,9.553398,ov_azienda_sanitaria_locale_della_provincia_45.4027_9.5534,Azienda Sanitaria Locale della Provincia di Cremona,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/azienda_sanitaria_locale_della_provincia_45.4027_9.5534.json,custom
45.424885,9.531823,ov_ristorante_il_borgo_45.4249_9.5318,Ristorante Il Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/ristorante_il_borgo_45.4249_9.5318.json,custom
45.424871,9.531509,ov_osteria_degli_amici_45.4249_9.5315,Osteria degli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/osteria_degli_amici_45.4249_9.5315.json,custom
45.405378,9.554678,ov_spaghetteria_castello_45.4054_9.5547,Spaghetteria Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/spaghetteria_castello_45.4054_9.5547.json,custom
45.405440,9.551986,ov_pizzeria_girasole_45.4054_9.5520,Pizzeria Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/pizzeria_girasole_45.4054_9.5520.json,custom
45.405103,9.550672,ov_viamilano_pandino_45.4051_9.5507,Viamilano Pandino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/viamilano_pandino_45.4051_9.5507.json,custom
45.405055,9.550572,ov_ristorante_via_milano_45.4051_9.5506,Ristorante Via Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/ristorante_via_milano_45.4051_9.5506.json,custom
45.404727,9.549794,ov_rustica_45.4047_9.5498,Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/rustica_45.4047_9.5498.json,custom
45.406562,9.554554,ov_pizza_pi__45.4066_9.5546,Pizza Più,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/pizza_pi_45.4066_9.5546.json,custom
45.400307,9.525623,ov_trattoria_esodo_45.4003_9.5256,Trattoria Esodo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/trattoria_esodo_45.4003_9.5256.json,custom
45.404305,9.543035,ov_ristorante_ad_convivium_45.4043_9.5430,Ristorante Ad Convivium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/ristorante_ad_convivium_45.4043_9.5430.json,custom
45.401398,9.554298,ov_il_giardino_di_wang_45.4014_9.5543,Il Giardino di Wang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/il_giardino_di_wang_45.4014_9.5543.json,custom
45.404191,9.548062,ov_pizzeria_da_simone_45.4042_9.5481,Pizzeria Da Simone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/pizzeria_da_simone_45.4042_9.5481.json,custom
45.403422,9.551998,ov_soul___pepe_restaurant_cafe_45.4034_9.5520,Soul & Pepe Restaurant Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/soul_pepe_restaurant_cafe_45.4034_9.5520.json,custom
45.424330,9.532590,ov_bar_dad__45.4243_9.5326,Bar dadá,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/bar_dad_45.4243_9.5326.json,custom
45.405586,9.554425,ov_bar_caffetteria_il_ponte_45.4056_9.5544,Bar Caffetteria Il Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/bar_caffetteria_il_ponte_45.4056_9.5544.json,custom
45.405347,9.553959,ov_caffe_della_corte_45.4053_9.5540,Caffe Della Corte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/caffe_della_corte_45.4053_9.5540.json,custom
45.405003,9.552942,ov_il_cantuccio_45.4050_9.5529,Il Cantuccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/il_cantuccio_45.4050_9.5529.json,custom
45.404638,9.551791,ov_bar_nazionale_45.4046_9.5518,Bar Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/bar_nazionale_45.4046_9.5518.json,custom
45.405126,9.551767,ov_bar_mariani_45.4051_9.5518,Bar Mariani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/bar_mariani_45.4051_9.5518.json,custom
45.405376,9.552454,ov_bar_castello_45.4054_9.5525,Bar Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/bar_castello_45.4054_9.5525.json,custom
45.407889,9.550853,ov_hollywood_american_pub_45.4079_9.5509,Hollywood American Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/hollywood_american_pub_45.4079_9.5509.json,custom
45.403486,9.550964,ov_demo_s_bar_45.4035_9.5510,Demo's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/demos_bar_45.4035_9.5510.json,custom
45.403533,9.551082,ov_thursday_start_night_bar_corona_45.4035_9.5511,Thursday Start Night Bar Corona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/thursday_start_night_bar_corona_45.4035_9.5511.json,custom
45.403693,9.551926,ov_cafe_fontaine_45.4037_9.5519,Cafe Fontaine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/cafe_fontaine_45.4037_9.5519.json,custom
45.404036,9.551666,ov_piccolo_bar_di_signorini_elena_45.4040_9.5517,Piccolo Bar Di Signorini Elena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/piccolo_bar_di_signorini_elena_45.4040_9.5517.json,custom
45.403354,9.551476,ov_dream_caffe_45.4034_9.5515,Dream Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/dream_caffe_45.4034_9.5515.json,custom
45.425264,9.533703,ov_cvm_for_stage_corsi_di_danza_45.4253_9.5337,CVM For Stage corsi di danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/cvm_for_stage_corsi_di_danza_45.4253_9.5337.json,custom
45.401930,9.529303,ov_asd_nova_fitness_club_45.4019_9.5293,Asd nova fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/asd_nova_fitness_club_45.4019_9.5293.json,custom
45.414433,9.549092,ov_santuario_di_santa_maria_dell_apparizion_45.4144_9.5491,Santuario di Santa Maria Dell'Apparizione Detta Del Tommason,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pandino/pages/santuario_di_santa_maria_dellapparizione_45.4144_9.5491.json,custom
