# lat,lng,id,name,building_type,type,url,page_type
# impruneta -- Tutti
43.686291,11.254642,ov_enoteca_daja_43.6863_11.2546,Enoteca Daja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/enoteca_daja_43.6863_11.2546.json,custom
43.685937,11.254451,ov_la_loggettina_43.6859_11.2545,La Loggettina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/la_loggettina_43.6859_11.2545.json,custom
43.691995,11.254189,ov_alimentari_pagni_43.6920_11.2542,Alimentari Pagni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/alimentari_pagni_43.6920_11.2542.json,custom
43.689369,11.251647,ov_noble_villa_43.6894_11.2516,Noble Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/noble_villa_43.6894_11.2516.json,custom
43.688541,11.249863,ov_nyx_43.6885_11.2499,Nyx,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/nyx_43.6885_11.2499.json,custom
43.705510,11.290619,ov_ristorante_san_martino_43.7055_11.2906,Ristorante San Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/ristorante_san_martino_43.7055_11.2906.json,custom
43.658259,11.257851,ov_trattoria_l_antico_forno_43.6583_11.2579,Trattoria L'Antico Forno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/trattoria_lantico_forno_43.6583_11.2579.json,custom
43.658282,11.257657,ov_bottega_faggi_43.6583_11.2577,Bottega Faggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/bottega_faggi_43.6583_11.2577.json,custom
43.593199,11.197712,ov_osteria_enoteca_i_vignaioli_43.5932_11.1977,Osteria Enoteca I Vignaioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/osteria_enoteca_i_vignaioli_43.5932_11.1977.json,custom
43.711027,11.219700,ov_i_mal_avvezzi_43.7110_11.2197,I Mal'Avvezzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/i_malavvezzi_43.7110_11.2197.json,custom
43.710856,11.219339,ov_la_capricciosa_43.7109_11.2193,La Capricciosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/la_capricciosa_43.7109_11.2193.json,custom
