# lat,lng,id,name,building_type,type,url,page_type
# Mesoraca -- Tutti
39.093213,16.790940,ov_ospedale_mesoraca_39.0932_16.7909,Ospedale Mesoraca,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/ospedale_mesoraca_39.0932_16.7909.json,custom
39.092530,16.784900,ov_kiosk_angels_39.0925_16.7849,Kiosk Angels,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/kiosk_angels_39.0925_16.7849.json,custom
39.087360,16.790350,ov_pizzeria_la_terra_rossa_39.0874_16.7904,Pizzeria La Terra Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/pizzeria_la_terra_rossa_39.0874_16.7904.json,custom
39.089302,16.797308,ov_ristorante_pizzeria_paradiso_39.0893_16.7973,Ristorante Pizzeria Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/ristorante_pizzeria_paradiso_39.0893_16.7973.json,custom
39.076891,16.788928,ov_filipizza_39.0769_16.7889,Filipizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/filipizza_39.0769_16.7889.json,custom
39.074379,16.783117,ov_la_collina_39.0744_16.7831,La Collina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/la_collina_39.0744_16.7831.json,custom
39.081181,16.787796,ov_la_torretta_39.0812_16.7878,La Torretta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/la_torretta_39.0812_16.7878.json,custom
39.081642,16.786828,ov_i_veri_sapori_del_mare_39.0816_16.7868,I Veri Sapori del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/i_veri_sapori_del_mare_39.0816_16.7868.json,custom
39.095423,16.778295,ov_il_casale___ristorante_pizzeria_39.0954_16.7783,Il Casale - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/il_casale_-_ristorante_pizzeria_39.0954_16.7783.json,custom
39.092530,16.784900,ov_revolution_lounge_39.0925_16.7849,Revolution lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/revolution_lounge_39.0925_16.7849.json,custom
39.089098,16.795065,ov_picula_cafe_39.0891_16.7951,Picula Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/picula_cafe_39.0891_16.7951.json,custom
