# lat,lng,id,name,building_type,type,url,page_type
# Torrevecchia Teatina -- Tutti
42.380042,14.211414,ov_hospice_42.3800_14.2114,Hospice,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/hospice_42.3800_14.2114.json,custom
42.402660,14.258197,ov_arrosticini_da_ernesto_42.4027_14.2582,Arrosticini Da Ernesto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/arrosticini_da_ernesto_42.4027_14.2582.json,custom
42.397804,14.255730,ov_la_crusca_pizzeria_42.3978_14.2557,La Crusca Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_crusca_pizzeria_42.3978_14.2557.json,custom
42.406296,14.251354,ov_giulia_s_home_restaurant_42.4063_14.2514,Giulia's Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/giulias_home_restaurant_42.4063_14.2514.json,custom
42.412162,14.256282,ov_ristorante_sotto_le_stelle_42.4122_14.2563,Ristorante Sotto le Stelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/ristorante_sotto_le_stelle_42.4122_14.2563.json,custom
42.411979,14.258585,ov_la_locanda_del_duca_benedetti_42.4120_14.2586,La Locanda Del Duca Benedetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_locanda_del_duca_benedetti_42.4120_14.2586.json,custom
42.408037,14.241007,ov_circolo_belvedere_42.4080_14.2410,Circolo Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/circolo_belvedere_42.4080_14.2410.json,custom
42.405593,14.237418,ov_l_antico_ulivo_42.4056_14.2374,L'Antico Ulivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/lantico_ulivo_42.4056_14.2374.json,custom
42.405556,14.238545,ov_la_fattoria_42.4056_14.2385,La Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_fattoria_42.4056_14.2385.json,custom
42.386602,14.223461,ov_la_locanda_della_giara_42.3866_14.2235,La Locanda della Giara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_locanda_della_giara_42.3866_14.2235.json,custom
42.381853,14.208808,ov_villa_obletter_42.3819_14.2088,Villa Obletter,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/villa_obletter_42.3819_14.2088.json,custom
