# lat,lng,id,name,building_type,type,url,page_type
# sestu -- Tutti
39.298164,9.093744,ov_centro_medico_peppino_e_misa_mocci_39.2982_9.0937,Centro Medico Peppino e Misa Mocci,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/centro_medico_peppino_e_misa_mocci_39.2982_9.0937.json,custom
39.339359,9.069140,ov_la_lanterna_chiosco_bar_39.3394_9.0691,La Lanterna Chiosco_Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/la_lanterna_chioscobar_39.3394_9.0691.json,custom
39.339971,9.068351,ov_al_chiaro_di_luna_39.3400_9.0684,Al chiaro di luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/al_chiaro_di_luna_39.3400_9.0684.json,custom
39.311786,9.061816,ov_burger_king_39.3118_9.0618,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/burger_king_39.3118_9.0618.json,custom
39.305152,9.066796,ov_gustos_la_corte_del_sole_39.3052_9.0668,Gustos La Corte del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/gustos_la_corte_del_sole_39.3052_9.0668.json,custom
39.304932,9.066188,ov_pecora_rosa_39.3049_9.0662,Pecora Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/pecora_rosa_39.3049_9.0662.json,custom
39.304615,9.065922,ov_corre_el_tiempo_39.3046_9.0659,Corre El Tiempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/corre_el_tiempo_39.3046_9.0659.json,custom
39.304415,9.065907,ov_pecora_bianca_39.3044_9.0659,Pecora Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/pecora_bianca_39.3044_9.0659.json,custom
39.304374,9.065988,ov_steak_house_39.3044_9.0660,Steak House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/steak_house_39.3044_9.0660.json,custom
39.304299,9.065980,ov_ristorante_la_pecora_nera_39.3043_9.0660,Ristorante La Pecora Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/ristorante_la_pecora_nera_39.3043_9.0660.json,custom
39.303778,9.065270,ov_la_piadineria_39.3038_9.0653,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/la_piadineria_39.3038_9.0653.json,custom
39.303178,9.066749,ov_piazza_grande_39.3032_9.0667,Piazza Grande,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/piazza_grande_39.3032_9.0667.json,custom
39.304004,9.066050,ov_ytalian_39.3040_9.0660,Ytalian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/ytalian_39.3040_9.0660.json,custom
39.304607,9.066090,ov_aicha___la_piazza_del_gusto_39.3046_9.0661,Aicha - La Piazza del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/aicha_-_la_piazza_del_gusto_39.3046_9.0661.json,custom
39.304147,9.066525,ov_doppio_malto_sestu_39.3041_9.0665,Doppio Malto Sestu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/doppio_malto_sestu_39.3041_9.0665.json,custom
39.300488,9.064499,ov_burger_king_sestu_39.3005_9.0645,Burger King Sestu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/burger_king_sestu_39.3005_9.0645.json,custom
39.291089,9.067715,ov_mcdonald_s_39.2911_9.0677,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/mcdonalds_39.2911_9.0677.json,custom
39.313200,9.093670,ov_marmeria_grillo_39.3132_9.0937,Marmeria Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/marmeria_grillo_39.3132_9.0937.json,custom
39.303516,9.092303,ov_pizzeria_da_roberto_39.3035_9.0923,Pizzeria da Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/pizzeria_da_roberto_39.3035_9.0923.json,custom
39.303572,9.094739,ov_happy_pizza_39.3036_9.0947,Happy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/happy_pizza_39.3036_9.0947.json,custom
39.302312,9.094080,ov_il_millennio_39.3023_9.0941,Il Millennio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/il_millennio_39.3023_9.0941.json,custom
39.300880,9.093256,ov_pizzeria_nuovo_fiore_39.3009_9.0933,Pizzeria Nuovo Fiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/sestu/pages/pizzeria_nuovo_fiore_39.3009_9.0933.json,custom
