# lat,lng,id,name,building_type,type,url,page_type
# lido_di_camaiore -- Tutti
43.914386,10.223813,osm_ospedale_versilia_43.9144_10.2238,Ospedale Versilia,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/ospedale_versilia_43.9144_10.2238.json,custom
43.896310,10.222242,ov_bagno_onda_snc_43.8963_10.2222,Bagno Onda Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/bagno_onda_snc_43.8963_10.2222.json,custom
43.900105,10.232200,ov_ristorante_da_franco_43.9001_10.2322,Ristorante da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/ristorante_da_franco_43.9001_10.2322.json,custom
43.903287,10.221667,ov_ristorante_novecento_43.9033_10.2217,Ristorante Novecento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/ristorante_novecento_43.9033_10.2217.json,custom
43.904184,10.217536,ov_ristorante_la_risacca_bagno_la_perla_43.9042_10.2175,Ristorante La Risacca Bagno La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/ristorante_la_risacca_bagno_la_perla_43.9042_10.2175.json,custom
43.894023,10.224638,osm_sale_sciocco_43.8940_10.2246,Sale Sciocco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/sale_sciocco_43.8940_10.2246.json,custom
43.905856,10.215409,osm_ariston_mare_43.9059_10.2154,Ariston Mare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/ariston_mare_43.9059_10.2154.json,custom
43.896121,10.223056,osm_europa_43.8961_10.2231,Europa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/europa_43.8961_10.2231.json,custom
43.899512,10.221835,osm_gastronomia_giannoni_43.8995_10.2218,Gastronomia Giannoni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/gastronomia_giannoni_43.8995_10.2218.json,custom
43.890940,10.232456,osm_la_pergola_43.8909_10.2325,La Pergola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/la_pergola_43.8909_10.2325.json,custom
43.889657,10.229805,ov_new_the_bridge_43.8897_10.2298,New The Bridge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/new_the_bridge_43.8897_10.2298.json,custom
43.891050,10.228440,ov_eresiarca_43.8910_10.2284,Eresiarca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/eresiarca_43.8910_10.2284.json,custom
43.895151,10.223702,ov_bar_sirena_43.8952_10.2237,Bar Sirena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/bar_sirena_43.8952_10.2237.json,custom
43.890460,10.228682,osm_sgt__pepper_s_pub_43.8905_10.2287,Sgt. Pepper's Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/sgt_peppers_pub_43.8905_10.2287.json,custom
43.906080,10.227572,osm_poste_italiane_43.9061_10.2276,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lido_di_camaiore/pages/poste_italiane_43.9061_10.2276.json,custom
