# lat,lng,id,name,building_type,type,url,page_type
# verano_brianza -- Tutti
45.676036,9.222232,ov_medicina_estetica__policlinico_di_monza_45.6760_9.2222,"Medicina estetica, Policlinico di Monza",HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/medicina_estetica_policlinico_di_monza_45.6760_9.2222.json,custom
45.679011,9.219038,ov_ristorante_albergo_da_arrigo_45.6790_9.2190,Ristorante Albergo Da Arrigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/ristorante_albergo_da_arrigo_45.6790_9.2190.json,custom
45.677977,9.217192,ov_la_vergine_45.6780_9.2172,La Vergine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/la_vergine_45.6780_9.2172.json,custom
45.675550,9.213249,ov_dispensa_emilia_45.6756_9.2132,Dispensa Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/dispensa_emilia_45.6756_9.2132.json,custom
45.675721,9.211982,ov_burger_king_45.6757_9.2120,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/burger_king_45.6757_9.2120.json,custom
45.676070,9.210575,ov_mcdonald_s_45.6761_9.2106,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/mcdonalds_45.6761_9.2106.json,custom
45.681546,9.227171,ov_amico_pizza_pizzeria_e_kebab_45.6815_9.2272,AMICO PIZZA Pizzeria e Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/amico_pizza_pizzeria_e_kebab_45.6815_9.2272.json,custom
45.683972,9.230934,ov_chalet_degli_amici_45.6840_9.2309,Chalet degli Amici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/chalet_degli_amici_45.6840_9.2309.json,custom
45.684488,9.230659,ov_ristorante_pizzeria_da_marco_45.6845_9.2307,Ristorante Pizzeria Da Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/ristorante_pizzeria_da_marco_45.6845_9.2307.json,custom
45.688107,9.229891,ov_pizzeria_del_centro_di_izzo_alberico_45.6881_9.2299,Pizzeria Del Centro di Izzo Alberico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/pizzeria_del_centro_di_izzo_alberico_45.6881_9.2299.json,custom
45.684924,9.221735,ov_pizzeria_aurora_45.6849_9.2217,Pizzeria Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/pizzeria_aurora_45.6849_9.2217.json,custom
45.692165,9.227841,ov_giotto_ristorante_pizzeria_45.6922_9.2278,Giotto Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verano_brianza/pages/giotto_ristorante_pizzeria_45.6922_9.2278.json,custom
