# lat,lng,id,name,building_type,type,url,page_type
# Giovinazzo -- Tutti
41.187250,16.673550,ov_radiologia_giba_srl_41.1872_16.6735,Radiologia GIBA SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/radiologia_giba_srl_41.1872_16.6735.json,custom
41.125742,16.705434,ov_masseria_san_marco_41.1257_16.7054,Masseria San Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/masseria_san_marco_41.1257_16.7054.json,custom
41.164337,16.666162,ov_nuova_oasi_mediterraneo_giovinazzo__ba_41.1643_16.6662,Nuova Oasi Mediterraneo Giovinazzo- Ba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/nuova_oasi_mediterraneo_giovinazzo-_ba_41.1643_16.6662.json,custom
41.207408,16.583787,ov_l_aragosta_41.2074_16.5838,L'aragosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/laragosta_41.2074_16.5838.json,custom
41.188904,16.674665,ov_santa_fame_41.1889_16.6747,Santa Fame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/santa_fame_41.1889_16.6747.json,custom
41.189590,16.674055,ov_amaro_41.1896_16.6741,Amaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/amaro_41.1896_16.6741.json,custom
41.189493,16.673165,ov_piccolo_borgo_antico_giovinazzo_41.1895_16.6732,Piccolo Borgo Antico Giovinazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/piccolo_borgo_antico_giovinazzo_41.1895_16.6732.json,custom
41.189498,16.673683,ov_corner_41.1895_16.6737,Corner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/corner_41.1895_16.6737.json,custom
41.189274,16.673945,ov_friccico_ner_core_41.1893_16.6739,Friccico ner Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/friccico_ner_core_41.1893_16.6739.json,custom
41.188769,16.674179,ov_la_creperia_41.1888_16.6742,La Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/la_creperia_41.1888_16.6742.json,custom
41.188817,16.673010,ov_hostaria_san_domenico_41.1888_16.6730,Hostaria San Domenico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/hostaria_san_domenico_41.1888_16.6730.json,custom
41.189145,16.671713,ov_ristorante_altamarea_41.1891_16.6717,Ristorante Altamarea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/ristorante_altamarea_41.1891_16.6717.json,custom
41.188707,16.671370,ov_panetteria_sant_antonio_41.1887_16.6714,Panetteria Sant'Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/panetteria_santantonio_41.1887_16.6714.json,custom
41.189626,16.669221,ov_al_porticciolo_41.1896_16.6692,Al Porticciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/al_porticciolo_41.1896_16.6692.json,custom
41.189815,16.669202,ov_zama_urban_terraza_41.1898_16.6692,Zama Urban Terraza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/zama_urban_terraza_41.1898_16.6692.json,custom
41.189764,16.669808,ov_fuori_menu_pizzeria_41.1898_16.6698,Fuori Menu Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/fuori_menu_pizzeria_41.1898_16.6698.json,custom
41.189749,16.669431,ov_lo_schiribizzo_41.1897_16.6694,Lo Schiribizzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/lo_schiribizzo_41.1897_16.6694.json,custom
41.189684,16.669686,ov_katiuscia_cocktail_e_altri_rimedi_41.1897_16.6697,Katiuscia Cocktail e Altri Rimedi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/katiuscia_cocktail_e_altri_rimedi_41.1897_16.6697.json,custom
41.189683,16.669926,ov_crunch_41.1897_16.6699,Crunch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/crunch_41.1897_16.6699.json,custom
41.189681,16.670638,ov_il_portolano_41.1897_16.6706,Il Portolano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/il_portolano_41.1897_16.6706.json,custom
41.189735,16.671483,ov_fronte_del_porto_41.1897_16.6715,Fronte del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/giovinazzo/pages/fronte_del_porto_41.1897_16.6715.json,custom
