# lat,lng,id,name,building_type,type,url,page_type
# siniscola -- Tutti
40.604907,9.743650,ov_ospedale_san_francesco_nuoro_40.6049_9.7437,Ospedale San Francesco Nuoro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ospedale_san_francesco_nuoro_40.6049_9.7437.json,custom
40.838110,9.555370,ov_pesca_turismo_40.8381_9.5554,Pesca Turismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pesca_turismo_40.8381_9.5554.json,custom
40.570373,9.683413,ov_pizzeria_la_lanterna_di_farris_40.5704_9.6834,Pizzeria la Lanterna Di Farris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_la_lanterna_di_farris_40.5704_9.6834.json,custom
40.568572,9.684581,ov_la_colonna_40.5686_9.6846,La Colonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_colonna_40.5686_9.6846.json,custom
40.576591,9.693420,ov_risto_bar_murichessa_40.5766_9.6934,Risto bar murichessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/risto_bar_murichessa_40.5766_9.6934.json,custom
40.576560,9.693729,ov_agriturismo_s_arenarju_40.5766_9.6937,Agriturismo S'Arenarju,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/agriturismo_sarenarju_40.5766_9.6937.json,custom
40.577156,9.694596,ov_pizze_al_taglio_mucelli_40.5772_9.6946,Pizze al taglio Mucelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizze_al_taglio_mucelli_40.5772_9.6946.json,custom
40.574403,9.694512,ov_skipper_2_0_40.5744_9.6945,Skipper 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/skipper_20_40.5744_9.6945.json,custom
40.575545,9.693947,ov_fost__concept_restaurant_40.5755_9.6939,Fostè concept restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/fost_concept_restaurant_40.5755_9.6939.json,custom
40.575649,9.693455,ov_il_piccolo_forno_2_0_40.5756_9.6935,Il Piccolo Forno 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/il_piccolo_forno_20_40.5756_9.6935.json,custom
40.574699,9.692584,ov_populart_bar_ristorante_40.5747_9.6926,Populart Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/populart_bar_ristorante_40.5747_9.6926.json,custom
40.571564,9.696661,ov_sairrock_40.5716_9.6967,Sairrock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/sairrock_40.5716_9.6967.json,custom
40.577686,9.696395,ov_da_roberto_tavola_calda_40.5777_9.6964,Da Roberto Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/da_roberto_tavola_calda_40.5777_9.6964.json,custom
40.577770,9.696660,ov_pizzeria_da_manuel_40.5778_9.6967,Pizzeria da Manuel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_da_manuel_40.5778_9.6967.json,custom
40.576777,9.697087,ov_dieci_10_hp_40.5768_9.6971,Dieci 10 HP,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/dieci_10_hp_40.5768_9.6971.json,custom
40.577938,9.699006,ov_trattoria_pizzeria_da_bovore_40.5779_9.6990,Trattoria Pizzeria Da Bovore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/trattoria_pizzeria_da_bovore_40.5779_9.6990.json,custom
40.572748,9.698485,ov_i_preziosi_di_graziella_40.5727_9.6985,I Preziosi di Graziella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/i_preziosi_di_graziella_40.5727_9.6985.json,custom
40.570335,9.698777,ov_pizzeria_la_diavola_40.5703_9.6988,Pizzeria La Diavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_la_diavola_40.5703_9.6988.json,custom
40.570535,9.697168,ov_pizzeria_4_mori_40.5705_9.6972,Pizzeria 4 Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_4_mori_40.5705_9.6972.json,custom
40.570692,9.697002,ov_ristorante_sos_arcos_40.5707_9.6970,Ristorante sos arcos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ristorante_sos_arcos_40.5707_9.6970.json,custom
40.579340,9.701159,ov_la_cantina_di_bacco_40.5793_9.7012,la cantina di bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_cantina_di_bacco_40.5793_9.7012.json,custom
40.587111,9.710023,ov_ristorante_pizzeria_il_laghetto_40.5871_9.7100,Ristorante Pizzeria Il Laghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ristorante_pizzeria_il_laghetto_40.5871_9.7100.json,custom
40.597900,9.730430,ov_la_bottega_della_carne_grill_40.5979_9.7304,La Bottega della Carne Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_bottega_della_carne_grill_40.5979_9.7304.json,custom
40.600416,9.712374,ov_agriturismo_villa_giulia_40.6004_9.7124,Agriturismo Villa Giulia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/agriturismo_villa_giulia_40.6004_9.7124.json,custom
40.586977,9.718400,ov_cucina_tipica_cuccuru_e_jana_40.5870_9.7184,Cucina Tipica Cuccuru e Jana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/cucina_tipica_cuccuru_e_jana_40.5870_9.7184.json,custom
40.567923,9.753972,ov_agriturismo_istedduile_40.5679_9.7540,Agriturismo Istedduile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/agriturismo_istedduile_40.5679_9.7540.json,custom
40.603491,9.741151,ov_il_mangiatutto_la_caletta_40.6035_9.7412,Il Mangiatutto La caletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/il_mangiatutto_la_caletta_40.6035_9.7412.json,custom
40.609409,9.751251,ov_spigola_d_oro_40.6094_9.7513,Spigola D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/spigola_doro_40.6094_9.7513.json,custom
40.609616,9.751283,ov_la_colmena_40.6096_9.7513,La Colmena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_colmena_40.6096_9.7513.json,custom
40.608309,9.749695,ov_ballakan__40.6083_9.7497,Ballakanò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ballakan_40.6083_9.7497.json,custom
40.608533,9.749904,ov_alkimia_bistrot_40.6085_9.7499,Alkimia Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/alkimia_bistrot_40.6085_9.7499.json,custom
40.608172,9.749261,ov_la_maison_la_caletta_40.6082_9.7493,La Maison La Caletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_maison_la_caletta_40.6082_9.7493.json,custom
40.608998,9.748636,ov_trattoria_pintadera_40.6090_9.7486,Trattoria Pintadera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/trattoria_pintadera_40.6090_9.7486.json,custom
40.607460,9.748390,ov_ristorante_pizzeria_il_laghetto_40.6075_9.7484,Ristorante Pizzeria il Laghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ristorante_pizzeria_il_laghetto_40.6075_9.7484.json,custom
40.607411,9.748133,ov_osteria_frade_meu_40.6074_9.7481,Osteria Frade Meu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/osteria_frade_meu_40.6074_9.7481.json,custom
40.607464,9.747933,ov_l_ostrica_40.6075_9.7479,L'Ostrica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/lostrica_40.6075_9.7479.json,custom
40.607514,9.748414,ov_sa_tappa_bistrot_40.6075_9.7484,Sa Tappa Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/sa_tappa_bistrot_40.6075_9.7484.json,custom
40.607967,9.748786,ov_il_capriccio_40.6080_9.7488,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/il_capriccio_40.6080_9.7488.json,custom
40.608392,9.748601,ov_gustu_40.6084_9.7486,Gustu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/gustu_40.6084_9.7486.json,custom
40.608199,9.748848,ov_da_bastiano_pizza_40.6082_9.7488,Da Bastiano Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/da_bastiano_pizza_40.6082_9.7488.json,custom
40.608132,9.749115,ov_pizzeria_pietrizza_la_caletta_40.6081_9.7491,Pizzeria Pietrizza La Caletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_pietrizza_la_caletta_40.6081_9.7491.json,custom
40.605950,9.749559,ov_ristorante_la_luna_40.6060_9.7496,Ristorante La Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ristorante_la_luna_40.6060_9.7496.json,custom
40.602177,9.750907,ov_el_barrio_del_mar_40.6022_9.7509,El Barrio del Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/el_barrio_del_mar_40.6022_9.7509.json,custom
40.581610,9.778820,ov_osteria_pizzeria_il_talismano_40.5816_9.7788,Osteria Pizzeria Il Talismano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/osteria_pizzeria_il_talismano_40.5816_9.7788.json,custom
40.581603,9.778788,ov_zia_luchia_40.5816_9.7788,Zia Luchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/zia_luchia_40.5816_9.7788.json,custom
40.581744,9.778644,ov_bar_trattoria_la_torre_40.5817_9.7786,Bar Trattoria La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/bar_trattoria_la_torre_40.5817_9.7786.json,custom
40.581303,9.777627,ov_sa_corte_food_and_wine_40.5813_9.7776,Sa Corte Food and Wine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/sa_corte_food_and_wine_40.5813_9.7776.json,custom
40.581611,9.776735,ov_la_locanda_del_pescatore_40.5816_9.7767,La Locanda Del Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_locanda_del_pescatore_40.5816_9.7767.json,custom
40.583730,9.758533,ov_ristorante_karamare_40.5837_9.7585,Ristorante Karamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/ristorante_karamare_40.5837_9.7585.json,custom
40.583913,9.762685,ov_pizzeria_la_fontanella_40.5839_9.7627,Pizzeria La Fontanella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/pizzeria_la_fontanella_40.5839_9.7627.json,custom
40.579340,9.771506,ov_delights_beach_santa_lucia___ristorante__40.5793_9.7715,Delights Beach Santa Lucia - Ristorante Pizzeria Camping Sel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/delights_beach_santa_lucia_-_ristorante__40.5793_9.7715.json,custom
40.581176,9.775346,ov_la_spiaggia_delle_barche_40.5812_9.7753,La Spiaggia delle Barche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/la_spiaggia_delle_barche_40.5812_9.7753.json,custom
40.581210,9.777877,ov_trattoria_mamma_mia_40.5812_9.7779,Trattoria Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/trattoria_mamma_mia_40.5812_9.7779.json,custom
40.548139,9.785154,ov_comino_rosso_40.5481_9.7852,Comino Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/comino_rosso_40.5481_9.7852.json,custom
40.544762,9.783361,ov_capo_comino_s_avrile_40.5448_9.7834,Capo Comino S'Avrile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siniscola/pages/capo_comino_savrile_40.5448_9.7834.json,custom
