# lat,lng,id,name,building_type,type,url,page_type
# muravera -- Tutti
39.420649,9.570067,ov_ospedale_san_marcellino_39.4206_9.5701,Ospedale San Marcellino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ospedale_san_marcellino_39.4206_9.5701.json,custom
39.393965,9.609743,ov_marina_gio__39.3940_9.6097,Marina Gio',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/marina_gio_39.3940_9.6097.json,custom
39.421039,9.574586,ov_anatolia_kebap_pizza_39.4210_9.5746,Anatolia Kebap&Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/anatolia_kebappizza_39.4210_9.5746.json,custom
39.421373,9.575258,ov_pizza_pazza_a_pezzi_39.4214_9.5753,Pizza Pazza a Pezzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/pizza_pazza_a_pezzi_39.4214_9.5753.json,custom
39.420837,9.575442,ov_drink___food_mania_39.4208_9.5754,Drink & Food Mania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/drink_food_mania_39.4208_9.5754.json,custom
39.420968,9.577522,ov_pizzeria_zio_ciro_39.4210_9.5775,Pizzeria Zio Ciro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/pizzeria_zio_ciro_39.4210_9.5775.json,custom
39.418448,9.582810,ov_granai_39.4184_9.5828,Granai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/granai_39.4184_9.5828.json,custom
39.419790,9.580363,ov_artigiani_della_pizza_39.4198_9.5804,Artigiani della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/artigiani_della_pizza_39.4198_9.5804.json,custom
39.421578,9.569410,ov_su_nuraxi_muravera_39.4216_9.5694,Su Nuraxi Muravera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/su_nuraxi_muravera_39.4216_9.5694.json,custom
39.269122,9.572251,ov_ristorante_il_miraggio_39.2691_9.5723,Ristorante Il Miraggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_il_miraggio_39.2691_9.5723.json,custom
39.250853,9.570246,ov_ristorante_il_molo_39.2509_9.5702,Ristorante Il Molo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_il_molo_39.2509_9.5702.json,custom
39.250050,9.570449,ov_sa_cardiga_e_su_pisci_39.2500_9.5704,Sa Cardiga e Su Pisci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/sa_cardiga_e_su_pisci_39.2500_9.5704.json,custom
39.249896,9.570796,ov_rey_burger_39.2499_9.5708,Rey Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/rey_burger_39.2499_9.5708.json,custom
39.249190,9.570863,ov_l_aragosta_39.2492_9.5709,L'Aragosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/laragosta_39.2492_9.5709.json,custom
39.249917,9.571499,ov_ristorante_isola_verde_39.2499_9.5715,Ristorante Isola Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_isola_verde_39.2499_9.5715.json,custom
39.251561,9.571413,ov_ristorante_la_piazzetta_39.2516_9.5714,Ristorante La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_la_piazzetta_39.2516_9.5714.json,custom
39.252245,9.572772,ov_rey_oasi_39.2522_9.5728,Rey Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/rey_oasi_39.2522_9.5728.json,custom
39.252546,9.572349,ov_ristorante_bistrot_albaruja_39.2525_9.5723,Ristorante Bistrot Albaruja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_bistrot_albaruja_39.2525_9.5723.json,custom
39.248273,9.571775,ov_holiday_beach_39.2483_9.5718,Holiday Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/holiday_beach_39.2483_9.5718.json,custom
39.242327,9.569392,ov_ristorante_da_guido___camping_capo_ferra_39.2423_9.5694,Ristorante da Guido - Camping Capo Ferrato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_da_guido_-_camping_capo_ferra_39.2423_9.5694.json,custom
39.244461,9.570464,ov_chaplin_spaghetteria_39.2445_9.5705,Chaplin Spaghetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/chaplin_spaghetteria_39.2445_9.5705.json,custom
39.253361,9.574427,ov_ristorante_marina_gio_39.2534_9.5744,Ristorante Marina Gio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_marina_gio_39.2534_9.5744.json,custom
39.251820,9.573823,ov_la_bottega_paneevino_39.2518_9.5738,La Bottega Paneevino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/la_bottega_paneevino_39.2518_9.5738.json,custom
39.251859,9.573757,ov_nou_restaurant_39.2519_9.5738,Nou Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/nou_restaurant_39.2519_9.5738.json,custom
39.255863,9.575252,ov_ristorante_su_nuraxi_39.2559_9.5753,Ristorante Su Nuraxi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_su_nuraxi_39.2559_9.5753.json,custom
39.265703,9.576907,ov_ristorante_pink_lady_39.2657_9.5769,Ristorante Pink Lady,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_pink_lady_39.2657_9.5769.json,custom
39.267180,9.581589,ov_ristorante_il_peperoncino_39.2672_9.5816,Ristorante Il Peperoncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_il_peperoncino_39.2672_9.5816.json,custom
39.278095,9.590552,ov_tab__beach_club_costarei_39.2781_9.5906,Tabù Beach Club CostaRei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/tab_beach_club_costarei_39.2781_9.5906.json,custom
39.380350,9.592540,ov_4_mori_bar___restaurant_39.3803_9.5925,4 Mori Bar & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/4_mori_bar_restaurant_39.3803_9.5925.json,custom
39.376132,9.588481,ov_il_falconiere___b_b_39.3761_9.5885,Il Falconiere - B&B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/il_falconiere_-_bb_39.3761_9.5885.json,custom
39.366815,9.596409,ov_ristorante_torre_salinas_39.3668_9.5964,Ristorante Torre Salinas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ristorante_torre_salinas_39.3668_9.5964.json,custom
39.338092,9.597169,ov_peschiera_di_feraxi_39.3381_9.5972,Peschiera Di Feraxi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/peschiera_di_feraxi_39.3381_9.5972.json,custom
39.335083,9.593493,ov_ittiturismo_feraxi_39.3351_9.5935,Ittiturismo Feraxi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ittiturismo_feraxi_39.3351_9.5935.json,custom
39.421491,9.569412,osm_su_nuraxi_39.4215_9.5694,Su Nuraxi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/su_nuraxi_39.4215_9.5694.json,custom
39.421130,9.573846,osm_pizzeria_al_taglio_meloni_sandro_39.4211_9.5738,Pizzeria al taglio Meloni Sandro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/pizzeria_al_taglio_meloni_sandro_39.4211_9.5738.json,custom
39.419841,9.580253,osm_sosta_e_gusta_39.4198_9.5803,Sosta e gusta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/sosta_e_gusta_39.4198_9.5803.json,custom
39.421424,9.572864,osm_pizzeria_zio_ciro_39.4214_9.5729,Pizzeria Zio Ciro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/pizzeria_zio_ciro_39.4214_9.5729.json,custom
39.418047,9.582918,osm_green_gallery_39.4180_9.5829,Green Gallery,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/green_gallery_39.4180_9.5829.json,custom
39.418310,9.583330,ov_donna___wine_bar_39.4183_9.5833,Donna - Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/donna_-_wine_bar_39.4183_9.5833.json,custom
39.421034,9.573680,ov_bar_sandro_di_mattana_sandro_39.4210_9.5737,Bar Sandro Di Mattana Sandro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/bar_sandro_di_mattana_sandro_39.4210_9.5737.json,custom
39.420948,9.575102,ov_centrale_39.4209_9.5751,Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/centrale_39.4209_9.5751.json,custom
39.420960,9.575110,ov_cuccumeu_caff____lounge_bar_39.4210_9.5751,Cuccumeu Caffè & Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/cuccumeu_caff_lounge_bar_39.4210_9.5751.json,custom
39.420839,9.575659,ov_domus_aurea_39.4208_9.5757,Domus Aurea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/domus_aurea_39.4208_9.5757.json,custom
39.420643,9.576924,ov_soul_bar_39.4206_9.5769,Soul Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/soul_bar_39.4206_9.5769.json,custom
39.420021,9.579545,ov_bar_paderi_39.4200_9.5795,Bar Paderi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/bar_paderi_39.4200_9.5795.json,custom
39.420409,9.578161,ov_mac_laren_s_39.4204_9.5782,Mac Laren's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/mac_larens_39.4204_9.5782.json,custom
39.423901,9.565378,ov_atelier_del_vino_39.4239_9.5654,Atelier del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/atelier_del_vino_39.4239_9.5654.json,custom
39.419938,9.570299,ov_butterfly_cafe_39.4199_9.5703,Butterfly Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/butterfly_cafe_39.4199_9.5703.json,custom
39.250006,9.570685,ov_4_passion_39.2500_9.5707,4 Passion,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/4_passion_39.2500_9.5707.json,custom
