# lat,lng,id,name,building_type,type,url,page_type
# caorso -- Tutti
45.048436,9.874662,ov_studio_ortottico_caorsano_45.0484_9.8747,Studio Ortottico Caorsano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/studio_ortottico_caorsano_45.0484_9.8747.json,custom
45.055279,9.885809,ov_trattoria_da_ennio_45.0553_9.8858,Trattoria da Ennio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/trattoria_da_ennio_45.0553_9.8858.json,custom
45.052178,9.878609,ov_sakura_45.0522_9.8786,Sakura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/sakura_45.0522_9.8786.json,custom
45.049373,9.874283,ov_muron_trattoria_45.0494_9.8743,Muron trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/muron_trattoria_45.0494_9.8743.json,custom
45.049037,9.871746,ov_osteria_del_morino_45.0490_9.8717,Osteria del Morino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/osteria_del_morino_45.0490_9.8717.json,custom
45.048695,9.874174,ov_pizzeria_le_bonta__caorso_pc_45.0487_9.8742,Pizzeria Le Bonta' Caorso PC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/pizzeria_le_bonta_caorso_pc_45.0487_9.8742.json,custom
45.048897,9.874955,ov_pizzeria_d_asporto_le_coccole_45.0489_9.8750,Pizzeria D'asporto Le Coccole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/pizzeria_dasporto_le_coccole_45.0489_9.8750.json,custom
45.037855,9.852441,ov_osteria_da_scarlo_45.0379_9.8524,Osteria da Scarlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/osteria_da_scarlo_45.0379_9.8524.json,custom
45.049257,9.811315,ov_agriturismo_boschi_celati_45.0493_9.8113,Agriturismo Boschi Celati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/agriturismo_boschi_celati_45.0493_9.8113.json,custom
45.060459,9.836452,ov_trattoria_magaton_sul_po_45.0605_9.8365,Trattoria Magaton sul Po,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/trattoria_magaton_sul_po_45.0605_9.8365.json,custom
45.065189,9.842754,ov_osteria_lo_spuntino_45.0652_9.8428,Osteria Lo Spuntino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/osteria_lo_spuntino_45.0652_9.8428.json,custom
45.065513,9.840350,ov_trattoria_tonoli_45.0655_9.8403,Trattoria Tonoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/trattoria_tonoli_45.0655_9.8403.json,custom
45.060476,9.883451,osm_bar_trattoria_al_furnason_45.0605_9.8835,Bar Trattoria Al Furnason,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_trattoria_al_furnason_45.0605_9.8835.json,custom
45.060388,9.883519,ov_bar_trattoria_al_furnason_45.0604_9.8835,Bar Trattoria Al Furnason,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_trattoria_al_furnason_45.0604_9.8835.json,custom
45.051518,9.878720,ov_caf__blanco_45.0515_9.8787,Café Blanco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/caf_blanco_45.0515_9.8787.json,custom
45.048938,9.872795,ov_bar_filly_45.0489_9.8728,bar filly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_filly_45.0489_9.8728.json,custom
45.048692,9.873043,ov_l_angolo_caffe_45.0487_9.8730,L'Angolo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/langolo_caffe_45.0487_9.8730.json,custom
45.048831,9.875090,ov_bar_caffe_grande_45.0488_9.8751,Bar Caffe Grande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_caffe_grande_45.0488_9.8751.json,custom
45.048560,9.876600,ov_kantin_45.0486_9.8766,KANTIN,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/kantin_45.0486_9.8766.json,custom
45.046233,9.867558,ov_la_rocca___bar_ristorante_45.0462_9.8676,La Rocca - Bar Ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/la_rocca_-_bar_ristorante_45.0462_9.8676.json,custom
45.047840,9.873214,ov_bar_miki_45.0478_9.8732,Bar Miki,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_miki_45.0478_9.8732.json,custom
45.042250,9.847140,ov_bar_pit_stop_45.0423_9.8471,Bar PIT STOP,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/bar_pit_stop_45.0423_9.8471.json,custom
45.043702,9.853160,ov_coffe_b_arch_45.0437_9.8532,Coffe B'Arch,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/coffe_barch_45.0437_9.8532.json,custom
45.043817,9.805677,ov_capolinea_45.0438_9.8057,Capolinea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/capolinea_45.0438_9.8057.json,custom
45.049649,9.872240,ov_biblioteca_comunale_di_caorso_45.0496_9.8722,Biblioteca Comunale di Caorso,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/caorso/pages/biblioteca_comunale_di_caorso_45.0496_9.8722.json,custom
