# lat,lng,id,name,building_type,type,url,page_type
# Merlara -- Tutti
45.168170,11.441210,ov_val_s_natur__di_dott_ssa_valentina_degan_45.1682_11.4412,Valěs Naturā di Dott.ssa Valentina Degani,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/vals_natur_di_dottssa_valentina_degani_45.1682_11.4412.json,custom
45.164588,11.448853,ov_ristorante_pizzeria_al_grappolo_45.1646_11.4489,Ristorante Pizzeria al Grappolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/ristorante_pizzeria_al_grappolo_45.1646_11.4489.json,custom
45.166133,11.439795,ov_happy_one_pizzeria_45.1661_11.4398,Happy one Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/happy_one_pizzeria_45.1661_11.4398.json,custom
45.166133,11.439795,ov_pizza_al_taglio_da_leo_45.1661_11.4398,Pizza al taglio DA LEO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/pizza_al_taglio_da_leo_45.1661_11.4398.json,custom
45.144178,11.470917,ov_trattoria_paradiso_dei_pescatori_45.1442_11.4709,Trattoria Paradiso dei Pescatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/trattoria_paradiso_dei_pescatori_45.1442_11.4709.json,custom
45.162497,11.451403,ov_la_primula_45.1625_11.4514,La Primula,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/la_primula_45.1625_11.4514.json,custom
45.164650,11.436635,ov_costantin_45.1647_11.4366,Costantin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/costantin_45.1647_11.4366.json,custom
45.167420,11.441770,ov_far_vivere_la_biblioteca_di_merlara_45.1674_11.4418,Far Vivere la Biblioteca di Merlara,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/merlara/pages/far_vivere_la_biblioteca_di_merlara_45.1674_11.4418.json,custom
