# lat,lng,id,name,building_type,type,url,page_type
# Tresa -- Tutti
45.991850,8.839036,ov_ospedale_malcantonese_45.9918_8.8390,Ospedale Malcantonese,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/ospedale_malcantonese_45.9918_8.8390.json,custom
45.989433,8.820647,ov_osteria_della_posta_45.9894_8.8206,Osteria della Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/osteria_della_posta_45.9894_8.8206.json,custom
45.998664,8.818920,ov_osteria_chiave_d_oro_45.9987_8.8189,Osteria Chiave d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/osteria_chiave_doro_45.9987_8.8189.json,custom
45.998242,8.819354,ov_ristorante_unione_45.9982_8.8194,Ristorante Unione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/ristorante_unione_45.9982_8.8194.json,custom
45.999622,8.819174,ov_osteria_bar_centrale_45.9996_8.8192,Osteria Bar Centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/osteria_bar_centrale_45.9996_8.8192.json,custom
45.996011,8.825812,ov_hotel_ristorante_i_grappoli_45.9960_8.8258,Hotel Ristorante I Grappoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/hotel_ristorante_i_grappoli_45.9960_8.8258.json,custom
45.993108,8.787939,ov_osteria_internazionale_45.9931_8.7879,Osteria Internazionale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/osteria_internazionale_45.9931_8.7879.json,custom
45.970011,8.861371,ov_baia_ristorante_panoramico_45.9700_8.8614,Baia Ristorante Panoramico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/baia_ristorante_panoramico_45.9700_8.8614.json,custom
45.969511,8.860195,ov_l_edy_pizza_45.9695_8.8602,L'Edy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/ledy_pizza_45.9695_8.8602.json,custom
45.990107,8.819410,ov_bar_al_b_cc_45.9901_8.8194,Bar Al Böcc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/bar_al_bcc_45.9901_8.8194.json,custom
45.993780,8.793690,ov_ristorante_centro_bosco_della_bella_45.9938_8.7937,Ristorante Centro Bosco della Bella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/ristorante_centro_bosco_della_bella_45.9938_8.7937.json,custom
45.969020,8.859784,ov_bar_giardino_45.9690_8.8598,Bar Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/bar_giardino_45.9690_8.8598.json,custom
45.967735,8.859186,ov_bar_sports_45.9677_8.8592,Bar Sports,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/bar_sports_45.9677_8.8592.json,custom
45.969785,8.855553,ov_newlife_tonino_45.9698_8.8556,NewLife Tonino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/newlife_tonino_45.9698_8.8556.json,custom
45.985503,8.838639,ov_poligono_di_tiro_alla_peschiera_45.9855_8.8386,Poligono di Tiro alla Peschiera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/poligono_di_tiro_alla_peschiera_45.9855_8.8386.json,custom
45.999786,8.819661,ov_museo_della_miniera_d_oro_di_sessa_45.9998_8.8197,Museo della Miniera d'Oro di Sessa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/museo_della_miniera_doro_di_sessa_45.9998_8.8197.json,custom
45.999203,8.818869,ov_casa_trezzini_45.9992_8.8189,Casa Trezzini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/casa_trezzini_45.9992_8.8189.json,custom
46.000410,8.817390,ov_micro_museo_minerali_e_fossili_46.0004_8.8174,Micro MUSEO Minerali e Fossili,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/micro_museo_minerali_e_fossili_46.0004_8.8174.json,custom
45.995859,8.826125,ov_cine_museo_65_45.9959_8.8261,Cine Museo 65,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/cine_museo_65_45.9959_8.8261.json,custom
46.003308,8.810584,ov_piccolo_museo_sessa_monteggio_46.0033_8.8106,Piccolo Museo Sessa Monteggio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/tresa/pages/piccolo_museo_sessa_monteggio_46.0033_8.8106.json,custom
