# lat,lng,id,name,building_type,type,url,page_type
# castel_san_giovanni -- Tutti
45.058153,9.446646,ov_sushi_zoom_45.0582_9.4466,Sushi Zoom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/sushi_zoom_45.0582_9.4466.json,custom
45.058672,9.440041,ov_ristorante_osteria_la_taverna_45.0587_9.4400,Ristorante Osteria La Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/ristorante_osteria_la_taverna_45.0587_9.4400.json,custom
45.059780,9.446140,ov_ristorante_trattoria_dei_panzerotti_e_la_45.0598_9.4461,Ristorante Trattoria dei Panzerotti e Lago Sampei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/ristorante_trattoria_dei_panzerotti_e_la_45.0598_9.4461.json,custom
45.060247,9.437790,ov_haki_asian_restaurant_45.0602_9.4378,Haki Asian Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/haki_asian_restaurant_45.0602_9.4378.json,custom
45.058866,9.437362,ov_pizza_da_asporto_pizzissima_45.0589_9.4374,Pizza Da Asporto Pizzissima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pizza_da_asporto_pizzissima_45.0589_9.4374.json,custom
45.058749,9.438495,ov_ristorante_barca_45.0587_9.4385,Ristorante Barca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/ristorante_barca_45.0587_9.4385.json,custom
45.058595,9.435865,ov_pizzeria_la_fantasia_45.0586_9.4359,Pizzeria La Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pizzeria_la_fantasia_45.0586_9.4359.json,custom
45.058689,9.431230,ov_market_marrakech_45.0587_9.4312,Market Marrakech,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/market_marrakech_45.0587_9.4312.json,custom
45.059080,9.431715,ov_pizzeria_e_focacceria_castello_45.0591_9.4317,Pizzeria e Focacceria Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pizzeria_e_focacceria_castello_45.0591_9.4317.json,custom
45.059090,9.432740,ov_turkish_city_pizza___kebap_castel_san_gi_45.0591_9.4327,Turkish city pizza & kebap Castel San Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/turkish_city_pizza_kebap_castel_san_giov_45.0591_9.4327.json,custom
45.059113,9.433133,ov_vicolo_82_45.0591_9.4331,Vicolo 82,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/vicolo_82_45.0591_9.4331.json,custom
45.059127,9.432799,ov_pizzeria_il_quadrifoglio_45.0591_9.4328,Pizzeria Il Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pizzeria_il_quadrifoglio_45.0591_9.4328.json,custom
45.059805,9.421212,ov_la_vecchia_dogana_antico_piemonte_45.0598_9.4212,La Vecchia Dogana Antico Piemonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/la_vecchia_dogana_antico_piemonte_45.0598_9.4212.json,custom
45.059900,9.426630,ov_city_istanbul_kebap_castel_san_giovanni_45.0599_9.4266,City Istanbul Kebap Castel San Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/city_istanbul_kebap_castel_san_giovanni_45.0599_9.4266.json,custom
45.057973,9.434305,ov_trattoria_mercato_45.0580_9.4343,Trattoria Mercato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/trattoria_mercato_45.0580_9.4343.json,custom
45.057757,9.438802,ov_amplifon_piazzale_antonio_gramsci__caste_45.0578_9.4388,"Amplifon Piazzale Antonio Gramsci, Castel San Giovanni",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/amplifon_piazzale_antonio_gramsci_castel_45.0578_9.4388.json,custom
45.056929,9.438611,ov_tavola_amica_45.0569_9.4386,Tavola Amica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/tavola_amica_45.0569_9.4386.json,custom
45.053084,9.442956,ov_pizzeria_restaurant_barracuda_45.0531_9.4430,Pizzeria Restaurant Barracuda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pizzeria_restaurant_barracuda_45.0531_9.4430.json,custom
45.043634,9.447777,ov_black_flag_45.0436_9.4478,Black Flag,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/black_flag_45.0436_9.4478.json,custom
45.047087,9.446879,ov_ristorante_pizzeria_412_45.0471_9.4469,Ristorante Pizzeria 412,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/ristorante_pizzeria_412_45.0471_9.4469.json,custom
45.085556,9.450770,ov_guinness_planet_ristorante_camere_45.0856_9.4508,Guinness Planet ristorante camere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/guinness_planet_ristorante_camere_45.0856_9.4508.json,custom
45.086646,9.450963,ov_bar_trattoria_dogana_po_45.0866_9.4510,Bar Trattoria Dogana Po,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_trattoria_dogana_po_45.0866_9.4510.json,custom
45.080184,9.453011,ov_green_bar_45.0802_9.4530,Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/green_bar_45.0802_9.4530.json,custom
45.070893,9.443463,ov_desktoo_italia_45.0709_9.4435,Desktoo Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/desktoo_italia_45.0709_9.4435.json,custom
45.071200,9.446175,ov_bar_il_geco_45.0712_9.4462,Bar Il Geco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_il_geco_45.0712_9.4462.json,custom
45.063090,9.437030,ov_bar_volta_45.0631_9.4370,BAR VOLTA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_volta_45.0631_9.4370.json,custom
45.062829,9.436810,ov_bds_bar_della_stazione_45.0628_9.4368,BDS Bar Della Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bds_bar_della_stazione_45.0628_9.4368.json,custom
45.062812,9.436808,ov_bar_vacca__l_trenu_45.0628_9.4368,Bar Vacca 'L Trenu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_vacca_l_trenu_45.0628_9.4368.json,custom
45.062670,9.430730,ov_il_chiosco_45.0627_9.4307,Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/il_chiosco_45.0627_9.4307.json,custom
45.056934,9.439963,ov_ice_cafe_45.0569_9.4400,Ice Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/ice_cafe_45.0569_9.4400.json,custom
