# lat,lng,id,name,building_type,type,url,page_type
# Buccinasco -- Tutti
45.421782,9.121218,ov_farmacia_comunale_buccinasco_45.4218_9.1212,Farmacia Comunale Buccinasco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/farmacia_comunale_buccinasco_45.4218_9.1212.json,custom
45.413838,9.089695,ov_self_service_ristorante_azalea_45.4138_9.0897,Self Service Ristorante Azalea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/self_service_ristorante_azalea_45.4138_9.0897.json,custom
45.421653,9.106543,ov_ristorante_pizzeria_new_paradise_45.4217_9.1065,Ristorante Pizzeria New Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ristorante_pizzeria_new_paradise_45.4217_9.1065.json,custom
45.421856,9.106970,ov_new_paradise_45.4219_9.1070,New Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/new_paradise_45.4219_9.1070.json,custom
45.424017,9.112052,ov_pizzeria_criscito_45.4240_9.1121,Pizzeria Criscito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/pizzeria_criscito_45.4240_9.1121.json,custom
45.422995,9.114213,ov_fuori_dal_comune_45.4230_9.1142,Fuori Dal Comune,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fuori_dal_comune_45.4230_9.1142.json,custom
45.423039,9.114678,ov_ristorante_pizzeria_mar_rosso_45.4230_9.1147,Ristorante Pizzeria Mar Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ristorante_pizzeria_mar_rosso_45.4230_9.1147.json,custom
45.421864,9.114025,ov_mcdonald_s_45.4219_9.1140,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/mcdonalds_45.4219_9.1140.json,custom
45.420631,9.113725,ov_baia_blu_ristorante_pizzeria_45.4206_9.1137,Baia Blu Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/baia_blu_ristorante_pizzeria_45.4206_9.1137.json,custom
45.420588,9.113745,ov_miyabi_45.4206_9.1137,Miyabi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/miyabi_45.4206_9.1137.json,custom
45.420416,9.120337,ov_food_house_45.4204_9.1203,Food House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/food_house_45.4204_9.1203.json,custom
