# lat,lng,id,name,building_type,type,url,page_type
# Treia -- Tutti
43.307915,13.315221,ov_servizi_ospedalieri_spa_43.3079_13.3152,Servizi Ospedalieri SPA,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/servizi_ospedalieri_spa_43.3079_13.3152.json,custom
43.367575,13.318978,ov_farmhouse_il_confine_43.3676_13.3190,Farmhouse Il Confine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/farmhouse_il_confine_43.3676_13.3190.json,custom
43.351065,13.316983,ov_villa_schito_43.3511_13.3170,Villa Schito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/villa_schito_43.3511_13.3170.json,custom
43.338368,13.325195,ov_pizzeria_balu_chiesanuova_43.3384_13.3252,Pizzeria Balu Chiesanuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/pizzeria_balu_chiesanuova_43.3384_13.3252.json,custom
43.337789,13.307246,ov_ristorante_villa_cortese_43.3378_13.3072,Ristorante Villa Cortese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ristorante_villa_cortese_43.3378_13.3072.json,custom
43.318616,13.345542,ov_antica_fornace_bar_punto_snai_tabaccheri_43.3186_13.3455,Antica Fornace Bar Punto Snai Tabaccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/antica_fornace_bar_punto_snai_tabaccheri_43.3186_13.3455.json,custom
43.313956,13.310601,ov_taverna_del_vallesacco_43.3140_13.3106,Taverna del Vallesacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/taverna_del_vallesacco_43.3140_13.3106.json,custom
43.312730,13.307426,ov_speedy_43.3127_13.3074,Speedy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/speedy_43.3127_13.3074.json,custom
43.311865,13.311972,ov_palazzo_rainaldi_43.3119_13.3120,Palazzo Rainaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/palazzo_rainaldi_43.3119_13.3120.json,custom
43.311026,13.312555,ov_pizzeria_da_mich__43.3110_13.3126,Pizzeria da Michè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/pizzeria_da_mich_43.3110_13.3126.json,custom
43.311113,13.312407,ov_ristorante_la_cantinetta_43.3111_13.3124,Ristorante La Cantinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ristorante_la_cantinetta_43.3111_13.3124.json,custom
