# lat,lng,id,name,building_type,type,url,page_type
# Pontevico -- Tutti
45.271568,10.084763,ov_istituto_bassano_cremonesini_per_disabil_45.2716_10.0848,Istituto Bassano Cremonesini Per Disabili Psichiche-Onlus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/istituto_bassano_cremonesini_per_disabil_45.2716_10.0848.json,custom
45.306290,10.106460,ov_agriturismo_le_strinade_45.3063_10.1065,Agriturismo Le Strinade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/agriturismo_le_strinade_45.3063_10.1065.json,custom
45.281692,10.077022,ov_osteria_la_vigna_di_scaglia_45.2817_10.0770,Osteria La Vigna di Scaglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/osteria_la_vigna_di_scaglia_45.2817_10.0770.json,custom
45.276682,10.094632,ov_myshibuya_sushi_point_45.2767_10.0946,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/myshibuya_sushi_point_45.2767_10.0946.json,custom
45.270770,10.095814,ov_ristorante_la_cantoniera_45.2708_10.0958,Ristorante La Cantoniera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/ristorante_la_cantoniera_45.2708_10.0958.json,custom
45.271231,10.091770,ov_pizza_doc_45.2712_10.0918,Pizza Doc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/pizza_doc_45.2712_10.0918.json,custom
45.271490,10.092430,ov_il_molino_45.2715_10.0924,Il Molino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/il_molino_45.2715_10.0924.json,custom
45.270874,10.092187,ov_la_coccinella_45.2709_10.0922,La Coccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/la_coccinella_45.2709_10.0922.json,custom
45.269082,10.091109,ov_ristorante_pizzeria_maest__45.2691_10.0911,Ristorante Pizzeria Maestà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/ristorante_pizzeria_maest_45.2691_10.0911.json,custom
45.270961,10.121142,ov_ristorante_mama_45.2710_10.1211,Ristorante Mama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/ristorante_mama_45.2710_10.1211.json,custom
45.262328,10.128902,ov_osteria_dossi_45.2623_10.1289,Osteria Dossi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/osteria_dossi_45.2623_10.1289.json,custom
45.270299,10.086753,ov_osteria_il_gambero_45.2703_10.0868,Osteria Il Gambero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/osteria_il_gambero_45.2703_10.0868.json,custom
45.271053,10.086675,ov_pizzeria_burgeria_italia_gourmet_45.2711_10.0867,Pizzeria Burgeria Italia Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/pizzeria_burgeria_italia_gourmet_45.2711_10.0867.json,custom
45.271084,10.086618,ov_la_sfinge_45.2711_10.0866,La Sfinge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/la_sfinge_45.2711_10.0866.json,custom
45.271812,10.085969,ov_bar_ristorante_dama_viola_di_spinelli_an_45.2718_10.0860,Bar Ristorante Dama Viola di Spinelli Angelo & C. Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/bar_ristorante_dama_viola_di_spinelli_an_45.2718_10.0860.json,custom
45.272105,10.086164,ov_trattoria_dell_angelo_45.2721_10.0862,Trattoria Dell'Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/trattoria_dellangelo_45.2721_10.0862.json,custom
45.272332,10.086244,ov_punjab_fast_food___kebab_45.2723_10.0862,Punjab Fast Food & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/punjab_fast_food_kebab_45.2723_10.0862.json,custom
45.284450,10.104158,ov_brescia_bar_45.2844_10.1042,Brescia Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/brescia_bar_45.2844_10.1042.json,custom
45.273400,10.093920,ov_eni_caf__pontevico_45.2734_10.0939,Eni Cafè Pontevico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/eni_caf_pontevico_45.2734_10.0939.json,custom
45.272924,10.093196,ov_bar_isola_bella_45.2729_10.0932,Bar Isola Bella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/bar_isola_bella_45.2729_10.0932.json,custom
45.271050,10.091305,ov_country_club_45.2711_10.0913,Country Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/country_club_45.2711_10.0913.json,custom
45.268826,10.087587,ov_seven_bar_45.2688_10.0876,Seven bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/seven_bar_45.2688_10.0876.json,custom
45.266968,10.088067,ov_amazon_counter___la_ponticella_45.2670_10.0881,Amazon Counter - La Ponticella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/amazon_counter_-_la_ponticella_45.2670_10.0881.json,custom
45.270920,10.125258,ov_bar_21_45.2709_10.1253,Bar 21,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/bar_21_45.2709_10.1253.json,custom
45.270932,10.086588,ov_new_claxon_bar_45.2709_10.0866,New Claxon Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/new_claxon_bar_45.2709_10.0866.json,custom
45.271313,10.086501,ov_bar_mazzini_45.2713_10.0865,Bar Mazzini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/bar_mazzini_45.2713_10.0865.json,custom
45.274659,10.086400,ov_barbagianni_45.2747_10.0864,Barbagianni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/barbagianni_45.2747_10.0864.json,custom
45.271048,10.090426,osm_keeper_88_45.2710_10.0904,Keeper 88,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/keeper_88_45.2710_10.0904.json,custom
45.274420,10.089920,ov_scuola_di_danza_classica_e_moderna_ponte_45.2744_10.0899,Scuola di Danza Classica e Moderna Pontevico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/scuola_di_danza_classica_e_moderna_ponte_45.2744_10.0899.json,custom
45.268991,10.091433,ov_sbb___sustainable_body_building_45.2690_10.0914,SBB - Sustainable Body Building,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/sbb_-_sustainable_body_building_45.2690_10.0914.json,custom
45.268984,10.091426,ov_excellent_fit_pontevico_45.2690_10.0914,Excellent Fit Pontevico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/excellent_fit_pontevico_45.2690_10.0914.json,custom
45.269083,10.090955,ov_biblioteca_comunale_di_pontevico_45.2691_10.0910,Biblioteca Comunale di Pontevico,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pontevico/pages/biblioteca_comunale_di_pontevico_45.2691_10.0910.json,custom
