# lat,lng,id,name,building_type,type,url,page_type
# Laigueglia -- Tutti
43.979912,8.158023,osm_croce_bianca_laigueglia_43.9799_8.1580,Croce Bianca Laigueglia,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/croce_bianca_laigueglia_43.9799_8.1580.json,custom
43.990993,8.162709,ov_la_scogliera_43.9910_8.1627,La Scogliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/la_scogliera_43.9910_8.1627.json,custom
43.986932,8.160595,ov_bagni_pino_laigueglia_43.9869_8.1606,Bagni Pino Laigueglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/bagni_pino_laigueglia_43.9869_8.1606.json,custom
43.981824,8.159115,ov_il_ghe_43.9818_8.1591,Il Ghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/il_ghe_43.9818_8.1591.json,custom
43.979308,8.158579,ov_le_canard_43.9793_8.1586,Le Canard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/le_canard_43.9793_8.1586.json,custom
43.979359,8.158677,ov_pizzeria_mentelocale_43.9794_8.1587,Pizzeria Mentelocale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/pizzeria_mentelocale_43.9794_8.1587.json,custom
43.979374,8.158692,ov_ristorante_dal_saraceno_laigueglia_43.9794_8.1587,Ristorante Dal Saraceno Laigueglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_dal_saraceno_laigueglia_43.9794_8.1587.json,custom
43.979471,8.158626,ov_a_ciassa_43.9795_8.1586,A Ciassa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/a_ciassa_43.9795_8.1586.json,custom
43.979513,8.159018,ov_zefiro_43.9795_8.1590,Zefiro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/zefiro_43.9795_8.1590.json,custom
43.979734,8.158906,ov_il_pescatore_43.9797_8.1589,Il Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/il_pescatore_43.9797_8.1589.json,custom
43.979841,8.158639,ov_pizzeria_farina_e_pomodoro_43.9798_8.1586,Pizzeria Farina e Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/pizzeria_farina_e_pomodoro_43.9798_8.1586.json,custom
43.980167,8.158975,ov_ristorante_la_bitta_43.9802_8.1590,Ristorante La Bitta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_la_bitta_43.9802_8.1590.json,custom
43.978732,8.159449,ov_amarcord_43.9787_8.1594,Amarcord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/amarcord_43.9787_8.1594.json,custom
43.979267,8.158430,ov_ristorante_la_sosta_43.9793_8.1584,Ristorante La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_la_sosta_43.9793_8.1584.json,custom
43.979184,8.158548,ov_la_cucina_dei_pignuin_43.9792_8.1585,La Cucina dei Pignuin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/la_cucina_dei_pignuin_43.9792_8.1585.json,custom
43.978921,8.158480,ov_pizzeria_l_impronta_43.9789_8.1585,Pizzeria L'Impronta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/pizzeria_limpronta_43.9789_8.1585.json,custom
43.978325,8.158332,ov_ristorante_pizzeria_pacan_43.9783_8.1583,Ristorante Pizzeria Pacan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_pizzeria_pacan_43.9783_8.1583.json,custom
43.978523,8.158305,ov_ristorante_l_andi__43.9785_8.1583,Ristorante L'Andiü,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_landi_43.9785_8.1583.json,custom
43.978317,8.158517,ov_la_caramella_43.9783_8.1585,La Caramella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/la_caramella_43.9783_8.1585.json,custom
43.978034,8.159228,ov_ristorante_tino_e_marco_43.9780_8.1592,Ristorante Tino e Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/ristorante_tino_e_marco_43.9780_8.1592.json,custom
43.977771,8.157890,ov_may_restaurant_l_officina_della_carne_43.9778_8.1579,May Restaurant L'Officina della Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/may_restaurant_lofficina_della_carne_43.9778_8.1579.json,custom
43.977622,8.158941,ov_la_locanda_del_re_minore_43.9776_8.1589,La Locanda del Re Minore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/la_locanda_del_re_minore_43.9776_8.1589.json,custom
43.977522,8.159215,ov_namay___bagni_massa_laigueglia___sea__ba_43.9775_8.1592,"Namay - Bagni Massa Laigueglia - Sea, bar, food",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/namay_-_bagni_massa_laigueglia_-_sea_bar_43.9775_8.1592.json,custom
43.976125,8.158742,ov_il_pirata_43.9761_8.1587,Il Pirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/il_pirata_43.9761_8.1587.json,custom
43.975703,8.158984,ov_tempura_43.9757_8.1590,Tempura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/tempura_43.9757_8.1590.json,custom
43.975987,8.158103,ov_il_caveau_laigueglia_43.9760_8.1581,Il Caveau Laigueglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/il_caveau_laigueglia_43.9760_8.1581.json,custom
43.976089,8.158544,ov_luigia_43.9761_8.1585,Luigia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/luigia_43.9761_8.1585.json,custom
43.976165,8.158305,ov_l_enopirata_43.9762_8.1583,L'EnoPirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/lenopirata_43.9762_8.1583.json,custom
43.977199,8.158742,ov_vascello_fantasma_43.9772_8.1587,Vascello Fantasma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/vascello_fantasma_43.9772_8.1587.json,custom
43.977133,8.158595,ov_il_segreto_43.9771_8.1586,Il Segreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/laigueglia/pages/il_segreto_43.9771_8.1586.json,custom
