# lat,lng,id,name,building_type,type,url,page_type
# San Cesario di Lecce -- Tutti
40.304809,18.158836,ov_a_s_l_lecce_40.3048_18.1588,A.S.L Lecce,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/asl_lecce_40.3048_18.1588.json,custom
40.296899,18.171884,ov_lu_casale_40.2969_18.1719,Lu Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/lu_casale_40.2969_18.1719.json,custom
40.299610,18.159450,ov_il_casaro_40.2996_18.1595,Il Casaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/il_casaro_40.2996_18.1595.json,custom
40.299813,18.159440,ov_forno_a_legna_liaci_40.2998_18.1594,Forno a Legna Liaci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/forno_a_legna_liaci_40.2998_18.1594.json,custom
40.301609,18.159735,ov_small_cucina_and_more_40.3016_18.1597,Small Cucina And More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/small_cucina_and_more_40.3016_18.1597.json,custom
40.302935,18.159419,ov_jackson_a_typical_trattoria_and_pizzeria_40.3029_18.1594,Jackson A-typical trattoria and pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/jackson_a-typical_trattoria_and_pizzeria_40.3029_18.1594.json,custom
40.303171,18.160461,ov_la_vecchia_curte_40.3032_18.1605,La Vecchia Curte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/la_vecchia_curte_40.3032_18.1605.json,custom
40.304443,18.160046,ov_ristorante_lilith_40.3044_18.1600,Ristorante Lilith,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/ristorante_lilith_40.3044_18.1600.json,custom
40.305891,18.162147,ov_al_capone_40.3059_18.1621,Al Capone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/al_capone_40.3059_18.1621.json,custom
40.322648,18.164342,ov_sfizi_cotti_40.3226_18.1643,Sfizi Cotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/sfizi_cotti_40.3226_18.1643.json,custom
40.309848,18.171641,ov_lu_farillu_40.3098_18.1716,Lu Farillu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/lu_farillu_40.3098_18.1716.json,custom
40.301576,18.159652,osm_small_40.3016_18.1597,Small,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/small_40.3016_18.1597.json,custom
40.302957,18.159447,osm_man_vs_burger_40.3030_18.1594,Man vs Burger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/man_vs_burger_40.3030_18.1594.json,custom
40.296858,18.172035,osm_agriturismo_lu_casale_40.2969_18.1720,Agriturismo Lu Casale,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/agriturismo_lu_casale_40.2969_18.1720.json,custom
40.297990,18.160570,ov_galileo_caffe_40.2980_18.1606,Galileo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/galileo_caffe_40.2980_18.1606.json,custom
40.300790,18.160006,ov_caff__oriente_40.3008_18.1600,Caffè Oriente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/caff_oriente_40.3008_18.1600.json,custom
40.302528,18.159485,ov_bar_scardino_40.3025_18.1595,Bar Scardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/bar_scardino_40.3025_18.1595.json,custom
40.303466,18.159785,ov_natale_pasticceria___san_cesario_di_lecc_40.3035_18.1598,"Natale Pasticceria , San Cesario Di Lecce.",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/natale_pasticceria_san_cesario_di_lecce_40.3035_18.1598.json,custom
40.303092,18.159341,ov_syskon_bar_40.3031_18.1593,Syskon bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/syskon_bar_40.3031_18.1593.json,custom
40.303232,18.160160,ov_garibaldi_cocktail_bar_40.3032_18.1602,Garibaldi cocktail bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/garibaldi_cocktail_bar_40.3032_18.1602.json,custom
40.305322,18.158253,ov_bar_numero_14_40.3053_18.1583,Bar Numero 14,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/bar_numero_14_40.3053_18.1583.json,custom
