# lat,lng,id,name,building_type,type,url,page_type
# cavriglia -- Tutti
43.523126,11.489001,ov_confraternita_di_misericordia_43.5231_11.4890,Confraternita di Misericordia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/confraternita_di_misericordia_43.5231_11.4890.json,custom
43.542704,11.453288,ov_gastronomia_biagioni_43.5427_11.4533,Gastronomia Biagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/gastronomia_biagioni_43.5427_11.4533.json,custom
43.543127,11.452436,ov_pizzeria_andrea_castelnuovo_43.5431_11.4524,Pizzeria Andrea Castelnuovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/pizzeria_andrea_castelnuovo_43.5431_11.4524.json,custom
43.541684,11.453853,ov_pizzeria_amaranto_43.5417_11.4539,Pizzeria Amaranto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/pizzeria_amaranto_43.5417_11.4539.json,custom
43.521347,11.490039,ov_pizzeria_la_cantinetta_43.5213_11.4900,Pizzeria La Cantinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/pizzeria_la_cantinetta_43.5213_11.4900.json,custom
43.521638,11.488995,ov_pizza_doc_43.5216_11.4890,PIZZA DOC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/pizza_doc_43.5216_11.4890.json,custom
43.522523,11.491387,ov_osteria_dei_trenta_43.5225_11.4914,Osteria dei Trenta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/osteria_dei_trenta_43.5225_11.4914.json,custom
43.524749,11.494842,ov_la_locanda_cuccuini_43.5247_11.4948,La locanda Cuccuini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/la_locanda_cuccuini_43.5247_11.4948.json,custom
43.523515,11.485709,ov_il_cenacolo___ristorante___pizzeria_43.5235_11.4857,IL Cenacolo - Ristorante - Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/il_cenacolo_-_ristorante_-_pizzeria_43.5235_11.4857.json,custom
43.535038,11.461563,ov_circolo_la_pace_neri_43.5350_11.4616,Circolo La pace Neri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/circolo_la_pace_neri_43.5350_11.4616.json,custom
43.535119,11.461136,ov_alimentari_stefania_43.5351_11.4611,Alimentari Stefania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/alimentari_stefania_43.5351_11.4611.json,custom
43.533170,11.503930,ov_il_casale_di_grimoli_43.5332_11.5039,Il Casale di Grimoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/il_casale_di_grimoli_43.5332_11.5039.json,custom
43.519367,11.516102,ov_ristorante_pitena_da_vito_43.5194_11.5161,Ristorante Pitena da Vito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/ristorante_pitena_da_vito_43.5194_11.5161.json,custom
43.520011,11.487821,ov_papposileno_ristorante_enoteca_43.5200_11.4878,Papposileno Ristorante Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/papposileno_ristorante_enoteca_43.5200_11.4878.json,custom
43.519387,11.485133,ov_il_boschetto_bad_brain_43.5194_11.4851,Il Boschetto Bad Brain,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/il_boschetto_bad_brain_43.5194_11.4851.json,custom
43.500142,11.495050,ov_la_bottega_osteria_di_montegonzi_s_a_s__43.5001_11.4950,La Bottega Osteria di Montegonzi s.a.s.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/la_bottega_osteria_di_montegonzi_sas_43.5001_11.4950.json,custom
43.572879,11.491705,ov_mangiafoco_43.5729_11.4917,Mangiafoco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/mangiafoco_43.5729_11.4917.json,custom
43.572792,11.491726,ov_doppio_zero_premium_quality_pizza_43.5728_11.4917,Doppio Zero Premium Quality Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/doppio_zero_premium_quality_pizza_43.5728_11.4917.json,custom
43.566779,11.483923,ov_alla_locanda_della_miniera_43.5668_11.4839,Alla Locanda della Miniera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/alla_locanda_della_miniera_43.5668_11.4839.json,custom
43.544100,11.421500,ov_agriturismo_podere_la_fornace_43.5441_11.4215,Agriturismo Podere La Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/agriturismo_podere_la_fornace_43.5441_11.4215.json,custom
43.521127,11.489258,ov_bar_notorius_43.5211_11.4893,Bar Notorius,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/bar_notorius_43.5211_11.4893.json,custom
43.520966,11.489149,ov_notorius_caff__cavriglia_43.5210_11.4891,Notorius caffè Cavriglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/notorius_caff_cavriglia_43.5210_11.4891.json,custom
43.573200,11.491900,ov_caff__l_incontro_43.5732_11.4919,Caffè l'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/caff_lincontro_43.5732_11.4919.json,custom
43.567708,11.483895,ov_circolo_arci_santa_barbara_43.5677_11.4839,Circolo ARCI Santa Barbara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/circolo_arci_santa_barbara_43.5677_11.4839.json,custom
43.516735,11.480320,osm_malerba_winery_43.5167_11.4803,Malerba Winery,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/malerba_winery_43.5167_11.4803.json,custom
43.530169,11.486742,ov_bellosguardo_cavriglia_43.5302_11.4867,Bellosguardo Cavriglia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/bellosguardo_cavriglia_43.5302_11.4867.json,custom
43.545999,11.454250,ov_mine___museo_delle_miniere_e_del_territo_43.5460_11.4542,Mine - Museo delle Miniere e del Territorio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/cavriglia/pages/mine_-_museo_delle_miniere_e_del_territo_43.5460_11.4542.json,custom
