# lat,lng,id,name,building_type,type,url,page_type
# San Cesareo -- Tutti
41.820252,12.803217,ov_saint_louis_hospital___ambulatorio_medic_41.8203_12.8032,Saint Louis Hospital - Ambulatorio Medico Polispecialistico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/saint_louis_hospital_-_ambulatorio_medic_41.8203_12.8032.json,custom
41.839024,12.760365,ov_pizza_spicchio_41.8390_12.7604,Pizza Spicchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizza_spicchio_41.8390_12.7604.json,custom
41.845460,12.771870,ov_la_locanda_der_patata_41.8455_12.7719,La Locanda DER Patata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/la_locanda_der_patata_41.8455_12.7719.json,custom
41.847013,12.747178,ov_ripas_srls_41.8470_12.7472,Ripas Srls,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/ripas_srls_41.8470_12.7472.json,custom
41.826618,12.813073,ov_pizza_pasticci_41.8266_12.8131,Pizza&Pasticci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizzapasticci_41.8266_12.8131.json,custom
41.822258,12.805041,ov_ristorante_torraccio_41.8223_12.8050,Ristorante Torraccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/ristorante_torraccio_41.8223_12.8050.json,custom
41.823874,12.806510,ov_maydeli_41.8239_12.8065,Maydeli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/maydeli_41.8239_12.8065.json,custom
41.823490,12.803151,ov_mcdonald_s_41.8235_12.8032,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/mcdonalds_41.8235_12.8032.json,custom
41.822430,12.798654,ov_la_locanda_dello_chef_41.8224_12.7987,La Locanda dello Chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/la_locanda_dello_chef_41.8224_12.7987.json,custom
41.822631,12.801657,ov_s__team_lions_muay_thai_martial_arts_41.8226_12.8017,S. Team Lions Muay Thai Martial Arts,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/s_team_lions_muay_thai_martial_arts_41.8226_12.8017.json,custom
41.821737,12.800041,ov_pasta_fresca_rosa_41.8217_12.8000,Pasta fresca Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pasta_fresca_rosa_41.8217_12.8000.json,custom
41.822064,12.798673,ov_pastificio_san_cesareo_41.8221_12.7987,Pastificio San Cesareo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pastificio_san_cesareo_41.8221_12.7987.json,custom
41.821609,12.799246,ov_osteria_di_san_cesario_41.8216_12.7992,Osteria di San Cesario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/osteria_di_san_cesario_41.8216_12.7992.json,custom
