# lat,lng,id,name,building_type,type,url,page_type
# Novellara -- Tutti
44.843658,10.728245,ov_studio_medico_dott__ennio_guaitolini___d_44.8437_10.7282,Studio Medico Dott. Ennio Guaitolini & Dott.ssa Stefania Coc,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/studio_medico_dott_ennio_guaitolini_dott_44.8437_10.7282.json,custom
44.747178,10.977236,ov_ristorante_pizzeria_bettolino_44.7472_10.9772,Ristorante Pizzeria Bettolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/ristorante_pizzeria_bettolino_44.7472_10.9772.json,custom
44.878750,10.766350,ov_bentobistr____food__drink_and_fun___44.8787_10.7663,"Bentobistrò - Food, Drink and Fun -",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bentobistr_-_food_drink_and_fun_-_44.8787_10.7663.json,custom
44.860825,10.701204,ov_johal_indian_restaurant___pizzeria_44.8608_10.7012,Johal Indian Restaurant & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/johal_indian_restaurant_pizzeria_44.8608_10.7012.json,custom
44.865111,10.672505,ov_ristorante_pizzeria_la_pinta_44.8651_10.6725,Ristorante Pizzeria La Pinta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/ristorante_pizzeria_la_pinta_44.8651_10.6725.json,custom
44.873142,10.695737,ov_tenuta_riviera_44.8731_10.6957,Tenuta Riviera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/tenuta_riviera_44.8731_10.6957.json,custom
44.873022,10.695826,ov_la_briciola_44.8730_10.6958,La Briciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/la_briciola_44.8730_10.6958.json,custom
44.836415,10.713648,ov_rita_orchidea_44.8364_10.7136,Rita Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/rita_orchidea_44.8364_10.7136.json,custom
44.844418,10.721394,ov_ristorante_pizzeria_la_bamba_44.8444_10.7214,Ristorante Pizzeria La Bamba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/ristorante_pizzeria_la_bamba_44.8444_10.7214.json,custom
44.844631,10.727303,ov_pizzeria_al_borgo_44.8446_10.7273,Pizzeria al Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/pizzeria_al_borgo_44.8446_10.7273.json,custom
44.845210,10.727013,ov_novellara_istanblu_kebab_e_pizza_tacos_44.8452_10.7270,Novellara IstanBlu Kebab e Pizza Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/novellara_istanblu_kebab_e_pizza_tacos_44.8452_10.7270.json,custom
44.845222,10.726761,ov_il_portico_di_rondini_iuri_44.8452_10.7268,Il Portico di Rondini Iuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/il_portico_di_rondini_iuri_44.8452_10.7268.json,custom
44.845747,10.727733,ov_turkish_kebab_e_pizza_di_yildirim_erdal_44.8457_10.7277,Turkish Kebab e Pizza di Yildirim Erdal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/turkish_kebab_e_pizza_di_yildirim_erdal_44.8457_10.7277.json,custom
