# lat,lng,id,name,building_type,type,url,page_type
# ponza -- Tutti
40.893854,12.962933,ov_bubly_ponza_40.8939_12.9629,Bubly Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bubly_ponza_40.8939_12.9629.json,custom
40.894062,12.963879,ov_oresteria_40.8941_12.9639,Oresteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/oresteria_40.8941_12.9639.json,custom
40.894308,12.963911,ov_winspeare_40.8943_12.9639,Winspeare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/winspeare_40.8943_12.9639.json,custom
40.894190,12.965156,ov_sapori_di_ponza_40.8942_12.9652,Sapori Di Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/sapori_di_ponza_40.8942_12.9652.json,custom
40.895552,12.964682,ov_faro_40.8956_12.9647,Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/faro_40.8956_12.9647.json,custom
40.893870,12.964513,ov_ristorante_eea_40.8939_12.9645,Ristorante EEA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_eea_40.8939_12.9645.json,custom
40.894166,12.964302,ov_bar_pizzeria_nautilus_40.8942_12.9643,Bar Pizzeria Nautilus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_pizzeria_nautilus_40.8942_12.9643.json,custom
40.894145,12.963936,ov_trattoria_la_lanterna_da_silverio_40.8941_12.9639,Trattoria La Lanterna da Silverio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/trattoria_la_lanterna_da_silverio_40.8941_12.9639.json,custom
40.894123,12.964804,ov_la_baguetteria_del_porto_40.8941_12.9648,La Baguetteria del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/la_baguetteria_del_porto_40.8941_12.9648.json,custom
40.892616,12.964928,ov_ristorante_monte_guardia_40.8926_12.9649,Ristorante Monte Guardia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_monte_guardia_40.8926_12.9649.json,custom
40.892621,12.965563,ov_ristorante_arcobaleno_ponza_40.8926_12.9656,Ristorante Arcobaleno Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_arcobaleno_ponza_40.8926_12.9656.json,custom
40.894210,12.965380,ov_pizzeria_rosticceria_ponzese_40.8942_12.9654,Pizzeria Rosticceria Ponzese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/pizzeria_rosticceria_ponzese_40.8942_12.9654.json,custom
40.895008,12.965970,ov_buco_divino_ponza_40.8950_12.9660,Buco Divino Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/buco_divino_ponza_40.8950_12.9660.json,custom
40.894337,12.965997,ov_ristorante_l_antica_favara_40.8943_12.9660,Ristorante L'antica favara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_lantica_favara_40.8943_12.9660.json,custom
