# lat,lng,id,name,building_type,type,url,page_type
# Mentana -- Tutti
42.038268,12.637139,ov_pizzamania_42.0383_12.6371,Pizzamania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/pizzamania_42.0383_12.6371.json,custom
42.036485,12.637708,ov_il_capriccio_42.0365_12.6377,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/il_capriccio_42.0365_12.6377.json,custom
42.036029,12.639233,ov_aperi_macelleria_tocci_42.0360_12.6392,Aperi-Macelleria Tocci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/aperi-macelleria_tocci_42.0360_12.6392.json,custom
42.035591,12.641725,ov_il_sole_e_la_luna_42.0356_12.6417,Il Sole e la Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/il_sole_e_la_luna_42.0356_12.6417.json,custom
42.035882,12.639688,ov_pizza___fichi_42.0359_12.6397,Pizza & Fichi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/pizza_fichi_42.0359_12.6397.json,custom
42.035022,12.641880,ov_pizzeria_sorrentino_teresa_42.0350_12.6419,Pizzeria Sorrentino Teresa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/pizzeria_sorrentino_teresa_42.0350_12.6419.json,custom
42.034928,12.637899,ov_big_pizza_42.0349_12.6379,Big Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/big_pizza_42.0349_12.6379.json,custom
42.034860,12.637854,ov_antica_trattoria_garibaldi_42.0349_12.6379,Antica Trattoria Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/antica_trattoria_garibaldi_42.0349_12.6379.json,custom
42.034797,12.637638,ov_la_nuova_fraschetta_42.0348_12.6376,La nuova fraschetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/la_nuova_fraschetta_42.0348_12.6376.json,custom
42.035090,12.637801,ov_a_mare_aperto_42.0351_12.6378,A Mare Aperto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/a_mare_aperto_42.0351_12.6378.json,custom
