# lat,lng,id,name,building_type,type,url,page_type
# Castiglione delle Stiviere -- Tutti
45.388722,10.493956,ov_ospedale_san_pellegrino_45.3887_10.4940,Ospedale San Pellegrino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ospedale_san_pellegrino_45.3887_10.4940.json,custom
45.361167,10.498461,ov_osteria_n_1_the_9th_street_colazioni__ap_45.3612_10.4985,"Osteria N.1 The 9th Street Colazioni, aperitivi, pranzi di l",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/osteria_n1_the_9th_street_colazioni_aper_45.3612_10.4985.json,custom
45.360897,10.495340,ov_l_angolo_di_rita_45.3609_10.4953,L'Angolo di Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/langolo_di_rita_45.3609_10.4953.json,custom
45.377184,10.463821,ov_bar_tabaccheria_prede_45.3772_10.4638,bar tabaccheria Prede,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/bar_tabaccheria_prede_45.3772_10.4638.json,custom
45.387960,10.475045,ov_ristorante_pizzeria_la_capanna_45.3880_10.4750,Ristorante Pizzeria La Capanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ristorante_pizzeria_la_capanna_45.3880_10.4750.json,custom
45.388568,10.480991,ov_ristorante_goen_45.3886_10.4810,Ristorante Goen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ristorante_goen_45.3886_10.4810.json,custom
45.388827,10.480697,ov_quattro_stagioni_hot_pot_45.3888_10.4807,Quattro Stagioni Hot Pot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/quattro_stagioni_hot_pot_45.3888_10.4807.json,custom
45.388151,10.482247,ov_pizzeria_sapor__45.3882_10.4822,Pizzeria Saporè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/pizzeria_sapor_45.3882_10.4822.json,custom
45.387466,10.480795,ov_gastronomia_vegetale_da_roby_45.3875_10.4808,Gastronomia Vegetale da ROBY,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/gastronomia_vegetale_da_roby_45.3875_10.4808.json,custom
45.382905,10.487346,ov_grappolo_d_oro_45.3829_10.4873,Grappolo D'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/grappolo_doro_45.3829_10.4873.json,custom
45.384708,10.489415,ov_pizzeria_arte_bianca_45.3847_10.4894,Pizzeria Arte Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/pizzeria_arte_bianca_45.3847_10.4894.json,custom
45.384756,10.489558,ov__vanit__castiglione_d_s_45.3848_10.4896,ÉvanitÈ Castiglione d/s,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/vanit_castiglione_ds_45.3848_10.4896.json,custom
45.386133,10.485915,ov_mahalo_poke_45.3861_10.4859,Mahalo Poke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/mahalo_poke_45.3861_10.4859.json,custom
45.389597,10.486523,ov_collegio_45.3896_10.4865,Collegio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/collegio_45.3896_10.4865.json,custom
45.388885,10.486089,ov_trattoria_croce_bianca_45.3889_10.4861,Trattoria Croce Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/trattoria_croce_bianca_45.3889_10.4861.json,custom
45.389410,10.489420,ov_concreto_castiglione_d_s_45.3894_10.4894,Concreto Castiglione d/s,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/concreto_castiglione_ds_45.3894_10.4894.json,custom
45.387889,10.493082,ov_turk_sh_city_pizza_kebap_grill_45.3879_10.4931,Turkısh City Pizza Kebap Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/turksh_city_pizza_kebap_grill_45.3879_10.4931.json,custom
45.389344,10.493476,ov_pizza_san_luigi_e_san_pietro_45.3893_10.4935,Pizza San Luigi e San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/pizza_san_luigi_e_san_pietro_45.3893_10.4935.json,custom
45.387643,10.494707,ov_bottega_delle_bont__45.3876_10.4947,Bottega delle Bontà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/bottega_delle_bont_45.3876_10.4947.json,custom
45.386823,10.496201,ov_pizzeria_sorrento_45.3868_10.4962,Pizzeria Sorrento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/pizzeria_sorrento_45.3868_10.4962.json,custom
45.384161,10.503099,ov_il_ristangolo_45.3842_10.5031,Il Ristangolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/il_ristangolo_45.3842_10.5031.json,custom
45.382710,10.498481,ov_shi_li_xiang_45.3827_10.4985,Shi li xiang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/shi_li_xiang_45.3827_10.4985.json,custom
45.383300,10.497880,ov_ristorante_hu_45.3833_10.4979,Ristorante hu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ristorante_hu_45.3833_10.4979.json,custom
45.382580,10.496670,ov_italian_concept_estetica_45.3826_10.4967,Italian Concept Estetica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/italian_concept_estetica_45.3826_10.4967.json,custom
45.379098,10.502402,ov_architetto_vighini_45.3791_10.5024,Architetto Vighini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/architetto_vighini_45.3791_10.5024.json,custom
45.377260,10.504150,ov_fermento_house_45.3773_10.5041,Fermento House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/fermento_house_45.3773_10.5041.json,custom
45.378543,10.503810,ov_club_mordi_con_stile_45.3785_10.5038,Club mordi con stile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/club_mordi_con_stile_45.3785_10.5038.json,custom
