# lat,lng,id,name,building_type,type,url,page_type
# stegen_-_stegona -- Tutti
46.795258,11.925474,osm_platzl_46.7953_11.9255,Platzl,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/stegen_-_stegona/pages/platzl_46.7953_11.9255.json,custom
46.795423,11.924304,osm_caf__m_hle_46.7954_11.9243,Café Mühle,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/stegen_-_stegona/pages/caf_mhle_46.7954_11.9243.json,custom
46.788390,11.921812,osm_senni_bar_46.7884_11.9218,Senni Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/stegen_-_stegona/pages/senni_bar_46.7884_11.9218.json,custom
