# lat,lng,id,name,building_type,type,url,page_type
# Bovolone -- Tutti
45.260508,11.119809,ov_ospedale_san_biagio_45.2605_11.1198,Ospedale San Biagio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/ospedale_san_biagio_45.2605_11.1198.json,custom
45.261827,11.126373,ov_da_charlie_bovolone_45.2618_11.1264,Da Charlie_Bovolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/da_charliebovolone_45.2618_11.1264.json,custom
45.261315,11.124389,ov_pizzeria_da_livio_45.2613_11.1244,Pizzeria Da Livio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizzeria_da_livio_45.2613_11.1244.json,custom
45.262416,11.131877,ov_strada_facendo_ristorante_pizzeria_45.2624_11.1319,Strada Facendo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/strada_facendo_ristorante_pizzeria_45.2624_11.1319.json,custom
45.255964,11.133548,ov_bar_pizzeria_la_rosa_blu_45.2560_11.1335,Bar Pizzeria La Rosa Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/bar_pizzeria_la_rosa_blu_45.2560_11.1335.json,custom
45.256789,11.119815,ov_turkish_kebap_tre_fratelli_45.2568_11.1198,Turkish kebap Tre Fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/turkish_kebap_tre_fratelli_45.2568_11.1198.json,custom
45.256545,11.120127,ov_top_temple_of_pizza_45.2565_11.1201,TOP Temple of Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/top_temple_of_pizza_45.2565_11.1201.json,custom
45.255624,11.122343,ov_pizzeria_dal_buon_grano_45.2556_11.1223,Pizzeria Dal Buon Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizzeria_dal_buon_grano_45.2556_11.1223.json,custom
45.255410,11.125010,ov_pronto_pizza_bovolone_45.2554_11.1250,Pronto Pizza Bovolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pronto_pizza_bovolone_45.2554_11.1250.json,custom
45.256815,11.122502,ov_strada_grill_doner_kebab_45.2568_11.1225,Strada Grill Doner Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/strada_grill_doner_kebab_45.2568_11.1225.json,custom
45.257719,11.121680,ov_pizzeria_federica_45.2577_11.1217,Pizzeria Federica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizzeria_federica_45.2577_11.1217.json,custom
45.258893,11.121351,ov_pizzeria_asso_di_cuori_45.2589_11.1214,Pizzeria Asso Di Cuori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizzeria_asso_di_cuori_45.2589_11.1214.json,custom
45.259460,11.123399,ov_lanterna_verde_45.2595_11.1234,Lanterna Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/lanterna_verde_45.2595_11.1234.json,custom
45.259285,11.123025,ov_trattoria_pane_e_vino_45.2593_11.1230,Trattoria Pane e Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/trattoria_pane_e_vino_45.2593_11.1230.json,custom
45.253657,11.108903,ov_ok_pizza_food_45.2537_11.1089,Ok Pizza Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/ok_pizza_food_45.2537_11.1089.json,custom
45.252915,11.108145,ov_boutique_della_pizza_45.2529_11.1081,Boutique della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/boutique_della_pizza_45.2529_11.1081.json,custom
45.250955,11.105253,ov_pizzeria_azzurra_a_bovolone_45.2510_11.1053,Pizzeria Azzurra a Bovolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizzeria_azzurra_a_bovolone_45.2510_11.1053.json,custom
45.264955,11.109069,ov_pizza_a_pezzi_di_ferrara_fabio_45.2650_11.1091,Pizza A Pezzi Di Ferrara Fabio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizza_a_pezzi_di_ferrara_fabio_45.2650_11.1091.json,custom
45.267307,11.104517,ov_don_pedro_ristorante_bovolone_45.2673_11.1045,Don Pedro Ristorante Bovolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/don_pedro_ristorante_bovolone_45.2673_11.1045.json,custom
45.267033,11.105582,ov_dai_fradei_45.2670_11.1056,dai fradei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/dai_fradei_45.2670_11.1056.json,custom
45.266467,11.106140,ov_san_serafino_trattoria_e_pizzeria_45.2665_11.1061,San Serafino trattoria e pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/san_serafino_trattoria_e_pizzeria_45.2665_11.1061.json,custom
45.273975,11.096953,ov_sushi_nagoya_bovolone_ristorante_fusion_45.2740_11.0970,Sushi Nagoya Bovolone Ristorante Fusion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/sushi_nagoya_bovolone_ristorante_fusion_45.2740_11.0970.json,custom
45.273899,11.097672,ov_sushi_king_45.2739_11.0977,Sushi King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/sushi_king_45.2739_11.0977.json,custom
45.271027,11.100205,ov_osteria_e_bottega_da_pizol_45.2710_11.1002,Osteria e Bottega da Pizol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/osteria_e_bottega_da_pizol_45.2710_11.1002.json,custom
45.282973,11.087023,ov_cava_villafontana_45.2830_11.0870,Cava Villafontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/cava_villafontana_45.2830_11.0870.json,custom
45.273998,11.097849,osm_mi_sushi_45.2740_11.0978,Mi Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/mi_sushi_45.2740_11.0978.json,custom
45.270619,11.101080,osm_hotel_nuovo_sole_45.2706_11.1011,Hotel Nuovo Sole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/hotel_nuovo_sole_45.2706_11.1011.json,custom
45.267285,11.104489,osm_don_pedro_s_r_l_s__45.2673_11.1045,Don Pedro S.R.L.S.,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/don_pedro_srls_45.2673_11.1045.json,custom
45.265011,11.109032,osm_pizza_a_pezzi_45.2650_11.1090,Pizza A Pezzi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/pizza_a_pezzi_45.2650_11.1090.json,custom
45.249378,11.102823,ov_snackbar2000_45.2494_11.1028,Snackbar2000,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/snackbar2000_45.2494_11.1028.json,custom
45.247794,11.134007,ov_maracaibo_born_to_shake_45.2478_11.1340,Maracaibo Born To Shake,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/maracaibo_born_to_shake_45.2478_11.1340.json,custom
45.247850,11.133855,ov_maracaibo_nobis_45.2479_11.1339,Maracaibo Nobis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/maracaibo_nobis_45.2479_11.1339.json,custom
45.260300,11.117400,ov_le_teste_matte_45.2603_11.1174,Le teste matte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/le_teste_matte_45.2603_11.1174.json,custom
45.255560,11.132230,ov_birrificio_fogliarubia_45.2556_11.1322,Birrificio Fogliarubia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/birrificio_fogliarubia_45.2556_11.1322.json,custom
45.252654,11.140653,ov_fogliarubia_birrificio_bovolone_45.2527_11.1407,Fogliarubia Birrificio Bovolone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/fogliarubia_birrificio_bovolone_45.2527_11.1407.json,custom
45.253133,11.128360,ov_bar_san_pierino_da_berto_45.2531_11.1284,Bar San Pierino Da Berto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/bar_san_pierino_da_berto_45.2531_11.1284.json,custom
45.255329,11.117028,ov_bar_zeus_45.2553_11.1170,Bar Zeus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bovolone/pages/bar_zeus_45.2553_11.1170.json,custom
