# lat,lng,id,name,building_type,type,url,page_type
# San Candido -- Tutti
46.728853,12.265897,ov_dobbiaco_lienz_46.7289_12.2659,Dobbiaco-Lienz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/dobbiaco-lienz_46.7289_12.2659.json,custom
46.733771,12.277749,ov_lindwurm_46.7338_12.2777,Lindwurm,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/lindwurm_46.7338_12.2777.json,custom
46.731416,12.281765,ov_bar_rose_46.7314_12.2818,Bar Rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/bar_rose_46.7314_12.2818.json,custom
46.732400,12.281046,ov_uhrmachers_weinstube_46.7324_12.2810,Uhrmachers Weinstube,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/uhrmachers_weinstube_46.7324_12.2810.json,custom
46.733233,12.281036,ov_kunstraum_caf__mitterhofer_46.7332_12.2810,Kunstraum Café Mitterhofer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/kunstraum_caf_mitterhofer_46.7332_12.2810.json,custom
46.733453,12.280304,ov_bar_cornet_46.7335_12.2803,Bar Cornet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/bar_cornet_46.7335_12.2803.json,custom
46.731015,12.370595,ov_hahnspiel_hutte___rifugio_gallo_cedrone_46.7310_12.3706,Hahnspiel Hutte - Rifugio Gallo Cedrone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/hahnspiel_hutte_-_rifugio_gallo_cedrone_46.7310_12.3706.json,custom
46.732483,12.281874,osm_pavillon_innichen_46.7325_12.2819,Pavillon Innichen,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/pavillon_innichen_46.7325_12.2819.json,custom
46.731510,12.282690,ov_peak_performance_46.7315_12.2827,Peak Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/peak_performance_46.7315_12.2827.json,custom
46.732003,12.281179,ov_scuola_sci_san_candido_baranci_46.7320_12.2812,Scuola Sci San Candido Baranci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/scuola_sci_san_candido_baranci_46.7320_12.2812.json,custom
46.740600,12.279700,ov_croda_rossa_di_sesto__2_965_m_46.7406_12.2797,"Croda Rossa di Sesto, 2.965 m",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/croda_rossa_di_sesto_2965_m_46.7406_12.2797.json,custom
46.733169,12.280191,ov_dolomythos_46.7332_12.2802,DoloMythos,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/dolomythos_46.7332_12.2802.json,custom
46.733194,12.280105,ov_museo_della_collegiata_46.7332_12.2801,Museo della Collegiata,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/museo_della_collegiata_46.7332_12.2801.json,custom
46.740600,12.279700,ov_museo_di_wachtler_san_candido_46.7406_12.2797,Museo Di Wachtler San Candido,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/museo_di_wachtler_san_candido_46.7406_12.2797.json,custom
46.733178,12.282932,ov_mik_chapter_museum_46.7332_12.2829,MIK Chapter Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/mik_chapter_museum_46.7332_12.2829.json,custom
46.732941,12.283576,ov_gemeindebibliothek_peter_paul_rainer_46.7329_12.2836,Gemeindebibliothek Peter Paul Rainer,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_candido/pages/gemeindebibliothek_peter_paul_rainer_46.7329_12.2836.json,custom
