# lat,lng,id,name,building_type,type,url,page_type
# Castelluccio Inferiore -- Tutti
40.003145,15.981386,ov_castelluccio_40.0031_15.9814,castelluccio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/castelluccio_40.0031_15.9814.json,custom
40.017479,15.986562,ov_chalet_bosco_difesa_40.0175_15.9866,Chalet Bosco Difesa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/chalet_bosco_difesa_40.0175_15.9866.json,custom
40.005067,15.973550,ov_la_casereccia_40.0051_15.9736,La Casereccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/la_casereccia_40.0051_15.9736.json,custom
40.005022,15.976503,ov_da_angelo_ristorante_lounge_garden_40.0050_15.9765,Da Angelo Ristorante Lounge Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/da_angelo_ristorante_lounge_garden_40.0050_15.9765.json,custom
40.002141,15.982967,ov_bar_braceria_ferro_e_fuoco_40.0021_15.9830,Bar Braceria Ferro e Fuoco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/bar_braceria_ferro_e_fuoco_40.0021_15.9830.json,custom
40.005174,15.972975,ov_bar_palermo_40.0052_15.9730,Bar Palermo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/bar_palermo_40.0052_15.9730.json,custom
40.002544,15.979266,ov_demode_40.0025_15.9793,Demode,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/demode_40.0025_15.9793.json,custom
40.005335,15.976865,ov_inter_club_marco_materazzi__castelluccio_40.0053_15.9769,INTER club Marco Materazzi  Castelluccio Inferiore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/inter_club_marco_materazzi_castelluccio__40.0053_15.9769.json,custom
40.002802,15.979303,ov_body_genesis_club_a_s_d__40.0028_15.9793,Body Genesis Club A.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/body_genesis_club_asd_40.0028_15.9793.json,custom
40.003342,15.981420,ov_biblioteca_comunale_castelluccio_inferio_40.0033_15.9814,Biblioteca Comunale Castelluccio Inferiore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castelluccio_inferiore/pages/biblioteca_comunale_castelluccio_inferio_40.0033_15.9814.json,custom
