# lat,lng,id,name,building_type,type,url,page_type
# Sant'Angelo dei Lombardi -- Tutti
40.930912,15.161710,ov_ospedale_sant_angelo_dei_lombardi_40.9309_15.1617,Ospedale Sant'Angelo dei Lombardi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/ospedale_santangelo_dei_lombardi_40.9309_15.1617.json,custom
40.928240,15.179191,ov_pizzeria_il_borgo_guardia_lombardi_40.9282_15.1792,Pizzeria IL BORGO Guardia lombardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/pizzeria_il_borgo_guardia_lombardi_40.9282_15.1792.json,custom
40.927726,15.176745,ov_la_taverna_dei_re_40.9277_15.1767,La Taverna Dei RE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/la_taverna_dei_re_40.9277_15.1767.json,custom
40.926630,15.181076,ov_rosticceria_bottega_delle_delizie_40.9266_15.1811,Rosticceria Bottega delle Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/rosticceria_bottega_delle_delizie_40.9266_15.1811.json,custom
40.929501,15.180722,ov_la_locanda_di_enza_40.9295_15.1807,La Locanda di Enza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/la_locanda_di_enza_40.9295_15.1807.json,custom
40.932470,15.163229,ov_o_metetore_40.9325_15.1632,O Metetore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/o_metetore_40.9325_15.1632.json,custom
40.928095,15.178242,ov_ldr88_caf__40.9281_15.1782,LDR88 CAFÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/ldr88_caf_40.9281_15.1782.json,custom
40.928271,15.178494,ov_tattira_music_bar_40.9283_15.1785,Tattira Music Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/tattira_music_bar_40.9283_15.1785.json,custom
40.927774,15.177997,ov_caffetteria_la_piazzetta_40.9278_15.1780,Caffetteria La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/caffetteria_la_piazzetta_40.9278_15.1780.json,custom
40.927688,15.178175,ov_la_cantina_re_lu_sacrestano_40.9277_15.1782,La Cantina re Lu Sacrestano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/la_cantina_re_lu_sacrestano_40.9277_15.1782.json,custom
40.927542,15.179862,ov_route_66_bar_40.9275_15.1799,Route 66 Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/route_66_bar_40.9275_15.1799.json,custom
40.927053,15.179485,ov_bar_moderno_pasticceria_gelateria_yogurt_40.9271_15.1795,BAR Moderno Pasticceria Gelateria Yogurteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/bar_moderno_pasticceria_gelateria_yogurt_40.9271_15.1795.json,custom
40.928669,15.178334,ov_bar_san_rocco_40.9287_15.1783,Bar San Rocco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/bar_san_rocco_40.9287_15.1783.json,custom
40.925813,15.180702,ov_american_style_gym_40.9258_15.1807,American Style Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/american_style_gym_40.9258_15.1807.json,custom
40.926789,15.177235,ov_casa_loreto_40.9268_15.1772,Casa Loreto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/santangelo_dei_lombardi/pages/casa_loreto_40.9268_15.1772.json,custom
