# lat,lng,id,name,building_type,type,url,page_type
# oleggio -- Tutti
45.598404,8.636269,osm_asl13___ambulatori_oleggio_45.5984_8.6363,ASL13 - Ambulatori Oleggio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/asl13_-_ambulatori_oleggio_45.5984_8.6363.json,custom
45.597392,8.636762,ov_marechiaro_45.5974_8.6368,Marechiaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/marechiaro_45.5974_8.6368.json,custom
45.597456,8.637031,ov_casa_celesia_ristorante_45.5975_8.6370,Casa Celesia Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/casa_celesia_ristorante_45.5975_8.6370.json,custom
45.597322,8.637321,ov_ristorante_pizzeria_2002_45.5973_8.6373,Ristorante Pizzeria 2002,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ristorante_pizzeria_2002_45.5973_8.6373.json,custom
45.597481,8.636463,ov_amplifon_via_roma__oleggio_45.5975_8.6365,"Amplifon Via Roma, Oleggio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/amplifon_via_roma_oleggio_45.5975_8.6365.json,custom
45.597630,8.635920,ov_pizza_e_panuozzo_45.5976_8.6359,Pizza e Panuozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/pizza_e_panuozzo_45.5976_8.6359.json,custom
45.598845,8.634292,ov_griglieria_pizzeria_birreria_buca_45.5988_8.6343,Griglieria Pizzeria Birreria Buca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/griglieria_pizzeria_birreria_buca_45.5988_8.6343.json,custom
45.598692,8.635601,ov_la_cantinetta_45.5987_8.6356,La cantinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/la_cantinetta_45.5987_8.6356.json,custom
45.598678,8.636904,ov_la_cucina_di_paola_45.5987_8.6369,La Cucina di Paola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/la_cucina_di_paola_45.5987_8.6369.json,custom
45.598450,8.635800,ov_asianhouse_45.5984_8.6358,Asianhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/asianhouse_45.5984_8.6358.json,custom
45.598269,8.635914,ov_il_kebabbaro_di_oleggio_45.5983_8.6359,Il Kebabbaro di Oleggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_kebabbaro_di_oleggio_45.5983_8.6359.json,custom
45.598308,8.633439,ov_bistrot_ai_giardini_45.5983_8.6334,Bistrot ai Giardini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bistrot_ai_giardini_45.5983_8.6334.json,custom
45.599273,8.631509,ov_soul_music_drink_and_food_45.5993_8.6315,Soul Music Drink and Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/soul_music_drink_and_food_45.5993_8.6315.json,custom
45.601191,8.655653,ov_cascina_zoina_45.6012_8.6557,Cascina Zoina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/cascina_zoina_45.6012_8.6557.json,custom
45.600019,8.637403,ov_dinamo_steak_house_and_music_45.6000_8.6374,Dinamo Steak House and Music,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/dinamo_steak_house_and_music_45.6000_8.6374.json,custom
