# lat,lng,id,name,building_type,type,url,page_type
# cortemaggiore -- Tutti
44.994250,9.928650,ov_ospedale_di_cortemaggiore_44.9943_9.9286,Ospedale di Cortemaggiore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/ospedale_di_cortemaggiore_44.9943_9.9286.json,custom
44.990422,9.929228,ov_world_pizza_44.9904_9.9292,World Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/world_pizza_44.9904_9.9292.json,custom
44.990620,9.929320,ov_corte_nuova_ristorante_self_service_44.9906_9.9293,Corte Nuova Ristorante Self-Service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/corte_nuova_ristorante_self-service_44.9906_9.9293.json,custom
44.995523,9.934908,ov_bar_pizzeria_elles_44.9955_9.9349,Bar Pizzeria Elles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/bar_pizzeria_elles_44.9955_9.9349.json,custom
44.996477,9.932415,ov_trattoria_antica_corte_44.9965_9.9324,Trattoria Antica Corte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/trattoria_antica_corte_44.9965_9.9324.json,custom
44.996433,9.931589,ov_pizzeria_d_asporto_happy_days_44.9964_9.9316,Pizzeria D'Asporto Happy Days,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/pizzeria_dasporto_happy_days_44.9964_9.9316.json,custom
44.995691,9.933206,ov_l_angolo_delle_delizie_44.9957_9.9332,L'Angolo delle Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/langolo_delle_delizie_44.9957_9.9332.json,custom
44.994822,9.931949,ov_salsamenteria_il_tagliere_44.9948_9.9319,Salsamenteria Il Tagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/salsamenteria_il_tagliere_44.9948_9.9319.json,custom
44.997746,9.908858,ov_ristorante_corte_san_carlo_44.9977_9.9089,Ristorante Corte San Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/ristorante_corte_san_carlo_44.9977_9.9089.json,custom
44.997362,9.931814,ov_sapori_di_pizza_44.9974_9.9318,Sapori di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/sapori_di_pizza_44.9974_9.9318.json,custom
44.997021,9.950789,ov_corte_san_carlo_44.9970_9.9508,Corte San Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/corte_san_carlo_44.9970_9.9508.json,custom
