# lat,lng,id,name,building_type,type
# Terlizzi -- Tutti
41.128878,16.537157,ov_pizzeria_la_fornarina_41.1289_16.5372,Pizzeria La Fornarina,RESTAURANT,ristorante
41.126985,16.544530,ov_tamu___al_carradore_pizzeria_41.1270_16.5445,Tamu - Al Carradore Pizzeria,RESTAURANT,ristorante
41.123344,16.515996,ov_davs_fidelfo___bar_risto_pizza_41.1233_16.5160,DAVS Fidelfo - Bar Risto Pizza,RESTAURANT,ristorante
41.122951,16.527294,ov_villa_eranthe_41.1230_16.5273,Villa Eranthe,RESTAURANT,ristorante
41.136678,16.545781,ov_pizzeria_terra_mia_41.1367_16.5458,Pizzeria Terra Mia,RESTAURANT,ristorante
41.133887,16.545586,ov_the_barr_41.1339_16.5456,The Barr,RESTAURANT,ristorante
41.133191,16.541301,ov_n_1_la_vita_e_bella_41.1332_16.5413,N.1 La Vita E Bella,RESTAURANT,ristorante
41.133130,16.538960,ov_evviva___food___beer_fest_41.1331_16.5390,Evviva - Food & Beer Fest,RESTAURANT,ristorante
41.132582,16.539133,ov_mama_pizza_amore_cucina_41.1326_16.5391,Mama Pizza Amore Cucina,RESTAURANT,ristorante
41.080863,16.560482,ov_ristorante_villa_de_napoli_41.0809_16.5605,Ristorante Villa De Napoli,RESTAURANT,ristorante
41.112727,16.548691,ov_il_gallo_41.1127_16.5487,Il gallo,RESTAURANT,ristorante
41.125102,16.551505,ov_il_fiore_41.1251_16.5515,Il Fiore,RESTAURANT,ristorante
41.124371,16.549819,ov_red_brick_22_41.1244_16.5498,Red Brick 22,RESTAURANT,ristorante
41.126472,16.551580,ov_roberika_srl_41.1265_16.5516,Roberika SRL,RESTAURANT,ristorante
41.128648,16.548733,ov_pescheria_e_friggitoria_41.1286_16.5487,Pescheria e friggitoria,RESTAURANT,ristorante
41.128809,16.547853,ov_macelleria_di_mimmo_de_chirico_41.1288_16.5479,Macelleria di Mimmo De Chirico,RESTAURANT,ristorante
41.128500,16.550815,ov_casa_del_tortellino_41.1285_16.5508,Casa Del Tortellino,RESTAURANT,ristorante
41.128505,16.550916,ov_de_nicolo_pastai_41.1285_16.5509,De Nicolo Pastai,RESTAURANT,ristorante
41.128332,16.549148,ov_pizzeria_da_marchino_41.1283_16.5491,Pizzeria da Marchino,RESTAURANT,ristorante
41.128133,16.557376,ov_il_gioco_dei_sensi_pizzeria_41.1281_16.5574,Il Gioco dei Sensi Pizzeria,RESTAURANT,ristorante
41.128190,16.557730,ov_trattoria_pizzeria_da_marchino_41.1282_16.5577,Trattoria-Pizzeria da Marchino,RESTAURANT,ristorante
41.130603,16.551424,ov_i_tre_maialini_41.1306_16.5514,I tre maialini,RESTAURANT,ristorante
41.130448,16.547373,ov_pizzeria_la_ginestra_41.1304_16.5474,Pizzeria La Ginestra,RESTAURANT,ristorante
41.130363,16.548874,ov_braci_piacenti_41.1304_16.5489,Braci Piacenti,RESTAURANT,ristorante
41.130560,16.547295,ov_kin_sushi_41.1306_16.5473,Kin sushi,RESTAURANT,ristorante
41.131543,16.547526,ov_macelleria_braceria_d_aniello_41.1315_16.5475,Macelleria Braceria D'Aniello,RESTAURANT,ristorante
41.131293,16.545909,ov_il_cubo_41.1313_16.5459,Il Cubo,RESTAURANT,ristorante
41.132955,16.546156,ov_mare_e_padella_41.1330_16.5462,Mare e Padella,RESTAURANT,ristorante
41.133195,16.546501,ov_pastificio_terlizzese_41.1332_16.5465,Pastificio Terlizzese,RESTAURANT,ristorante
41.131530,16.536761,ov_mistertoto_bet_and_bar_41.1315_16.5368,Mistertoto Bet and Bar,RESTAURANT,bar_cafe
41.132075,16.538258,ov_cafe_maxim_41.1321_16.5383,Cafe Maxim,RESTAURANT,bar_cafe
41.132368,16.538756,ov_sottocoperta_bar_41.1324_16.5388,sottocoperta bar,RESTAURANT,bar_cafe
41.131990,16.544110,ov_ferramenta_gisondo_m_c_41.1320_16.5441,Ferramenta gisondo M C,RESTAURANT,bar_cafe
41.131379,16.538691,ov_art_coffee_41.1314_16.5387,Art Coffee,RESTAURANT,bar_cafe
41.131273,16.540657,ov_prosit_cafe_41.1313_16.5407,Prosit Cafe,RESTAURANT,bar_cafe
41.130570,16.542431,ov_gc_italia_41.1306_16.5424,GC Italia,RESTAURANT,bar_cafe
41.130360,16.544140,ov_piccolo_bar_41.1304_16.5441,Piccolo Bar,RESTAURANT,bar_cafe
41.130419,16.545318,ov_histoire_41.1304_16.5453,Histoire,RESTAURANT,bar_cafe
41.130302,16.544961,ov_carpe_diem_41.1303_16.5450,Carpe Diem,RESTAURANT,bar_cafe
41.130322,16.544311,ov_soleluna_cafe_41.1303_16.5443,Soleluna Cafe,RESTAURANT,bar_cafe
41.130237,16.542918,ov_caffe_savoia_41.1302_16.5429,Caffe Savoia,RESTAURANT,bar_cafe
41.130496,16.542729,ov_karma___lounge_bar___41.1305_16.5427,Karma - Lounge Bar -,RESTAURANT,bar_cafe
41.130384,16.541197,ov_botanico___arco_arboreo_41.1304_16.5412,Botanico - Arco Arboreo,RESTAURANT,bar_cafe
41.130369,16.538649,ov_l_ancora_cafe_41.1304_16.5386,L'Ancora Cafe,RESTAURANT,bar_cafe
41.129619,16.537208,ov_zona75_2_0_41.1296_16.5372,Zona75 2.0,RESTAURANT,bar_cafe
41.129478,16.540259,ov_bibap_coffee_break_terlizzi_41.1295_16.5403,Bibap coffee break Terlizzi,RESTAURANT,bar_cafe
41.129674,16.541582,ov_vintage_cafe_41.1297_16.5416,Vintage Cafe,RESTAURANT,bar_cafe
41.130129,16.540389,ov_fuori_posto_41.1301_16.5404,Fuori Posto,RESTAURANT,bar_cafe
