# lat,lng,id,name,building_type,type,url,page_type
# Ferentino -- Tutti
41.690981,13.254951,ov_ospedale_civile_centralino_41.6910_13.2550,Ospedale Civile Centralino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ospedale_civile_centralino_41.6910_13.2550.json,custom
41.746776,13.238067,ov_dimora_di_charme_villa_sant_erasmo_41.7468_13.2381,Dimora di Charme Villa Sant'Erasmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/dimora_di_charme_villa_santerasmo_41.7468_13.2381.json,custom
41.753080,13.246397,ov_le_terrazze_sul_lago_41.7531_13.2464,Le terrazze sul lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/le_terrazze_sul_lago_41.7531_13.2464.json,custom
41.757868,13.217635,ov_ristorante_da_gino_41.7579_13.2176,Ristorante da Gino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_da_gino_41.7579_13.2176.json,custom
41.691563,13.280311,ov_agriturismo_la_collina_degli_ulivi_41.6916_13.2803,Agriturismo La Collina degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/agriturismo_la_collina_degli_ulivi_41.6916_13.2803.json,custom
41.668412,13.297835,ov_happy_bar_di_vommaro_alessandro_41.6684_13.2978,Happy Bar di Vommaro Alessandro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/happy_bar_di_vommaro_alessandro_41.6684_13.2978.json,custom
41.666611,13.299401,ov_da_jolanda_41.6666_13.2994,Da Jolanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/da_jolanda_41.6666_13.2994.json,custom
41.663090,13.291720,ov_ristorante_il_convivio_41.6631_13.2917,Ristorante Il Convivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_il_convivio_41.6631_13.2917.json,custom
41.665465,13.302879,ov_enogastronomia_battisti_41.6655_13.3029,Enogastronomia Battisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/enogastronomia_battisti_41.6655_13.3029.json,custom
41.677033,13.284473,ov_dipinto_pizzeria_41.6770_13.2845,DiPINTO pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/dipinto_pizzeria_41.6770_13.2845.json,custom
41.672938,13.289795,ov_agriturismo_la_taverna_41.6729_13.2898,Agriturismo La Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/agriturismo_la_taverna_41.6729_13.2898.json,custom
41.683049,13.270072,ov_ristorante_le_antiche_vasche_terme_pompe_41.6830_13.2701,Ristorante Le Antiche Vasche Terme Pompeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_le_antiche_vasche_terme_pompe_41.6830_13.2701.json,custom
41.685477,13.275309,ov_da_jolanda_ristorante_41.6855_13.2753,Da Jolanda Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/da_jolanda_ristorante_41.6855_13.2753.json,custom
41.688646,13.261626,ov_pizzeria_teresa_41.6886_13.2616,Pizzeria Teresa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_teresa_41.6886_13.2616.json,custom
41.680495,13.253839,ov_bistrot_granier_41.6805_13.2538,Bistrot Granier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bistrot_granier_41.6805_13.2538.json,custom
41.686281,13.257169,ov_calzoneria_planet_garden_41.6863_13.2572,Calzoneria Planet Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/calzoneria_planet_garden_41.6863_13.2572.json,custom
41.686401,13.256446,ov_il_giardino_41.6864_13.2564,Il Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/il_giardino_41.6864_13.2564.json,custom
